Payment ID,Invoice ID,Payment Date,Amount,Method,Reference
PAY-0059,INV-0066,2026-01-10,3061.72,PayPal,RCPT-66
PAY-0060,INV-0067,2026-01-27,1412.52,Bank transfer,RCPT-67
PAY-0061,INV-0068,2025-12-29,1311.55,Card,RCPT-68A
PAY-0062,INV-0068,2026-01-02,1073.09,PayPal,RCPT-68B
PAY-0063,INV-0069,2026-01-04,621.5,PayPal,RCPT-69
PAY-0064,INV-0070,2026-01-09,2025.55,Bank transfer,RCPT-70
PAY-0065,INV-0071,2026-01-12,2082.32,Card,RCPT-71
PAY-0066,INV-0073,2026-01-07,1361.29,Bank transfer,RCPT-73
PAY-0067,INV-0074,2026-01-16,664.31,Card,RCPT-74A
PAY-0068,INV-0074,2026-01-21,543.52,PayPal,RCPT-74B
PAY-0069,INV-0075,2026-02-11,1568.58,PayPal,RCPT-75
PAY-0070,INV-0077,2026-02-05,702.08,Card,RCPT-77
PAY-0071,INV-0078,2026-01-19,1436.42,PayPal,RCPT-78A
PAY-0072,INV-0078,2026-01-23,1175.26,Bank transfer,RCPT-78B
PAY-0073,INV-0079,2026-01-29,568.79,Bank transfer,RCPT-79
PAY-0074,INV-0080,2026-01-17,2587.27,Card,RCPT-80
PAY-0075,INV-0081,2026-01-21,602.24,PayPal,RCPT-81
PAY-0076,INV-0082,2026-01-29,668.53,Bank transfer,RCPT-82
PAY-0077,INV-0083,2026-02-28,690.81,Card,RCPT-83
PAY-0078,INV-0085,2026-03-10,992.32,Bank transfer,RCPT-85
PAY-0079,INV-0087,2026-02-23,2560.22,PayPal,RCPT-87
PAY-0080,INV-0088,2026-02-14,1119.84,Bank transfer,RCPT-88
PAY-0081,INV-0089,2026-03-03,921.62,Card,RCPT-89
PAY-0082,INV-0091,2026-02-19,424.33,Bank transfer,RCPT-91
PAY-0083,INV-0092,2026-03-18,456.57,Card,RCPT-92
PAY-0084,INV-0093,2026-03-23,1854.7,PayPal,RCPT-93
PAY-0085,INV-0094,2026-02-18,846.71,Bank transfer,RCPT-94A
PAY-0086,INV-0094,2026-03-01,692.76,Card,RCPT-94B
PAY-0087,INV-0095,2026-03-24,1992.65,Card,RCPT-95
PAY-0088,INV-0096,2026-03-06,347.38,PayPal,RCPT-96A
PAY-0089,INV-0096,2026-03-14,284.22,Bank transfer,RCPT-96B
PAY-0090,INV-0097,2026-03-27,2505.13,Bank transfer,RCPT-97
PAY-0091,INV-0098,2026-03-29,575.37,Card,RCPT-98
PAY-0092,INV-0099,2026-03-24,1663.76,PayPal,RCPT-99
PAY-0093,INV-0100,2026-04-01,1833.09,Bank transfer,RCPT-100
PAY-0094,INV-0102,2026-03-05,558.88,PayPal,RCPT-102
PAY-0095,INV-0104,2026-03-23,2607.59,Card,RCPT-104
PAY-0096,INV-0105,2026-04-26,2435.67,PayPal,RCPT-105
PAY-0097,INV-0107,2026-03-20,1092.21,Card,RCPT-107
PAY-0098,INV-0108,2026-04-08,1852.67,PayPal,RCPT-108
PAY-0099,INV-0109,2026-05-03,1672.56,Bank transfer,RCPT-109
PAY-0100,INV-0110,2026-04-14,2238.51,Card,RCPT-110
PAY-0101,INV-0111,2026-05-11,1698.5,PayPal,RCPT-111
PAY-0102,INV-0112,2026-03-23,2852.06,Bank transfer,RCPT-112
PAY-0103,INV-0113,2026-04-02,743.34,Card,RCPT-113A
PAY-0104,INV-0113,2026-04-09,608.18,PayPal,RCPT-113B
PAY-0105,INV-0115,2026-03-29,553.31,Bank transfer,RCPT-115A
PAY-0106,INV-0115,2026-04-28,452.7,Card,RCPT-115B
PAY-0107,INV-0116,2026-04-08,2928.79,Card,RCPT-116
PAY-0108,INV-0117,2026-04-06,930.53,PayPal,RCPT-117
PAY-0109,INV-0118,2026-04-12,1905.52,Bank transfer,RCPT-118
PAY-0110,INV-0119,2026-05-13,906.4,Card,RCPT-119
PAY-0111,INV-0121,2026-05-31,895.15,Bank transfer,RCPT-121
PAY-0112,INV-0122,2026-04-14,1730.41,Card,RCPT-122
PAY-0113,INV-0123,2026-05-14,1385.17,PayPal,RCPT-123
PAY-0114,INV-0124,2026-04-30,1246.34,Bank transfer,RCPT-124A
PAY-0115,INV-0124,2026-05-17,1019.74,Card,RCPT-124B
PAY-0116,INV-0125,2026-04-19,444,Card,RCPT-125
PAY-0117,INV-0126,2026-05-12,1131.13,PayPal,RCPT-126
PAY-0118,INV-0127,2026-05-17,1510.34,Bank transfer,RCPT-127
PAY-0119,INV-0128,2026-05-06,933.36,Card,RCPT-128
PAY-0120,INV-0129,2026-05-15,2815.36,PayPal,RCPT-129
PAY-0121,INV-0130,2026-04-30,1047.2,Bank transfer,RCPT-130
PAY-0122,INV-0131,2026-05-21,2335.75,Card,RCPT-131
PAY-0123,INV-0132,2026-05-25,1705.84,PayPal,RCPT-132
PAY-0124,INV-0133,2026-06-19,2839.67,Bank transfer,RCPT-133
PAY-0125,INV-0134,2026-05-05,1129.66,Card,RCPT-134A
PAY-0126,INV-0134,2026-05-23,924.27,PayPal,RCPT-134B
PAY-0127,INV-0136,2026-06-21,989.98,Bank transfer,RCPT-136
PAY-0128,INV-0137,2026-06-07,636.03,Card,RCPT-137
PAY-0129,INV-0138,2026-05-21,1290.58,PayPal,RCPT-138A
PAY-0130,INV-0138,2026-05-25,1055.92,Bank transfer,RCPT-138B
PAY-0131,INV-0139,2026-06-02,1247.53,Bank transfer,RCPT-139
PAY-0132,INV-0140,2026-05-17,942.95,Card,RCPT-140
PAY-0133,INV-0142,2026-06-20,2542.39,Bank transfer,RCPT-142
PAY-0134,INV-0143,2026-07-09,1790,Card,RCPT-143
PAY-0135,INV-0144,2026-06-19,1146.67,PayPal,RCPT-144
PAY-0136,INV-0145,2026-07-11,2224.76,Bank transfer,RCPT-145
PAY-0137,INV-0146,2026-05-29,2869.5,Card,RCPT-146
PAY-0138,INV-0147,2026-06-01,1589.8,PayPal,RCPT-147
PAY-0139,INV-0150,2026-07-10,729.13,PayPal,RCPT-150
PAY-0140,INV-0151,2026-07-07,1034.08,Bank transfer,RCPT-151
PAY-0141,INV-0152,2026-06-21,851.81,Card,RCPT-152
PAY-0142,INV-0154,2026-06-19,1256.5,Bank transfer,RCPT-154A
PAY-0143,INV-0154,2026-06-25,1028.05,Card,RCPT-154B
PAY-0144,INV-0155,2026-06-19,654.04,Card,RCPT-155A
PAY-0145,INV-0155,2026-07-13,535.13,PayPal,RCPT-155B
PAY-0146,INV-0158,2026-07-19,783.61,Card,RCPT-158
PAY-0147,INV-0159,2026-07-27,2774.34,PayPal,RCPT-159
PAY-0148,INV-0160,2026-08-01,2647.2,Bank transfer,RCPT-160
PAY-0149,INV-0161,2026-07-06,563.62,Card,RCPT-161A
PAY-0150,INV-0161,2026-07-16,461.14,PayPal,RCPT-161B
PAY-0151,INV-0163,2026-07-29,2117.48,Bank transfer,RCPT-163
PAY-0152,INV-0164,2026-07-18,364.82,Card,RCPT-164A
PAY-0153,INV-0164,2026-07-18,298.48,PayPal,RCPT-164B
PAY-0154,INV-0165,2026-08-05,1641.78,PayPal,RCPT-165
PAY-0155,INV-0166,2026-07-09,1157.49,Bank transfer,RCPT-166
PAY-0156,INV-0167,2026-08-04,1580.02,Card,RCPT-167A
PAY-0157,INV-0167,2026-08-09,1292.74,PayPal,RCPT-167B
PAY-0158,INV-0168,2026-07-15,1793.03,PayPal,RCPT-168
PAY-0159,INV-0169,2026-07-17,1354.15,Bank transfer,RCPT-169
PAY-0160,INV-0170,2026-08-23,1291.34,Card,RCPT-170
PAY-0161,INV-0171,2026-08-25,2662.44,PayPal,RCPT-171
PAY-0162,INV-0172,2026-08-28,1924.95,Bank transfer,RCPT-172
PAY-0163,INV-0173,2026-08-14,1592.68,Card,RCPT-173
PAY-0164,INV-0174,2026-08-26,548.73,PayPal,RCPT-174
PAY-0165,INV-0175,2026-08-18,1016.49,Bank transfer,RCPT-175
PAY-0166,INV-0176,2026-08-10,1392.9,Card,RCPT-176
PAY-0167,INV-0177,2026-08-07,1560.96,PayPal,RCPT-177
PAY-0168,INV-0179,2026-09-16,1941.65,Card,RCPT-179
PAY-0169,INV-0180,2026-08-24,1254.13,PayPal,RCPT-180
