"Transaction_ID","Sale_Date","Sale_Time","Item_Name","Category","Quantity","Unit_Price","Discount","Payment_Method","Order_Channel","Line_Total","Server_Name"
"TX-0063","2026-06-15","11:39","Cheesecake","Dessert","2","7","0","Online","Delivery","14","Maya"
"TX-0064","2026-06-17","22:32","Classic Burger","Main Course","3","12.5","0.1","Card","Takeaway","33.75","Liam"
"TX-0065","2026-06-14","18:46","Classic Burger","Main Course","2","12.5","0","Card","Dine-in","25","Liam"
"TX-0066","2026-06-05","22:53","Tomato Soup","Starter","4","6","0.15","Card","Delivery","20.4","Liam"
"TX-0067","2026-06-27","16:14","Lemonade","Beverage","4","3.5","0.15","Online","Delivery","11.9","Liam"
"TX-0068","2026-06-20","16:54","Chocolate Cake","Dessert","4","6.5","0","Card","Delivery","26","Noah"
"TX-0069","2026-06-30","11:51","Caesar Salad","Starter","3","8.5","0.1","Card","Takeaway","22.95","Maya"
"TX-0070","2026-06-13","17:42","French Fries","Side","1","4.5","0","Cash","Takeaway","4.5","Liam"
"TX-0071","2026-06-13","12:15","Espresso","Beverage","2","2.5","0.05","Card","Dine-in","4.75","Noah"
"TX-0072","2026-06-12","21:49","Lemonade","Beverage","2","3.5","0.15","Cash","Dine-in","5.95","Ava"
"TX-0073","2026-06-27","16:57","Chocolate Cake","Dessert","1","6.5","0.1","Cash","Dine-in","5.85","Maya"
"TX-0074","2026-06-23","11:30","Cola","Beverage","1","3","0.15","Cash","Delivery","2.55","Ava"
"TX-0075","2026-06-14","21:37","Tomato Soup","Starter","1","6","0.1","Cash","Dine-in","5.4","Maya"
"TX-0076","2026-06-19","16:43","Cheesecake","Dessert","3","7","0","Online","Takeaway","21","Liam"
"TX-0077","2026-06-03","15:33","Cheesecake","Dessert","4","7","0","Card","Dine-in","28","Maya"
"TX-0078","2026-06-16","19:53","Chocolate Cake","Dessert","1","6.5","0.15","Cash","Takeaway","5.53","Noah"
"TX-0079","2026-06-04","21:16","Espresso","Beverage","1","2.5","0","Card","Takeaway","2.5","Ava"
"TX-0080","2026-06-17","17:37","Chicken Wrap","Main Course","3","10","0.15","Card","Dine-in","25.5","Maya"
"TX-0081","2026-06-04","20:27","Chicken Wrap","Main Course","2","10","0","Online","Takeaway","20","Liam"
"TX-0082","2026-06-12","20:15","Tomato Soup","Starter","1","6","0.15","Card","Dine-in","5.1","Noah"
"TX-0083","2026-06-12","22:21","Cola","Beverage","1","3","0","Cash","Dine-in","3","Maya"
"TX-0084","2026-06-21","12:11","French Fries","Side","3","4.5","0.05","Cash","Delivery","12.83","Maya"
"TX-0085","2026-06-13","13:56","Cola","Beverage","2","3","0.05","Cash","Takeaway","5.7","Ava"
"TX-0086","2026-06-26","11:00","Margherita Pizza","Main Course","4","11.5","0.05","Cash","Takeaway","43.7","Liam"
"TX-0087","2026-06-01","20:36","Lemonade","Beverage","3","3.5","0.05","Cash","Dine-in","9.98","Maya"
"TX-0088","2026-06-10","13:36","Margherita Pizza","Main Course","1","11.5","0","Card","Takeaway","11.5","Noah"
"TX-0089","2026-06-24","16:35","Cola","Beverage","3","3","0.05","Cash","Takeaway","8.55","Ava"
"TX-0090","2026-06-01","13:22","Classic Burger","Main Course","4","12.5","0.15","Online","Dine-in","42.5","Ava"
"TX-0091","2026-06-13","15:05","Cheesecake","Dessert","2","7","0.05","Online","Delivery","13.3","Maya"
"TX-0092","2026-06-07","19:45","Classic Burger","Main Course","3","12.5","0","Online","Takeaway","37.5","Liam"
"TX-0093","2026-06-02","15:57","Cheesecake","Dessert","3","7","0.15","Cash","Dine-in","17.85","Noah"
"TX-0094","2026-06-18","20:39","French Fries","Side","2","4.5","0.1","Card","Delivery","8.1","Maya"
"TX-0095","2026-06-30","17:14","Espresso","Beverage","2","2.5","0","Cash","Takeaway","5","Liam"
"TX-0096","2026-06-21","17:42","Classic Burger","Main Course","3","12.5","0","Card","Dine-in","37.5","Ava"
"TX-0097","2026-06-29","11:09","Margherita Pizza","Main Course","4","11.5","0","Card","Takeaway","46","Maya"
"TX-0098","2026-06-06","10:50","Cheesecake","Dessert","2","7","0.05","Cash","Takeaway","13.3","Ava"
"TX-0099","2026-06-14","13:41","Tomato Soup","Starter","4","6","0","Online","Takeaway","24","Ava"
"TX-0100","2026-06-09","15:19","Chicken Wrap","Main Course","3","10","0","Card","Dine-in","30","Noah"
"TX-0101","2026-06-04","14:04","Chocolate Cake","Dessert","1","6.5","0.15","Card","Dine-in","5.53","Maya"
"TX-0102","2026-06-27","12:34","Cola","Beverage","4","3","0","Online","Delivery","12","Noah"
"TX-0103","2026-06-21","18:27","Lemonade","Beverage","3","3.5","0","Cash","Takeaway","10.5","Maya"
"TX-0104","2026-06-12","11:36","Margherita Pizza","Main Course","3","11.5","0","Cash","Delivery","34.5","Liam"
"TX-0105","2026-06-22","20:54","Lemonade","Beverage","2","3.5","0","Cash","Takeaway","7","Maya"
"TX-0106","2026-06-26","21:19","Cola","Beverage","3","3","0.1","Card","Dine-in","8.1","Liam"
"TX-0107","2026-06-16","21:27","Cheesecake","Dessert","4","7","0","Card","Dine-in","28","Noah"
"TX-0108","2026-06-04","17:07","Lemonade","Beverage","3","3.5","0.05","Card","Delivery","9.98","Ava"
"TX-0109","2026-06-10","20:00","Cola","Beverage","4","3","0.05","Online","Takeaway","11.4","Noah"
"TX-0110","2026-06-16","14:06","Lemonade","Beverage","3","3.5","0.1","Cash","Takeaway","9.45","Noah"
"TX-0111","2026-06-08","13:26","Chocolate Cake","Dessert","2","6.5","0","Card","Takeaway","13","Liam"
"TX-0112","2026-06-08","18:30","Chocolate Cake","Dessert","1","6.5","0","Online","Delivery","6.5","Liam"
"TX-0113","2026-06-09","10:16","Cola","Beverage","1","3","0","Card","Takeaway","3","Ava"
"TX-0114","2026-06-27","13:48","Tomato Soup","Starter","3","6","0","Online","Dine-in","18","Liam"
"TX-0115","2026-06-02","21:46","French Fries","Side","2","4.5","0.15","Cash","Delivery","7.65","Noah"
"TX-0116","2026-06-01","19:57","Lemonade","Beverage","3","3.5","0","Online","Delivery","10.5","Maya"
"TX-0117","2026-06-26","11:46","Classic Burger","Main Course","3","12.5","0.15","Online","Delivery","31.88","Ava"
"TX-0118","2026-06-08","17:32","Cola","Beverage","1","3","0","Card","Takeaway","3","Noah"
"TX-0119","2026-06-09","10:35","Espresso","Beverage","3","2.5","0","Cash","Takeaway","7.5","Noah"
"TX-0120","2026-06-15","14:14","Espresso","Beverage","4","2.5","0","Online","Dine-in","10","Liam"
"TX-0121","2026-06-28","14:04","Lemonade","Beverage","3","3.5","0","Online","Dine-in","10.5","Noah"
"TX-0122","2026-06-30","17:03","Chocolate Cake","Dessert","3","6.5","0","Card","Dine-in","19.5","Ava"
"TX-0123","2026-06-24","22:28","Cola","Beverage","1","3","0.15","Card","Takeaway","2.55","Ava"
"TX-0124","2026-06-02","18:36","French Fries","Side","2","4.5","0","Card","Delivery","9","Ava"
"TX-0125","2026-06-15","16:37","Classic Burger","Main Course","1","12.5","0","Online","Takeaway","12.5","Noah"
"TX-0126","2026-06-09","10:17","French Fries","Side","2","4.5","0","Online","Dine-in","9","Liam"
"TX-0127","2026-06-02","16:19","French Fries","Side","3","4.5","0","Card","Delivery","13.5","Ava"
"TX-0128","2026-06-29","18:36","Classic Burger","Main Course","1","12.5","0","Online","Takeaway","12.5","Liam"
"TX-0129","2026-06-26","19:13","Margherita Pizza","Main Course","2","11.5","0.1","Card","Takeaway","20.7","Noah"
"TX-0130","2026-06-10","12:53","Lemonade","Beverage","3","3.5","0.15","Cash","Takeaway","8.92","Maya"
"TX-0131","2026-06-09","20:34","Cheesecake","Dessert","3","7","0","Card","Dine-in","21","Ava"
"TX-0132","2026-06-29","15:42","Chocolate Cake","Dessert","4","6.5","0","Cash","Takeaway","26","Ava"
"TX-0133","2026-06-02","13:05","Chicken Wrap","Main Course","4","10","0.05","Card","Delivery","38","Noah"
"TX-0134","2026-06-27","11:45","Cheesecake","Dessert","2","7","0.1","Online","Delivery","12.6","Noah"
"TX-0135","2026-06-06","10:25","French Fries","Side","4","4.5","0.05","Online","Delivery","17.1","Ava"
"TX-0136","2026-06-16","18:11","Margherita Pizza","Main Course","1","11.5","0.15","Online","Takeaway","9.78","Ava"
"TX-0137","2026-06-25","13:34","Chicken Wrap","Main Course","4","10","0.1","Card","Takeaway","36","Maya"
"TX-0138","2026-06-12","13:21","Caesar Salad","Starter","2","8.5","0","Card","Takeaway","17","Maya"
"TX-0139","2026-06-19","22:50","Cheesecake","Dessert","2","7","0","Card","Delivery","14","Noah"
"TX-0140","2026-06-04","20:51","Margherita Pizza","Main Course","4","11.5","0","Cash","Delivery","46","Liam"
"TX-0141","2026-06-06","12:04","Chocolate Cake","Dessert","4","6.5","0","Card","Takeaway","26","Noah"
"TX-0142","2026-06-04","15:10","Cola","Beverage","4","3","0","Card","Delivery","12","Ava"
"TX-0143","2026-06-18","16:58","Chocolate Cake","Dessert","3","6.5","0","Card","Dine-in","19.5","Noah"
"TX-0144","2026-06-24","10:17","Tomato Soup","Starter","3","6","0.1","Online","Dine-in","16.2","Maya"
"TX-0145","2026-06-16","17:52","Chicken Wrap","Main Course","4","10","0.05","Card","Takeaway","38","Liam"
"TX-0146","2026-06-03","21:35","Lemonade","Beverage","3","3.5","0","Online","Dine-in","10.5","Noah"
"TX-0147","2026-06-17","16:35","Chicken Wrap","Main Course","1","10","0.05","Online","Delivery","9.5","Maya"
"TX-0148","2026-06-19","15:59","Caesar Salad","Starter","2","8.5","0.15","Cash","Takeaway","14.45","Liam"
"TX-0149","2026-06-17","16:05","Chocolate Cake","Dessert","3","6.5","0","Card","Dine-in","19.5","Liam"
"TX-0150","2026-06-12","12:06","French Fries","Side","2","4.5","0.05","Online","Takeaway","8.55","Ava"
"TX-0151","2026-06-19","17:56","Cola","Beverage","3","3","0","Cash","Takeaway","9","Liam"
"TX-0152","2026-06-08","20:17","Margherita Pizza","Main Course","1","11.5","0.15","Cash","Dine-in","9.78","Ava"
"TX-0153","2026-06-27","13:39","Chocolate Cake","Dessert","1","6.5","0.15","Cash","Delivery","5.53","Ava"
"TX-0154","2026-06-19","20:33","Chocolate Cake","Dessert","1","6.5","0","Cash","Dine-in","6.5","Liam"
"TX-0155","2026-06-27","22:20","Caesar Salad","Starter","4","8.5","0","Cash","Takeaway","34","Liam"
"TX-0156","2026-06-04","13:11","Espresso","Beverage","1","2.5","0.15","Card","Dine-in","2.13","Ava"
"TX-0157","2026-06-30","19:24","Chocolate Cake","Dessert","4","6.5","0","Card","Delivery","26","Maya"
"TX-0158","2026-06-11","15:53","French Fries","Side","4","4.5","0.05","Card","Delivery","17.1","Ava"
"TX-0159","2026-06-20","19:07","Cola","Beverage","1","3","0.1","Cash","Takeaway","2.7","Liam"
"TX-0160","2026-06-08","15:20","Margherita Pizza","Main Course","3","11.5","0","Card","Delivery","34.5","Noah"
"TX-0161","2026-06-03","14:16","Margherita Pizza","Main Course","3","11.5","0.05","Online","Delivery","32.78","Liam"
"TX-0162","2026-06-13","19:35","Espresso","Beverage","2","2.5","0","Online","Dine-in","5","Liam"
"TX-0163","2026-06-03","10:51","Lemonade","Beverage","3","3.5","0.1","Online","Takeaway","9.45","Noah"
"TX-0164","2026-06-06","18:44","Tomato Soup","Starter","4","6","0.15","Cash","Takeaway","20.4","Noah"
"TX-0165","2026-06-15","11:26","French Fries","Side","1","4.5","0.15","Online","Takeaway","3.83","Ava"
"TX-0166","2026-06-18","14:48","Margherita Pizza","Main Course","3","11.5","0.1","Cash","Dine-in","31.05","Ava"
"TX-0167","2026-06-01","19:54","Cheesecake","Dessert","4","7","0.1","Online","Takeaway","25.2","Maya"
"TX-0168","2026-06-12","14:14","Margherita Pizza","Main Course","2","11.5","0.1","Online","Dine-in","20.7","Liam"
"TX-0169","2026-06-16","21:58","Cheesecake","Dessert","1","7","0","Cash","Delivery","7","Maya"
"TX-0170","2026-06-16","14:45","Cola","Beverage","1","3","0.15","Card","Delivery","2.55","Liam"
"TX-0171","2026-06-12","14:50","Caesar Salad","Starter","4","8.5","0.05","Online","Delivery","32.3","Maya"
"TX-0172","2026-06-10","15:26","Margherita Pizza","Main Course","2","11.5","0","Cash","Dine-in","23","Maya"
"TX-0173","2026-06-03","12:03","Lemonade","Beverage","4","3.5","0.1","Online","Delivery","12.6","Maya"
"TX-0174","2026-06-22","20:04","Chocolate Cake","Dessert","1","6.5","0.05","Online","Dine-in","6.18","Liam"
"TX-0175","2026-06-27","21:17","Tomato Soup","Starter","4","6","0","Card","Delivery","24","Ava"
"TX-0176","2026-06-12","14:50","Espresso","Beverage","3","2.5","0","Online","Dine-in","7.5","Liam"
"TX-0178","2026-06-16","18:59","Espresso","Beverage","1","2.5","0","Online","Takeaway","2.5","Liam"
"TX-0179","2026-06-02","10:05","Cola","Beverage","1","3","0","Card","Delivery","3","Ava"
"TX-0180","2026-06-13","21:21","Classic Burger","Main Course","4","12.5","0","Cash","Dine-in","50","Maya"
"TX-0181","2026-06-06","12:01","Chocolate Cake","Dessert","4","6.5","0.05","Cash","Takeaway","24.7","Noah"
"TX-0182","2026-06-05","20:42","French Fries","Side","3","4.5","0","Cash","Delivery","13.5","Ava"
"TX-0183","2026-06-07","13:49","Lemonade","Beverage","4","3.5","0.1","Card","Dine-in","12.6","Noah"
"TX-0184","2026-06-22","13:29","Cheesecake","Dessert","1","7","0.1","Cash","Dine-in","6.3","Maya"
"TX-0185","2026-06-22","17:06","Espresso","Beverage","1","2.5","0.1","Card","Takeaway","2.25","Noah"
"TX-0186","2026-06-26","10:08","Cola","Beverage","1","3","0","Cash","Dine-in","3","Noah"
"TX-0187","2026-06-02","22:21","Classic Burger","Main Course","2","12.5","0","Card","Dine-in","25","Liam"
"TX-0188","2026-06-24","16:44","Classic Burger","Main Course","1","12.5","0.15","Card","Dine-in","10.63","Liam"
"TX-0189","2026-06-08","18:26","Chicken Wrap","Main Course","4","10","0.1","Card","Delivery","36","Liam"
"TX-0190","2026-06-05","22:08","Lemonade","Beverage","1","3.5","0","Card","Dine-in","3.5","Liam"
"TX-0191","2026-06-01","17:45","Classic Burger","Main Course","1","12.5","0","Cash","Takeaway","12.5","Liam"
"TX-0192","2026-06-22","17:02","Classic Burger","Main Course","4","12.5","0","Card","Delivery","50","Noah"
"TX-0193","2026-06-01","11:09","Chicken Wrap","Main Course","1","10","0.15","Cash","Dine-in","8.5","Noah"
"TX-0194","2026-06-05","21:41","Espresso","Beverage","4","2.5","0","Cash","Takeaway","10","Maya"
"TX-0195","2026-06-01","18:39","Cola","Beverage","1","3","0","Cash","Takeaway","3","Maya"
"TX-0196","2026-06-25","20:24","Margherita Pizza","Main Course","1","11.5","0.1","Card","Delivery","10.35","Liam"
"TX-0197","2026-06-23","21:24","Classic Burger","Main Course","4","12.5","0","Cash","Delivery","50","Ava"
"TX-0198","2026-06-03","11:39","Cola","Beverage","2","3","0.05","Cash","Delivery","5.7","Ava"
"TX-0199","2026-06-28","20:02","Cheesecake","Dessert","4","7","0.05","Online","Takeaway","26.6","Ava"
"TX-0200","2026-06-05","11:00","Lemonade","Beverage","4","3.5","0.1","Online","Dine-in","12.6","Noah"
"TX-0201","2026-06-01","17:07","Margherita Pizza","Main Course","4","11.5","0.15","Online","Takeaway","39.1","Noah"
"TX-0202","2026-06-20","17:22","Espresso","Beverage","2","2.5","0.05","Online","Takeaway","4.75","Ava"
"TX-0203","2026-06-12","15:09","Espresso","Beverage","4","2.5","0.05","Card","Delivery","9.5","Noah"
"TX-0204","2026-06-07","21:18","Margherita Pizza","Main Course","3","11.5","0","Cash","Dine-in","34.5","Noah"
"TX-0205","2026-06-16","22:28","Cheesecake","Dessert","3","7","0","Cash","Dine-in","21","Ava"
"TX-0206","2026-06-08","11:40","Margherita Pizza","Main Course","1","11.5","0","Card","Delivery","11.5","Ava"
"TX-0207","2026-06-07","13:42","French Fries","Side","2","4.5","0","Online","Takeaway","9","Maya"
"TX-0208","2026-06-15","19:06","Cola","Beverage","1","3","0","Online","Delivery","3","Ava"
"TX-0209","2026-06-03","16:11","Tomato Soup","Starter","3","6","0.05","Online","Takeaway","17.1","Ava"
"TX-0210","2026-06-12","16:37","Espresso","Beverage","4","2.5","0.15","Online","Takeaway","8.5","Noah"
"TX-0211","2026-06-06","12:42","French Fries","Side","3","4.5","0","Cash","Takeaway","13.5","Noah"
"TX-0212","2026-06-21","12:29","French Fries","Side","2","4.5","0","Online","Takeaway","9","Noah"
"TX-0213","2026-06-04","21:28","Cola","Beverage","3","3","0","Online","Takeaway","9","Liam"
"TX-0214","2026-06-11","17:46","Lemonade","Beverage","2","3.5","0.1","Card","Delivery","6.3","Noah"
"TX-0215","2026-06-28","12:50","French Fries","Side","2","4.5","0","Cash","Dine-in","9","Liam"
"TX-0216","2026-06-22","12:06","Cheesecake","Dessert","4","7","0.15","Cash","Takeaway","23.8","Ava"
"TX-0217","2026-06-07","17:11","Tomato Soup","Starter","2","6","0.1","Online","Dine-in","10.8","Ava"
"TX-0218","2026-06-30","20:46","Chocolate Cake","Dessert","1","6.5","0.05","Online","Delivery","6.18","Liam"
"TX-0219","2026-06-20","19:47","Chocolate Cake","Dessert","2","6.5","0","Online","Delivery","13","Ava"
"TX-0220","2026-06-08","18:19","Espresso","Beverage","2","2.5","0.1","Cash","Takeaway","4.5","Maya"
"TX-0221","2026-06-02","14:09","Chicken Wrap","Main Course","2","10","0","Card","Delivery","20","Noah"
"TX-0222","2026-06-22","14:39","Cheesecake","Dessert","3","7","0.1","Card","Delivery","18.9","Liam"
"TX-0223","2026-06-14","20:12","Classic Burger","Main Course","2","12.5","0","Card","Dine-in","25","Maya"
"TX-0224","2026-06-18","22:58","Cola","Beverage","1","3","0","Online","Dine-in","3","Liam"
"TX-0225","2026-06-07","10:11","Chocolate Cake","Dessert","4","6.5","0.1","Online","Dine-in","23.4","Noah"
"TX-0226","2026-06-28","21:08","Cola","Beverage","4","3","0","Card","Delivery","12","Ava"
"TX-0227","2026-06-21","11:12","Classic Burger","Main Course","3","12.5","0","Cash","Dine-in","37.5","Noah"
"TX-0228","2026-06-05","11:02","Lemonade","Beverage","4","3.5","0","Cash","Dine-in","14","Ava"
"TX-0229","2026-06-22","14:00","Tomato Soup","Starter","1","6","0","Card","Delivery","6","Maya"
"TX-0230","2026-06-15","22:46","Lemonade","Beverage","4","3.5","0","Card","Takeaway","14","Liam"
"TX-0231","2026-06-12","18:23","Cheesecake","Dessert","1","7","0.1","Online","Takeaway","6.3","Maya"
"TX-0232","2026-06-21","16:17","Caesar Salad","Starter","3","8.5","0.1","Cash","Dine-in","22.95","Liam"
"TX-0233","2026-06-10","17:03","Chocolate Cake","Dessert","4","6.5","0","Cash","Takeaway","26","Liam"
"TX-0234","2026-06-12","12:46","Chicken Wrap","Main Course","2","10","0","Online","Dine-in","20","Maya"
"TX-0235","2026-06-06","22:09","Tomato Soup","Starter","1","6","0","Card","Delivery","6","Noah"
"TX-0236","2026-06-09","17:40","Espresso","Beverage","4","2.5","0.05","Online","Delivery","9.5","Noah"
"TX-0237","2026-06-01","18:07","Lemonade","Beverage","2","3.5","0.15","Online","Delivery","5.95","Liam"
"TX-0238","2026-06-05","20:51","Margherita Pizza","Main Course","2","11.5","0","Online","Takeaway","23","Ava"
"TX-0239","2026-06-23","20:23","French Fries","Side","1","4.5","0","Online","Takeaway","4.5","Noah"
"TX-0240","2026-06-21","16:07","Caesar Salad","Starter","1","8.5","0.1","Online","Dine-in","7.65","Noah"
"TX-0241","2026-06-06","11:04","Cola","Beverage","1","3","0.15","Online","Dine-in","2.55","Ava"
"TX-0243","2026-06-30","17:00","Caesar Salad","Starter","1","8.5","0","Cash","Takeaway","8.5","Maya"
"TX-0244","2026-06-06","15:08","Margherita Pizza","Main Course","4","11.5","0","Cash","Takeaway","46","Ava"
"TX-0245","2026-06-09","22:09","Tomato Soup","Starter","2","6","0.15","Card","Takeaway","10.2","Liam"
"TX-0246","2026-06-30","21:14","Classic Burger","Main Course","1","12.5","0.1","Card","Dine-in","11.25","Noah"
"TX-0247","2026-06-10","13:57","Tomato Soup","Starter","3","6","0.1","Card","Dine-in","16.2","Liam"
"TX-0248","2026-06-18","21:01","Tomato Soup","Starter","4","6","0","Cash","Dine-in","24","Maya"
"TX-0249","2026-06-05","19:41","Margherita Pizza","Main Course","4","11.5","0","Card","Dine-in","46","Maya"
"TX-0250","2026-06-17","13:07","Cheesecake","Dessert","3","7","0","Cash","Delivery","21","Maya"
"TX-0251","2026-06-27","13:33","Caesar Salad","Starter","4","8.5","0.05","Online","Takeaway","32.3","Ava"
"TX-0252","2026-06-21","11:48","Chocolate Cake","Dessert","2","6.5","0","Online","Delivery","13","Ava"
"TX-0254","2026-06-15","13:02","Cheesecake","Dessert","1","7","0.15","Cash","Delivery","5.95","Liam"
