SalesLineKey,OrderID,DateKey,CustomerKey,ProductKey,StoreKey,Quantity,DiscountPct,SalesAmount,CostAmount,ProfitAmount
72,ORD-0046,20260419,168,3,2,2,0,110,56,54
73,ORD-0047,20260508,176,1,3,5,0,170,90,80
74,ORD-0047,20260508,176,1,3,3,0.15,86.7,54,32.7
75,ORD-0047,20260508,176,7,3,5,0,445,220,225
76,ORD-0048,20260730,44,5,4,1,0,49,22,27
77,ORD-0049,20260617,167,10,2,3,0,225,108,117
78,ORD-0049,20260617,167,12,2,1,0.05,379.05,225,154.05
79,ORD-0050,20260616,24,5,1,4,0.05,186.2,88,98.2
80,ORD-0051,20260722,73,5,1,2,0,98,44,54
81,ORD-0052,20260426,153,4,3,1,0,249,145,104
82,ORD-0052,20260426,153,5,3,2,0,98,44,54
83,ORD-0053,20260329,134,11,3,2,0.15,372.3,230,142.3
84,ORD-0054,20260627,56,12,1,4,0.15,1356.6,900,456.6
85,ORD-0055,20260321,157,1,2,4,0,136,72,64
86,ORD-0056,20260319,27,3,1,2,0,110,56,54
87,ORD-0057,20260205,35,2,4,1,0.15,67.15,42,25.15
88,ORD-0057,20260205,35,4,4,5,0,1245,725,520
89,ORD-0058,20260225,17,1,2,2,0.15,57.8,36,21.8
90,ORD-0059,20260613,169,8,3,4,0.05,171.0,80,91.0
91,ORD-0059,20260613,169,6,3,5,0,695,390,305
92,ORD-0060,20260303,35,9,1,2,0.15,202.3,126,76.3
93,ORD-0061,20260602,37,4,2,1,0.15,211.65,145,66.65
94,ORD-0062,20260605,111,2,1,1,0,79,42,37
95,ORD-0063,20260404,153,2,3,5,0,395,210,185
96,ORD-0063,20260404,153,5,3,5,0.05,232.75,110,122.75
97,ORD-0064,20260628,90,4,1,3,0,747,435,312
98,ORD-0065,20260707,149,1,2,1,0.15,28.9,18,10.9
99,ORD-0066,20260430,58,1,1,2,0.15,57.8,36,21.8
100,ORD-0066,20260430,58,11,1,5,0.15,930.75,575,355.75
101,ORD-0066,20260430,58,4,1,2,0.15,423.3,290,133.3
102,ORD-0067,20260513,164,5,3,4,0.15,166.6,88,78.6
103,ORD-0068,20260510,44,8,2,5,0,225,100,125
104,ORD-0069,20260310,86,9,4,3,0.1,321.3,189,132.3
105,ORD-0070,20260331,120,8,4,4,0,180,80,100
106,ORD-0071,20260531,17,6,4,1,0.15,118.15,78,40.15
107,ORD-0072,20260219,92,8,3,1,0.1,40.5,20,20.5
108,ORD-0073,20260601,152,12,1,4,0.1,1436.4,900,536.4
109,ORD-0073,20260601,152,6,1,2,0.1,250.2,156,94.2
110,ORD-0074,20260608,180,1,2,3,0.1,91.8,54,37.8
111,ORD-0075,20260508,136,2,2,2,0.05,150.1,84,66.1
112,ORD-0075,20260508,136,9,2,4,0.05,452.2,252,200.2
113,ORD-0076,20260529,79,6,4,2,0,278,156,122
114,ORD-0077,20260110,54,12,2,5,0.1,1795.5,1125,670.5
115,ORD-0078,20260709,45,4,1,1,0.15,211.65,145,66.65
116,ORD-0078,20260709,45,7,1,5,0.05,422.75,220,202.75
117,ORD-0078,20260709,45,5,1,3,0.15,124.95,66,58.95
118,ORD-0079,20260406,49,6,2,3,0,417,234,183
119,ORD-0080,20260311,163,4,3,1,0,249,145,104
120,ORD-0081,20260523,88,11,4,3,0,657,345,312
121,ORD-0082,20260627,4,1,3,3,0,102,54,48
122,ORD-0082,20260627,4,2,3,1,0,79,42,37
123,ORD-0083,20260314,140,1,1,3,0.05,96.9,54,42.9
124,ORD-0083,20260314,140,7,1,2,0.15,151.3,88,63.3
125,ORD-0083,20260314,140,9,1,5,0,595,315,280
126,ORD-0084,20260128,93,9,2,4,0.05,452.2,252,200.2
127,ORD-0085,20260423,128,1,1,1,0,34,18,16
128,ORD-0085,20260423,128,1,1,1,0.1,30.6,18,12.6
129,ORD-0086,20260306,111,3,1,3,0.05,156.75,84,72.75
130,ORD-0086,20260306,111,8,1,5,0,225,100,125
131,ORD-0086,20260306,111,12,1,2,0.15,678.3,450,228.3
132,ORD-0087,20260717,107,4,3,1,0,249,145,104
133,ORD-0088,20260218,84,9,4,5,0,595,315,280
134,ORD-0089,20260110,168,9,3,5,0,595,315,280
135,ORD-0090,20260214,136,9,3,5,0,595,315,280
136,ORD-0091,20260428,123,10,1,1,0,75,36,39
137,ORD-0092,20260731,122,4,1,1,0.1,224.1,145,79.1
138,ORD-0092,20260731,122,3,1,4,0,220,112,108
139,ORD-0092,20260731,122,5,1,3,0.1,132.3,66,66.3
140,ORD-0093,20260121,167,3,4,4,0.1,198.0,112,86.0
141,ORD-0094,20260129,179,5,3,2,0,98,44,54
142,ORD-0095,20260619,104,8,4,1,0.15,38.25,20,18.25
143,ORD-0096,20260723,163,10,3,4,0.1,270.0,144,126.0
144,ORD-0097,20260613,28,11,4,5,0,1095,575,520
145,ORD-0098,20260501,128,10,2,1,0,75,36,39
146,ORD-0099,20260222,74,10,3,5,0,375,180,195
147,ORD-0100,20260419,39,10,1,3,0.05,213.75,108,105.75
148,ORD-0101,20260423,107,6,4,3,0,417,234,183
149,ORD-0101,20260423,107,5,4,2,0.15,83.3,44,39.3
150,ORD-0102,20260718,108,6,4,1,0.1,125.1,78,47.1
151,ORD-0103,20260627,114,2,2,4,0.05,300.2,168,132.2
152,ORD-0104,20260522,99,10,1,3,0.05,213.75,108,105.75
153,ORD-0105,20260412,152,6,1,2,0.1,250.2,156,94.2
154,ORD-0106,20260603,174,11,1,5,0,1095,575,520
155,ORD-0107,20260502,24,5,2,4,0.05,186.2,88,98.2
156,ORD-0108,20260707,149,5,3,4,0,196,88,108
157,ORD-0109,20260409,44,4,4,5,0.05,1182.75,725,457.75
158,ORD-0109,20260409,44,6,4,3,0.15,354.45,234,120.45
159,ORD-0109,20260409,44,10,4,1,0.05,71.25,36,35.25
160,ORD-0110,20260201,74,3,1,2,0.05,104.5,56,48.5
161,ORD-0111,20260705,25,5,2,4,0.1,176.4,88,88.4
162,ORD-0112,20260420,160,4,2,4,0,996,580,416
163,ORD-0113,20260313,67,2,4,3,0.05,225.15,126,99.15
164,ORD-0114,20260324,74,4,2,5,0.15,1058.25,725,333.25
165,ORD-0115,20260228,165,10,4,2,0,150,72,78
166,ORD-0116,20260428,7,3,3,1,0,55,28,27
167,ORD-0117,20260424,24,8,2,2,0.05,85.5,40,45.5
168,ORD-0118,20260521,169,10,3,1,0.15,63.75,36,27.75
169,ORD-0119,20260416,102,10,4,4,0,300,144,156
170,ORD-0120,20260618,110,4,2,3,0,747,435,312
171,ORD-0121,20260218,62,4,3,5,0,1245,725,520
172,ORD-0122,20260713,161,1,1,5,0.1,153.0,90,63.0
173,ORD-0123,20260617,8,9,3,3,0,357,189,168
174,ORD-0124,20260608,62,7,3,3,0.1,240.3,132,108.3
175,ORD-0125,20260529,22,10,3,1,0.05,71.25,36,35.25
176,ORD-0125,20260529,22,5,3,5,0.15,208.25,110,98.25
177,ORD-0126,20260531,62,1,1,2,0.05,64.6,36,28.6
178,ORD-0126,20260531,62,12,1,2,0,798,450,348
179,ORD-0127,20260511,84,9,1,5,0.05,565.25,315,250.25
180,ORD-0127,20260511,84,9,1,3,0,357,189,168
181,ORD-0128,20260616,174,9,4,5,0.1,535.5,315,220.5
182,ORD-0129,20260207,109,11,3,2,0.15,372.3,230,142.3
183,ORD-0130,20260604,14,1,1,4,0,136,72,64
184,ORD-0130,20260604,14,12,1,5,0,1995,1125,870
185,ORD-0131,20260407,87,1,3,5,0,170,90,80
186,ORD-0131,20260407,87,9,3,4,0,476,252,224
187,ORD-0131,20260407,87,3,3,2,0,110,56,54
188,ORD-0132,20260213,169,2,1,4,0.15,268.6,168,100.6
189,ORD-0133,20260618,134,1,4,3,0,102,54,48
190,ORD-0134,20260622,98,5,4,1,0,49,22,27
191,ORD-0134,20260622,98,11,4,4,0,876,460,416
192,ORD-0134,20260622,98,4,4,3,0,747,435,312
193,ORD-0135,20260214,164,6,4,2,0.05,264.1,156,108.1
194,ORD-0135,20260214,164,12,4,4,0.05,1516.2,900,616.2
195,ORD-0136,20260729,83,12,3,1,0.05,379.05,225,154.05
196,ORD-0136,20260729,83,8,3,2,0.05,85.5,40,45.5
197,ORD-0137,20260726,45,4,3,5,0,1245,725,520
198,ORD-0138,20260408,75,5,1,4,0,196,88,108
199,ORD-0139,20260420,145,3,2,3,0.15,140.25,84,56.25
200,ORD-0139,20260420,145,2,2,5,0,395,210,185
201,ORD-0140,20260214,170,6,2,2,0,278,156,122
202,ORD-0141,20260630,148,4,2,5,0,1245,725,520
203,ORD-0141,20260630,148,8,2,3,0,135,60,75
204,ORD-0142,20260103,44,9,3,3,0,357,189,168
205,ORD-0143,20260612,61,7,1,5,0.15,378.25,220,158.25
206,ORD-0144,20260414,120,3,2,2,0,110,56,54
207,ORD-0145,20260313,26,12,1,4,0.1,1436.4,900,536.4
208,ORD-0146,20260216,141,6,1,1,0.1,125.1,78,47.1
209,ORD-0147,20260723,151,5,4,5,0,245,110,135
210,ORD-0147,20260723,151,12,4,5,0.15,1695.75,1125,570.75
211,ORD-0147,20260723,151,1,4,5,0,170,90,80
212,ORD-0148,20260212,134,2,4,5,0.05,375.25,210,165.25
213,ORD-0149,20260724,52,11,4,3,0.1,591.3,345,246.3
214,ORD-0149,20260724,52,4,4,3,0,747,435,312
215,ORD-0150,20260430,171,6,3,2,0,278,156,122
216,ORD-0151,20260319,96,8,4,3,0.1,121.5,60,61.5
217,ORD-0151,20260319,96,12,4,1,0.05,379.05,225,154.05
218,ORD-0152,20260621,158,12,2,4,0.1,1436.4,900,536.4
219,ORD-0153,20260715,149,3,3,5,0.15,233.75,140,93.75
220,ORD-0153,20260715,149,1,3,5,0.15,144.5,90,54.5
221,ORD-0154,20260625,148,8,4,4,0.15,153.0,80,73.0
222,ORD-0154,20260625,148,7,4,2,0.05,169.1,88,81.1
223,ORD-0155,20260216,133,3,4,2,0,110,56,54
224,ORD-0156,20260506,137,7,3,3,0.05,253.65,132,121.65
225,ORD-0156,20260506,137,4,3,5,0,1245,725,520
226,ORD-0157,20260326,109,11,2,5,0,1095,575,520
227,ORD-0157,20260326,109,1,2,2,0.05,64.6,36,28.6
228,ORD-0158,20260429,91,11,3,2,0.05,416.1,230,186.1
229,ORD-0159,20260404,151,2,4,2,0.15,134.3,84,50.3
230,ORD-0160,20260714,8,4,2,5,0,1245,725,520
231,ORD-0160,20260714,8,2,2,1,0,79,42,37
232,ORD-0161,20260715,86,11,3,1,0,219,115,104
233,ORD-0161,20260715,86,3,3,5,0.1,247.5,140,107.5
234,ORD-0162,20260615,109,2,4,3,0.05,225.15,126,99.15
235,ORD-0162,20260615,109,2,4,2,0,158,84,74
236,ORD-0162,20260615,109,6,4,2,0.05,264.1,156,108.1
237,ORD-0163,20260513,84,10,2,4,0,300,144,156
238,ORD-0163,20260513,84,2,2,1,0.05,75.05,42,33.05
239,ORD-0164,20260330,5,8,1,2,0,90,40,50
240,ORD-0165,20260216,68,3,1,5,0,275,140,135
241,ORD-0165,20260216,68,2,1,2,0,158,84,74
242,ORD-0166,20260605,122,2,3,3,0,237,126,111
243,ORD-0167,20260207,129,1,1,1,0,34,18,16
244,ORD-0167,20260207,129,1,1,1,0.15,28.9,18,10.9
245,ORD-0168,20260521,171,10,4,1,0.05,71.25,36,35.25
246,ORD-0169,20260503,89,3,2,1,0,55,28,27
247,ORD-0170,20260616,53,6,4,2,0.05,264.1,156,108.1
248,ORD-0171,20260305,62,4,3,5,0,1245,725,520
249,ORD-0171,20260305,62,6,3,4,0,556,312,244
250,ORD-0172,20260313,106,4,3,1,0,249,145,104
251,ORD-0173,20260717,62,9,3,2,0.15,202.3,126,76.3
252,ORD-0174,20260423,30,9,1,3,0.1,321.3,189,132.3
253,ORD-0175,20260403,17,6,1,4,0.1,500.4,312,188.4
254,ORD-0175,20260403,17,1,1,2,0,68,36,32
255,ORD-0175,20260403,17,2,1,3,0,237,126,111
256,ORD-0176,20260616,9,5,3,4,0.1,176.4,88,88.4
257,ORD-0176,20260616,9,2,3,2,0,158,84,74
258,ORD-0177,20260501,95,8,3,3,0.05,128.25,60,68.25
259,ORD-0177,20260501,95,12,3,4,0.1,1436.4,900,536.4
260,ORD-0178,20260505,70,3,3,3,0,165,84,81
261,ORD-0178,20260505,70,3,3,5,0,275,140,135
262,ORD-0179,20260515,75,11,4,2,0.05,416.1,230,186.1
263,ORD-0180,20260317,180,9,3,4,0,476,252,224
264,ORD-0181,20260731,144,9,1,4,0,476,252,224
265,ORD-0181,20260731,144,9,1,1,0.1,107.1,63,44.1
266,ORD-0182,20260414,106,1,1,3,0.1,91.8,54,37.8
267,ORD-0182,20260414,106,7,1,4,0,356,176,180
268,ORD-0183,20260614,49,8,1,3,0.1,121.5,60,61.5
269,ORD-0184,20260530,34,6,2,4,0.15,472.6,312,160.6
270,ORD-0184,20260530,34,6,2,3,0,417,234,183
271,ORD-0184,20260530,34,7,2,1,0,89,44,45
272,ORD-0185,20260202,124,8,4,5,0.15,191.25,100,91.25
273,ORD-0185,20260202,124,11,4,4,0.05,832.2,460,372.2
274,ORD-0186,20260501,89,2,3,2,0.15,134.3,84,50.3
275,ORD-0187,20260428,80,11,4,1,0.1,197.1,115,82.1
276,ORD-0187,20260428,80,11,4,3,0.15,558.45,345,213.45
277,ORD-0188,20260106,48,11,1,1,0.15,186.15,115,71.15
278,ORD-0189,20260727,156,9,4,1,0.05,113.05,63,50.05
279,ORD-0189,20260727,156,8,4,2,0,90,40,50
280,ORD-0190,20260422,18,4,3,1,0,249,145,104
281,ORD-0191,20260702,105,7,1,5,0,445,220,225
282,ORD-0192,20260610,54,6,1,2,0.05,264.1,156,108.1
283,ORD-0193,20260109,57,3,1,4,0,220,112,108
284,ORD-0194,20260520,63,9,4,1,0.05,113.05,63,50.05
285,ORD-0195,20260405,19,2,3,2,0,158,84,74
286,ORD-0196,20260526,168,1,1,1,0,34,18,16
287,ORD-0196,20260526,168,2,1,4,0.15,268.6,168,100.6
288,ORD-0197,20260403,72,5,4,1,0.1,44.1,22,22.1
289,ORD-0198,20260501,69,6,3,4,0,556,312,244
290,ORD-0199,20260402,38,10,3,5,0,375,180,195
291,ORD-0199,20260402,38,8,3,4,0.05,171.0,80,91.0
292,ORD-0200,20260320,131,9,1,5,0.15,505.75,315,190.75
293,ORD-0200,20260320,131,2,1,5,0,395,210,185
294,ORD-0201,20260621,179,2,2,2,0.1,142.2,84,58.2
295,ORD-0201,20260621,179,9,2,4,0,476,252,224
296,ORD-0202,20260630,161,7,1,2,0,178,88,90
297,ORD-0202,20260630,161,6,1,1,0.1,125.1,78,47.1
298,ORD-0202,20260630,161,3,1,5,0.1,247.5,140,107.5
299,ORD-0203,20260319,100,7,1,4,0.15,302.6,176,126.6
300,ORD-0203,20260319,100,6,1,5,0,695,390,305
301,ORD-0204,20260626,72,1,1,3,0,102,54,48
302,ORD-0204,20260626,72,11,1,3,0,657,345,312
303,ORD-0204,20260626,72,10,1,2,0,150,72,78
304,ORD-0205,20260620,76,8,4,1,0,45,20,25
305,ORD-0206,20260418,32,1,4,4,0.1,122.4,72,50.4
306,ORD-0206,20260418,32,5,4,5,0,245,110,135
307,ORD-0207,20260226,69,4,4,3,0,747,435,312
308,ORD-0207,20260226,69,12,4,3,0.15,1017.45,675,342.45
309,ORD-0207,20260226,69,3,4,5,0,275,140,135
310,ORD-0208,20260205,166,10,3,1,0.15,63.75,36,27.75
311,ORD-0208,20260205,166,1,3,4,0,136,72,64
312,ORD-0209,20260214,18,3,1,4,0,220,112,108
313,ORD-0209,20260214,18,6,1,1,0,139,78,61
314,ORD-0210,20260519,46,5,2,5,0.15,208.25,110,98.25
315,ORD-0211,20260729,30,11,4,1,0,219,115,104
316,ORD-0212,20260406,5,11,3,3,0,657,345,312
317,ORD-0213,20260314,19,1,3,3,0,102,54,48
318,ORD-0213,20260314,19,11,3,3,0,657,345,312
319,ORD-0214,20260206,148,3,1,2,0.15,93.5,56,37.5
320,ORD-0215,20260225,156,8,1,4,0,180,80,100
321,ORD-0215,20260225,156,7,1,2,0,178,88,90
322,ORD-0216,20260413,117,12,4,1,0,399,225,174
323,ORD-0217,20260618,130,12,1,3,0,1197,675,522
324,ORD-0218,20260204,180,5,1,3,0.05,139.65,66,73.65
325,ORD-0219,20260105,16,12,1,3,0,1197,675,522
326,ORD-0219,20260105,16,12,1,3,0.05,1137.15,675,462.15
327,ORD-0219,20260105,16,6,1,1,0,139,78,61
328,ORD-0220,20260528,175,6,1,3,0,417,234,183
329,ORD-0221,20260620,57,7,4,4,0.15,302.6,176,126.6
330,ORD-0222,20260704,97,5,1,3,0.1,132.3,66,66.3
331,ORD-0222,20260704,97,11,1,3,0.05,624.15,345,279.15
332,ORD-0223,20260623,117,7,4,4,0.05,338.2,176,162.2
333,ORD-0224,20260125,120,4,2,1,0,249,145,104
334,ORD-0225,20260214,112,6,4,4,0.05,528.2,312,216.2
335,ORD-0226,20260626,116,10,3,5,0.15,318.75,180,138.75
336,ORD-0226,20260626,116,7,3,1,0,89,44,45
337,ORD-0226,20260626,116,1,3,5,0,170,90,80
338,ORD-0227,20260614,173,4,4,1,0,249,145,104
339,ORD-0228,20260607,14,5,3,5,0,245,110,135
340,ORD-0229,20260606,76,1,2,3,0,102,54,48
341,ORD-0230,20260614,130,6,4,4,0,556,312,244
342,ORD-0230,20260614,130,2,4,2,0,158,84,74
343,ORD-0231,20260731,96,10,1,2,0,150,72,78
344,ORD-0232,20260601,97,5,1,2,0.15,83.3,44,39.3
345,ORD-0233,20260603,87,10,2,1,0.05,71.25,36,35.25
346,ORD-0233,20260603,87,11,2,1,0,219,115,104
347,ORD-0234,20260116,27,1,3,1,0.1,30.6,18,12.6
348,ORD-0234,20260116,27,3,3,1,0,55,28,27
349,ORD-0234,20260116,27,1,3,2,0,68,36,32
350,ORD-0235,20260518,168,6,1,4,0,556,312,244
351,ORD-0235,20260518,168,12,1,5,0.1,1795.5,1125,670.5
352,ORD-0235,20260518,168,11,1,3,0.05,624.15,345,279.15
353,ORD-0236,20260114,58,6,2,5,0,695,390,305
354,ORD-0237,20260206,165,2,3,1,0.15,67.15,42,25.15
355,ORD-0237,20260206,165,2,3,5,0,395,210,185
356,ORD-0237,20260206,165,7,3,1,0.15,75.65,44,31.65
357,ORD-0238,20260624,162,6,3,5,0.15,590.75,390,200.75
358,ORD-0238,20260624,162,2,3,2,0.15,134.3,84,50.3
359,ORD-0239,20260401,65,11,1,4,0,876,460,416
360,ORD-0239,20260401,65,8,1,4,0.1,162.0,80,82.0
361,ORD-0240,20260704,97,12,3,3,0,1197,675,522
362,ORD-0241,20260425,25,2,2,4,0.15,268.6,168,100.6
363,ORD-0241,20260425,25,1,2,1,0,34,18,16
364,ORD-0241,20260425,25,2,2,2,0.15,134.3,84,50.3
365,ORD-0242,20260622,10,5,2,2,0,98,44,54
366,ORD-0243,20260223,73,2,4,5,0.15,335.75,210,125.75
367,ORD-0244,20260716,165,10,4,5,0,375,180,195
368,ORD-0244,20260716,165,10,4,3,0.15,191.25,108,83.25
369,ORD-0244,20260716,165,1,4,5,0.05,161.5,90,71.5
370,ORD-0245,20260329,172,11,4,5,0,1095,575,520
371,ORD-0245,20260329,172,4,4,1,0,249,145,104
372,ORD-0246,20260227,152,5,3,3,0,147,66,81
373,ORD-0246,20260227,152,1,3,2,0,68,36,32
374,ORD-0247,20260118,165,8,1,5,0,225,100,125
375,ORD-0247,20260118,165,4,1,1,0.15,211.65,145,66.65
376,ORD-0247,20260118,165,1,1,4,0,136,72,64
377,ORD-0248,20260518,1,3,4,1,0,55,28,27
378,ORD-0248,20260518,1,12,4,5,0,1995,1125,870
379,ORD-0249,20260611,96,11,2,2,0,438,230,208
380,ORD-0250,20260517,24,3,1,1,0,55,28,27
381,ORD-0251,20260419,7,1,2,3,0,102,54,48
382,ORD-0252,20260502,60,3,4,3,0,165,84,81
383,ORD-0253,20260613,135,4,1,5,0,1245,725,520
384,ORD-0254,20260527,3,7,4,4,0,356,176,180
385,ORD-0255,20260716,175,8,1,4,0,180,80,100
386,ORD-0255,20260716,175,8,1,4,0.05,171.0,80,91.0
387,ORD-0256,20260629,118,9,4,2,0.1,214.2,126,88.2
388,ORD-0256,20260629,118,11,4,3,0.05,624.15,345,279.15
389,ORD-0257,20260212,49,4,1,4,0,996,580,416
390,ORD-0257,20260212,49,5,1,4,0.05,186.2,88,98.2
391,ORD-0257,20260212,49,6,1,3,0,417,234,183
392,ORD-0258,20260108,112,10,1,4,0.05,285.0,144,141.0
393,ORD-0258,20260108,112,8,1,3,0.15,114.75,60,54.75
394,ORD-0259,20260606,43,6,1,5,0.15,590.75,390,200.75
395,ORD-0259,20260606,43,8,1,3,0,135,60,75
396,ORD-0260,20260604,153,5,3,5,0.15,208.25,110,98.25
397,ORD-0260,20260604,153,11,3,2,0.15,372.3,230,142.3
398,ORD-0261,20260718,21,1,2,1,0.1,30.6,18,12.6
399,ORD-0262,20260609,51,7,2,3,0,267,132,135
400,ORD-0263,20260605,80,9,3,5,0.15,505.75,315,190.75
401,ORD-0264,20260422,80,12,2,4,0.05,1516.2,900,616.2
402,ORD-0264,20260422,80,8,2,4,0.15,153.0,80,73.0
403,ORD-0264,20260422,80,2,2,2,0,158,84,74
404,ORD-0265,20260710,170,2,3,3,0.15,201.45,126,75.45
405,ORD-0265,20260710,170,6,3,2,0,278,156,122
406,ORD-0266,20260127,103,1,2,5,0,170,90,80
407,ORD-0267,20260708,88,5,4,5,0,245,110,135
408,ORD-0268,20260220,41,4,4,3,0,747,435,312
409,ORD-0269,20260323,8,6,1,2,0,278,156,122
410,ORD-0269,20260323,8,3,1,1,0,55,28,27
411,ORD-0270,20260419,159,10,1,4,0,300,144,156
412,ORD-0271,20260401,135,11,2,4,0,876,460,416
413,ORD-0272,20260521,147,10,3,1,0,75,36,39
414,ORD-0272,20260521,147,3,3,5,0.05,261.25,140,121.25
415,ORD-0273,20260201,51,9,2,4,0.05,452.2,252,200.2
416,ORD-0273,20260201,51,9,2,5,0,595,315,280
417,ORD-0274,20260102,117,3,2,4,0.05,209.0,112,97.0
418,ORD-0275,20260207,174,1,4,4,0,136,72,64
419,ORD-0276,20260325,140,1,3,2,0.15,57.8,36,21.8
420,ORD-0277,20260401,96,6,1,5,0.1,625.5,390,235.5
421,ORD-0277,20260401,96,2,1,5,0.05,375.25,210,165.25
422,ORD-0278,20260513,179,5,1,5,0.1,220.5,110,110.5
423,ORD-0278,20260513,179,3,1,1,0,55,28,27
424,ORD-0279,20260504,141,2,4,2,0.1,142.2,84,58.2
425,ORD-0279,20260504,141,2,4,4,0.15,268.6,168,100.6
426,ORD-0280,20260625,134,12,3,4,0.15,1356.6,900,456.6
427,ORD-0281,20260109,90,8,2,3,0,135,60,75
428,ORD-0281,20260109,90,11,2,1,0,219,115,104
429,ORD-0282,20260506,57,4,1,2,0.05,473.1,290,183.1
430,ORD-0283,20260524,64,2,1,2,0,158,84,74
431,ORD-0283,20260524,64,3,1,5,0.1,247.5,140,107.5
432,ORD-0284,20260113,30,12,4,2,0,798,450,348
