promotion_row_id,order_id,promo_code,discount_amount
264,434,PROMO01,4.03
265,437,PROMO01,6.3
266,438,PROMO02,10.03
267,438,PROMO04,2.73
268,440,PROMO07,9.85
269,440,PROMO08,5.57
270,444,PROMO06,6.92
271,447,PROMO05,4.62
272,448,PROMO08,3.24
273,449,PROMO09,10.22
274,454,PROMO04,10.94
275,454,PROMO05,11.27
276,455,PROMO08,11.23
277,455,PROMO01,3.23
278,458,PROMO06,6.48
279,459,PROMO05,4.23
280,460,PROMO04,9.98
281,461,PROMO04,2.44
282,462,PROMO03,7.87
283,469,PROMO08,9.23
284,473,PROMO03,3.68
285,473,PROMO06,8.84
286,476,PROMO09,11.22
287,478,PROMO06,5.87
288,481,PROMO01,6.05
289,481,PROMO04,6.36
290,483,PROMO09,6.77
291,486,PROMO09,9.91
292,488,PROMO01,3.11
293,489,PROMO09,8.61
294,491,PROMO03,5.79
295,492,PROMO03,7.95
296,492,PROMO09,3.17
297,493,PROMO04,4.12
298,494,PROMO06,4.16
299,496,PROMO08,5.52
300,499,PROMO08,6.53
301,500,PROMO01,3.9
302,502,PROMO04,6.99
303,502,PROMO05,6.75
304,504,PROMO06,10.55
305,506,PROMO07,9.72
306,507,PROMO01,5.23
307,510,PROMO08,9.11
308,511,PROMO08,2.98
309,512,PROMO03,7.63
310,514,PROMO02,9.55
311,517,PROMO01,8.34
312,519,PROMO07,7.96
313,520,PROMO02,7.04
314,520,PROMO02,3.81
315,523,PROMO05,7.23
316,526,PROMO09,7.17
317,531,PROMO09,11.34
318,532,PROMO08,9.15
319,533,PROMO08,2.19
320,534,PROMO01,3.61
321,535,PROMO05,4.61
322,538,PROMO01,8.54
323,543,PROMO05,5.88
324,544,PROMO06,9.04
325,546,PROMO03,10.61
326,550,PROMO09,5.87
327,555,PROMO08,6.71
328,556,PROMO08,9.76
329,559,PROMO07,2.45
330,559,PROMO03,3.97
331,561,PROMO09,7.22
332,562,PROMO09,2.79
333,564,PROMO07,10.23
334,566,PROMO04,7.44
335,569,PROMO04,5.75
336,573,PROMO08,6.83
337,577,PROMO06,3.45
338,578,PROMO03,10.38
339,579,PROMO08,2.45
340,580,PROMO04,2.68
341,582,PROMO03,5.84
342,582,PROMO08,6.77
343,583,PROMO03,6.24
344,586,PROMO03,2.79
345,587,PROMO04,3.46
346,588,PROMO08,6.64
347,594,PROMO05,8.75
348,596,PROMO09,5.06
349,596,PROMO06,3.15
350,599,PROMO04,11.89
351,600,PROMO08,11.9
352,601,PROMO07,2.24
353,604,PROMO02,7.59
354,604,PROMO08,9.5
355,605,PROMO02,10.12
356,605,PROMO01,7.64
357,607,PROMO07,7.65
358,611,PROMO07,2.85
359,612,PROMO09,11.93
360,612,PROMO01,10.77
361,613,PROMO08,7.28
362,614,PROMO08,8.88
363,615,PROMO03,5.54
364,616,PROMO07,4.78
365,618,PROMO05,3.07
366,620,PROMO07,6.38
367,623,PROMO03,3.79
368,623,PROMO09,9.69
369,624,PROMO03,4.54
370,626,PROMO04,3.66
371,627,PROMO04,8.8
372,627,PROMO03,7.88
373,628,PROMO07,5.32
374,629,PROMO03,9.81
375,633,PROMO01,9.84
376,634,PROMO01,4.69
377,634,PROMO08,5.9
378,636,PROMO07,5.34
379,636,PROMO01,11.55
380,638,PROMO03,9.52
381,639,PROMO03,10.79
382,641,PROMO04,2.96
383,643,PROMO04,6.14
384,644,PROMO05,4.99
385,646,PROMO07,11.14
386,646,PROMO03,9.93
387,649,PROMO01,9.46
388,650,PROMO04,9.66
389,650,PROMO07,10.55
390,653,PROMO02,10.7
391,653,PROMO06,5.58
392,655,PROMO01,4.57
393,657,PROMO07,9.6
394,658,PROMO05,10.22
395,660,PROMO01,8.42
396,660,PROMO02,10.33
397,661,PROMO05,3.76
398,665,PROMO03,5.5
399,666,PROMO03,10.13
400,668,PROMO01,5.34
401,672,PROMO05,10.66
402,673,PROMO06,9.74
403,674,PROMO02,3.56
404,675,PROMO03,2.49
405,677,PROMO04,10.86
406,679,PROMO07,2.61
407,680,PROMO03,8.68
408,680,PROMO04,3.16
409,681,PROMO09,4.94
410,684,PROMO07,9.57
411,685,PROMO05,4.82
412,687,PROMO07,7.22
413,688,PROMO04,10.92
414,692,PROMO06,2.58
415,696,PROMO06,11.94
416,703,PROMO08,4.51
417,705,PROMO09,4.18
418,707,PROMO06,10.49
419,707,PROMO06,4.76
420,708,PROMO05,11.92
421,709,PROMO09,5.44
422,709,PROMO01,11.62
423,710,PROMO08,8.74
424,712,PROMO05,2.02
425,715,PROMO07,8.61
426,717,PROMO07,3.64
427,718,PROMO03,5.54
428,719,PROMO05,10.57
429,719,PROMO06,8.67
430,721,PROMO01,3.95
431,722,PROMO03,11.12
432,724,PROMO05,7.58
433,726,PROMO06,2.6
434,727,PROMO04,2.52
435,728,PROMO03,2.16
436,730,PROMO05,7.5
437,731,PROMO04,9.34
438,733,PROMO02,11.71
439,735,PROMO09,4.69
440,736,PROMO01,2.48
441,736,PROMO03,10.94
442,737,PROMO07,10.04
443,737,PROMO06,6.44
444,738,PROMO07,8.28
445,739,PROMO02,8.37
446,740,PROMO08,7.2
447,740,PROMO03,8.16
448,741,PROMO08,5.74
449,742,PROMO02,5.5
450,743,PROMO01,3.16
451,744,PROMO03,9.73
452,749,PROMO01,9.51
453,753,PROMO09,2.89
454,758,PROMO08,2.82
455,759,PROMO09,6.11
456,759,PROMO05,4.01
457,760,PROMO05,6.44
458,761,PROMO08,9.85
459,761,PROMO03,4.11
460,763,PROMO08,8.18
461,763,PROMO02,6.73
462,765,PROMO05,8.1
463,770,PROMO01,11.93
464,771,PROMO03,11.57
465,772,PROMO05,6.43
466,772,PROMO02,3.55
467,774,PROMO09,3.9
468,774,PROMO05,5.04
469,776,PROMO06,5.34
470,779,PROMO08,11.64
471,780,PROMO02,5.26
472,781,PROMO07,2.18
473,781,PROMO07,5.92
474,783,PROMO09,5.91
475,784,PROMO08,6.4
476,787,PROMO05,6.73
477,789,PROMO09,3.9
478,792,PROMO01,10.94
479,796,PROMO03,7.63
480,797,PROMO01,2.52
481,798,PROMO08,6.87
482,800,PROMO03,4.75
483,801,PROMO09,8.59
484,803,PROMO03,7.8
485,803,PROMO03,4.51
486,804,PROMO02,11.49
487,805,PROMO09,2.94
488,806,PROMO06,8.76
489,807,PROMO03,2.25
490,808,PROMO06,4.85
491,809,PROMO06,10.23
492,812,PROMO06,7.79
493,812,PROMO05,7.22
494,814,PROMO02,2.12
495,815,PROMO06,3.91
496,818,PROMO03,8.93
497,819,PROMO05,2.16
498,821,PROMO01,9.84
499,823,PROMO05,10.71
500,824,PROMO08,2.16
501,826,PROMO01,9.85
502,827,PROMO04,2.78
503,828,PROMO02,3.02
504,829,PROMO06,9.48
505,830,PROMO01,8.21
506,831,PROMO09,8.59
507,831,PROMO01,8.79
508,832,PROMO01,4.23
509,833,PROMO07,4.94
510,834,PROMO05,6.31
511,839,PROMO08,9.87
512,839,PROMO04,6.1
513,840,PROMO07,2.22
514,841,PROMO06,10.31
515,841,PROMO06,4.21
516,842,PROMO07,8.96
517,843,PROMO03,10.75
518,846,PROMO02,3.7
519,847,PROMO04,6.8
520,847,PROMO04,3.1
521,849,PROMO04,2.51
522,849,PROMO05,6.12
523,850,PROMO04,3.72
524,851,PROMO03,3.66
525,853,PROMO06,2.76
526,853,PROMO09,5.32
527,856,PROMO05,10.1
528,858,PROMO02,4.79
529,859,PROMO01,10.37
530,863,PROMO05,10.74
531,863,PROMO01,9.55
532,865,PROMO09,3.44
533,865,PROMO01,8.39
534,866,PROMO01,2.13
535,867,PROMO08,8.93
536,868,PROMO02,8.75
537,868,PROMO09,8.9
538,869,PROMO08,8.2
539,870,PROMO01,3.6
540,871,PROMO05,6.31
541,872,PROMO02,10.43
542,874,PROMO09,8.78
543,874,PROMO01,3.77
544,876,PROMO09,3.94
545,878,PROMO06,3.28
546,879,PROMO04,11.05
547,883,PROMO08,10.42
548,884,PROMO03,2.79
549,885,PROMO07,9.45
550,886,PROMO01,7.98
551,887,PROMO06,10.71
552,888,PROMO03,5.65
553,889,PROMO05,2.11
554,889,PROMO07,4.46
555,890,PROMO06,5.92
556,891,PROMO03,2.33
557,893,PROMO09,8.62
558,897,PROMO04,5.84
559,900,PROMO01,10.17
560,901,PROMO08,6.81
561,906,PROMO05,7.59
562,907,PROMO09,5.72
563,911,PROMO02,7.17
564,912,PROMO04,6.67
565,913,PROMO05,10.07
566,913,PROMO09,11.34
567,914,PROMO01,11.42
568,916,PROMO06,6.26
569,918,PROMO08,11.74
570,919,PROMO03,4.62
571,921,PROMO01,3.57
572,922,PROMO01,3.44
573,924,PROMO02,11.05
574,926,PROMO01,9.27
575,927,PROMO04,9.43
576,928,PROMO09,7.88
577,933,PROMO09,9.26
578,934,PROMO01,11.39
579,936,PROMO05,8.41
580,936,PROMO06,2.79
581,941,PROMO02,10.01
582,944,PROMO05,3.63
583,946,PROMO04,9.12
584,949,PROMO03,9.87
585,950,PROMO05,4.89
586,952,PROMO03,2.02
587,952,PROMO01,4.93
588,956,PROMO05,8.52
589,957,PROMO07,3.27
590,957,PROMO03,3.22
591,958,PROMO08,9.71
592,958,PROMO06,3.08
593,959,PROMO02,11.23
594,961,PROMO05,2.77
595,963,PROMO05,3.85
596,964,PROMO06,9.2
597,966,PROMO06,4.02
598,967,PROMO01,7.3
599,971,PROMO07,9.96
600,971,PROMO07,7.23
601,972,PROMO07,11.57
602,973,PROMO03,8.49
603,973,PROMO01,9.96
604,974,PROMO02,2.93
605,974,PROMO09,3.7
606,975,PROMO05,5.28
607,976,PROMO01,4.34
608,978,PROMO04,8.41
609,979,PROMO09,9.06
610,981,PROMO08,10.97
611,984,PROMO07,3.2
612,986,PROMO02,10.1
613,986,PROMO05,6.2
614,987,PROMO05,3.34
615,988,PROMO02,2.03
616,989,PROMO03,7.89
617,991,PROMO06,8.68
618,992,PROMO08,9.87
619,993,PROMO04,8.93
620,993,PROMO06,5.08
621,996,PROMO06,10.01
622,998,PROMO07,2.88
623,1000,PROMO07,8.1
624,1001,PROMO09,10.37
625,1004,PROMO09,11.13
626,1006,PROMO04,8.47
627,1007,PROMO03,9.18
628,1007,PROMO07,2.42
629,1008,PROMO02,5.89
630,1009,PROMO03,2.61
631,1012,PROMO09,3.5
632,1013,PROMO06,10.49
633,1017,PROMO02,3.73
634,1020,PROMO09,7.37
635,1020,PROMO08,7.57
636,1021,PROMO03,5.12
637,1023,PROMO09,5.84
638,1025,PROMO05,6.46
639,1025,PROMO05,7.9
640,1026,PROMO05,9.02
641,1026,PROMO09,6.86
642,1027,PROMO07,9.03
643,1027,PROMO03,11.89
644,1031,PROMO02,7.14
645,1041,PROMO08,3.41
646,1041,PROMO04,2.85
647,1042,PROMO02,5.48
648,1044,PROMO04,9.13
649,1048,PROMO02,5.06
650,1049,PROMO08,5.83
651,1050,PROMO03,9.97
652,1052,PROMO03,4.72
653,1054,PROMO08,4.19
654,1055,PROMO01,10.2
655,1055,PROMO08,3.1
656,1059,PROMO05,10.16
657,1060,PROMO05,2.52
658,1060,PROMO08,11.42
659,1061,PROMO04,10.94
660,1062,PROMO09,3.76
661,1062,PROMO09,9.1
662,1063,PROMO08,4.99
663,1067,PROMO04,5.3
664,1069,PROMO07,11.89
665,1069,PROMO08,3.21
666,1070,PROMO07,2.15
667,1072,PROMO02,2.59
668,1075,PROMO04,9.96
669,1077,PROMO08,9.55
670,1077,PROMO09,2.37
671,1079,PROMO09,10.41
672,1083,PROMO05,11.27
673,1084,PROMO01,7.68
674,1085,PROMO07,8.53
675,1090,PROMO05,11.72
676,1092,PROMO01,7.25
677,1093,PROMO03,2.78
678,1093,PROMO02,8.71
679,1095,PROMO05,8.78
680,1096,PROMO08,9.22
681,1097,PROMO06,10.38
682,1099,PROMO01,5.37
683,1100,PROMO09,9.52
684,1103,PROMO01,11.11
685,1104,PROMO09,2.69
686,1105,PROMO06,8.88
687,1107,PROMO04,10.61
688,1108,PROMO06,6.87
689,1112,PROMO03,7.31
690,1113,PROMO06,6.68
691,1113,PROMO07,4.92
692,1115,PROMO02,3.31
693,1116,PROMO08,10.51
694,1118,PROMO07,4.62
695,1118,PROMO09,2.5
696,1119,PROMO06,6.85
697,1120,PROMO02,2.38
698,1120,PROMO01,7.51
699,1123,PROMO09,3.59
700,1124,PROMO08,9.07
701,1126,PROMO09,6.76
702,1127,PROMO05,2.65
703,1129,PROMO05,3.92
704,1130,PROMO04,7.98
705,1131,PROMO09,8.32
706,1133,PROMO05,10.56
707,1135,PROMO08,5.29
708,1135,PROMO09,4.21
709,1139,PROMO02,4.28
710,1140,PROMO08,7.94
711,1143,PROMO07,7.48
712,1144,PROMO04,4.67
713,1144,PROMO08,3.92
714,1145,PROMO02,4.41
715,1147,PROMO07,11.61
716,1148,PROMO09,5.61
717,1148,PROMO03,7.27
718,1150,PROMO04,9.78
719,1152,PROMO09,6.85
720,1152,PROMO01,2.82
721,1153,PROMO09,7.36
722,1154,PROMO08,2.79
723,1154,PROMO09,10.32
724,1157,PROMO03,7.81
725,1157,PROMO04,8.38
726,1160,PROMO02,11.31
727,1164,PROMO01,11.98
728,1167,PROMO02,9.05
729,1168,PROMO04,7.75
730,1170,PROMO07,2.3
731,1171,PROMO08,2.2
732,1172,PROMO05,8.65
733,1172,PROMO07,6.25
734,1173,PROMO05,11.82
735,1173,PROMO02,8.06
736,1174,PROMO04,9.72
737,1181,PROMO07,4.88
738,1183,PROMO01,6.8
739,1183,PROMO05,9.27
740,1185,PROMO01,2.67
741,1190,PROMO02,7.24
742,1190,PROMO04,2.67
743,1195,PROMO07,4.77
744,1196,PROMO08,3.62
745,1199,PROMO04,4.34
746,1200,PROMO06,10.78
747,1201,PROMO06,2.73
748,1206,PROMO05,2.05
749,1207,PROMO02,6.37
750,1208,PROMO07,8.96
751,1210,PROMO04,2.56
752,1212,PROMO01,11.02
753,1213,PROMO08,5.74
754,1217,PROMO01,8.07
755,1217,PROMO06,9.6
756,1218,PROMO02,3.71
757,1219,PROMO03,3.91
758,1221,PROMO01,6.98
759,1222,PROMO09,11.39
760,1222,PROMO04,10.45
761,1224,PROMO09,9.44
762,1225,PROMO04,10.94
763,1226,PROMO08,2.92
764,1227,PROMO07,7.09
765,1228,PROMO08,7.89
766,1230,PROMO05,10.87
767,1233,PROMO08,4.73
768,1234,PROMO08,9.43
769,1235,PROMO06,2.92
770,1237,PROMO03,7.82
771,1238,PROMO02,7.72
772,1239,PROMO05,9.9
773,1241,PROMO02,8.22
774,1243,PROMO03,9.9
775,1244,PROMO03,9.09
776,1245,PROMO03,9.12
777,1247,PROMO05,10.63
778,1248,PROMO05,5.43
779,1249,PROMO02,3.19
780,1251,PROMO03,11.53
781,1254,PROMO04,7.03
782,1254,PROMO08,11.85
783,1255,PROMO03,3.18
784,1256,PROMO02,11.73
785,1257,PROMO07,4.26
786,1258,PROMO01,11.28
787,1258,PROMO02,9.19
788,1260,PROMO04,2.26
789,1262,PROMO03,6.98
790,1264,PROMO03,5.51
791,1266,PROMO01,11.25
792,1267,PROMO03,6.72
793,1267,PROMO07,9.22
794,1269,PROMO05,7.23
795,1271,PROMO07,2.72
796,1273,PROMO08,5.49
797,1273,PROMO06,2.76
798,1274,PROMO06,3.01
799,1274,PROMO05,10.2
800,1276,PROMO03,8.26
801,1278,PROMO08,7.27
802,1280,PROMO01,7.54
803,1283,PROMO02,7.33
804,1285,PROMO09,6.78
805,1288,PROMO07,2.35
806,1290,PROMO09,3.1
807,1292,PROMO04,11.55
808,1294,PROMO08,10.17
809,1296,PROMO04,7.1
810,1296,PROMO04,3.05
811,1298,PROMO06,11.23
812,1298,PROMO06,10.94
813,1300,PROMO02,5.14
814,1300,PROMO03,2.28
815,1302,PROMO09,9.1
816,1304,PROMO03,3.84
817,1308,PROMO02,7.18
818,1312,PROMO01,8.87
819,1314,PROMO04,4.25
820,1315,PROMO06,3.47
821,1316,PROMO09,9.14
822,1317,PROMO05,6.32
823,1317,PROMO08,7.31
824,1320,PROMO08,5.07
825,1320,PROMO04,5.52
826,1322,PROMO09,11.11
827,1322,PROMO09,8.62
828,1328,PROMO06,10.78
829,1330,PROMO06,4.29
830,1332,PROMO04,2.6
831,1333,PROMO06,6.9
832,1333,PROMO03,5.32
833,1338,PROMO02,11.75
834,1341,PROMO08,2.64
835,1342,PROMO08,8.93
836,1343,PROMO09,10.99
837,1344,PROMO06,9.98
838,1348,PROMO02,4.29
839,1349,PROMO03,6.41
840,1352,PROMO03,5.93
841,1356,PROMO05,5.91
842,1356,PROMO08,6.7
843,1362,PROMO08,3.51
844,1363,PROMO07,5.38
845,1365,PROMO06,6.12
846,1367,PROMO06,4.2
847,1370,PROMO09,3.11
848,1372,PROMO09,8.38
849,1373,PROMO09,4.93
850,1373,PROMO06,4.53
851,1376,PROMO04,9.59
852,1377,PROMO01,9.33
853,1380,PROMO07,8.08
854,1381,PROMO03,8.28
855,1382,PROMO05,9.31
856,1383,PROMO09,9.75
857,1387,PROMO04,4.81
858,1390,PROMO01,10.2
859,1392,PROMO02,10.46
860,1393,PROMO09,8.78
861,1394,PROMO01,11.96
862,1395,PROMO09,10.6
863,1398,PROMO06,8.1
864,1399,PROMO02,3.24
865,1400,PROMO03,7.38
866,1401,PROMO06,7.36
867,1402,PROMO06,10.02
868,1404,PROMO09,5.36
869,1405,PROMO03,6.79
870,1407,PROMO08,3.37
871,1408,PROMO05,9.87
872,1409,PROMO01,3.87
873,1414,PROMO03,7.66
874,1415,PROMO04,6.67
875,1416,PROMO07,2.97
876,1417,PROMO01,8.26
877,1421,PROMO09,8.14
878,1421,PROMO09,2.84
879,1423,PROMO04,10.07
880,1424,PROMO08,3.1
881,1431,PROMO09,4.29
882,1432,PROMO02,5.27
883,1433,PROMO05,8.31
884,1443,PROMO02,7.66
