event_id,shipment_id,event_type,event_at,hub_id
338,113,Dispatched,2026-01-07 09:53:52.289552,3
339,113,Delivered,2026-01-10 15:29:54.491981,3
340,114,Created,2026-01-07 16:00:00,1
341,114,Dispatched,2026-01-07 18:15:20.138541,1
342,114,Delivered,2026-01-10 08:21:36.672476,1
343,115,Created,2026-01-07 16:30:00,1
344,115,Dispatched,2026-01-07 21:45:40.375080,1
345,115,Delivered,2026-01-07 15:09:55.999694,1
346,116,Created,2026-01-07 13:45:00,3
347,116,Dispatched,2026-01-07 14:53:23.732707,3
348,116,Delivered,2026-01-08 01:51:04.740353,3
349,117,Created,2026-01-07 16:15:00,2
350,117,Dispatched,2026-01-07 18:33:40.904559,2
351,117,Delivered,2026-01-08 14:00:55.485073,2
352,118,Created,2026-01-07 12:15:00,5
353,118,Dispatched,2026-01-07 18:57:57.765783,5
354,118,Delivered,2026-01-08 15:48:42.707573,5
355,119,Created,2026-01-08 13:45:00,6
356,119,Dispatched,2026-01-08 18:49:18.881834,6
357,119,Delivered,2026-01-11 06:49:07.680113,6
358,120,Created,2026-01-08 16:15:00,4
359,120,Dispatched,2026-01-08 17:55:30.436301,4
360,120,Delivered,2026-01-11 03:39:43.164944,4
361,121,Created,2026-01-08 08:45:00,5
362,121,Dispatched,2026-01-08 14:18:09.706277,5
363,121,Delivered,2026-01-09 06:38:08.512979,5
364,122,Created,2026-01-08 13:30:00,1
365,122,Dispatched,2026-01-08 18:16:17.980702,1
366,122,Delivered,2026-01-11 00:26:05.800161,1
367,123,Created,2026-01-08 12:00:00,1
368,123,Dispatched,2026-01-08 15:35:49.815299,1
369,123,Delivered,2026-01-10 19:04:18.918236,1
370,124,Created,2026-01-08 17:00:00,6
371,124,Dispatched,2026-01-08 23:07:00.184178,6
372,124,Delivered,2026-01-09 21:11:41.845493,6
373,125,Created,2026-01-08 10:45:00,1
374,125,Dispatched,2026-01-08 12:54:55.031649,1
375,125,Delivered,2026-01-09 01:55:17.063846,1
376,126,Created,2026-01-08 13:45:00,3
377,126,Dispatched,2026-01-08 19:46:53.734323,3
378,126,Delivered,2026-01-09 05:58:28.357012,3
379,127,Created,2026-01-08 17:00:00,2
380,127,Dispatched,2026-01-08 18:40:11.377685,2
381,127,Delivered,2026-01-11 00:51:21.909851,2
382,128,Created,2026-01-08 13:30:00,1
383,128,Dispatched,2026-01-08 17:39:43.813766,1
384,128,Delivered,2026-01-10 21:54:21.509824,1
385,129,Created,2026-01-08 12:00:00,4
386,129,Dispatched,2026-01-08 14:07:10.882009,4
387,129,Delivered,2026-01-09 08:36:12.611389,4
388,130,Created,2026-01-09 15:15:00,1
389,130,Dispatched,2026-01-09 18:58:14.970682,1
390,130,Delivered,2026-01-10 03:40:45.349069,1
391,131,Created,2026-01-09 13:45:00,4
392,131,Dispatched,2026-01-09 17:31:44.598706,4
393,131,Delivered,2026-01-12 05:08:28.432905,4
394,132,Created,2026-01-09 12:30:00,3
395,132,Dispatched,2026-01-09 14:14:35.102083,3
396,132,Delivered,2026-01-11 22:09:49.273484,3
397,133,Created,2026-01-09 09:00:00,3
398,133,Dispatched,2026-01-09 10:29:11.384083,3
399,133,Delivered,2026-01-10 09:37:45.770921,3
400,134,Created,2026-01-09 11:15:00,4
401,134,Dispatched,2026-01-09 14:20:04.126258,4
402,134,Delivered,2026-01-12 11:24:34.188511,4
403,135,Created,2026-01-09 14:15:00,6
404,135,Dispatched,2026-01-09 16:34:06.408862,6
405,135,Delivered,2026-01-11 22:34:06.775079,6
406,136,Created,2026-01-09 18:30:00,5
407,136,Dispatched,2026-01-09 22:50:54.028123,5
408,136,Delivered,2026-01-10 09:01:47.368927,5
409,137,Created,2026-01-09 09:15:00,4
410,137,Dispatched,2026-01-09 14:16:27.217298,4
411,137,Delivered,2026-01-09 10:19:59.128136,4
412,138,Created,2026-01-09 11:15:00,3
413,138,Dispatched,2026-01-09 12:24:56.285154,3
414,138,Delivered,2026-01-12 08:01:04.483864,3
415,139,Created,2026-01-09 16:30:00,1
416,139,Dispatched,2026-01-09 18:53:46.404352,1
417,139,Delivered,2026-01-10 07:49:46.169377,1
418,140,Created,2026-01-09 15:15:00,1
419,140,Dispatched,2026-01-09 22:09:48.419100,1
420,140,Delivered,2026-01-12 01:11:22.384274,1
421,141,Created,2026-01-09 10:15:00,3
422,141,Dispatched,2026-01-09 16:40:05.617223,3
423,141,Delivered,2026-01-10 07:18:03.460730,3
424,142,Created,2026-01-09 18:15:00,2
425,142,Dispatched,2026-01-09 20:34:05.074099,2
426,142,Delivered,2026-01-10 02:40:46.210210,2
427,143,Created,2026-01-09 11:15:00,4
428,143,Dispatched,2026-01-09 14:25:05.396758,4
429,143,Delivered,2026-01-13 02:28:57.726135,4
430,144,Created,2026-01-09 12:45:00,6
431,144,Dispatched,2026-01-09 17:28:22.714589,6
432,144,Delivered,2026-01-09 04:51:38.176829,6
433,145,Created,2026-01-09 17:45:00,1
434,145,Dispatched,2026-01-09 21:07:12.102560,1
435,145,Delivered,2026-01-09 15:53:23.177688,1
436,146,Created,2026-01-09 12:00:00,6
437,146,Dispatched,2026-01-09 14:20:34.160745,6
438,146,Delivered,2026-01-14 04:51:29.933271,6
439,147,Created,2026-01-09 08:45:00,1
440,147,Dispatched,2026-01-09 12:28:35.564792,1
441,147,Delivered,2026-01-10 23:41:55.962835,1
442,148,Created,2026-01-10 18:30:00,6
443,148,Dispatched,2026-01-10 19:56:26.125493,6
444,148,Delivered,2026-01-13 17:11:55.150309,6
445,149,Created,2026-01-10 18:00:00,1
446,149,Dispatched,2026-01-10 22:13:46.776520,1
447,149,Delivered,2026-01-13 03:04:31.637358,1
448,150,Created,2026-01-10 13:15:00,1
449,150,Dispatched,2026-01-10 14:26:44.529448,1
450,150,Delivered,2026-01-13 10:23:12.118649,1
451,151,Created,2026-01-10 16:45:00,2
452,151,Dispatched,2026-01-10 23:16:13.849872,2
453,151,Delivered,2026-01-11 19:31:40.916194,2
454,152,Created,2026-01-10 15:00:00,2
455,152,Dispatched,2026-01-10 16:31:07.162907,2
456,152,Delivered,2026-01-13 10:21:39.267826,2
457,153,Created,2026-01-10 08:00:00,5
458,153,Dispatched,2026-01-10 14:07:59.575824,5
459,153,Delivered,2026-01-13 21:38:55.337213,5
460,154,Created,2026-01-10 07:45:00,6
461,154,Dispatched,2026-01-10 14:19:33.515106,6
462,154,Delivered,2026-01-12 17:35:05.600134,6
463,155,Created,2026-01-10 12:45:00,2
464,155,Dispatched,2026-01-10 17:31:36.774820,2
465,155,Delivered,2026-01-12 19:03:02.625602,2
466,156,Created,2026-01-10 10:30:00,2
467,156,Dispatched,2026-01-10 15:51:13.854939,2
468,156,Delivered,2026-01-14 15:03:59.421651,2
469,157,Created,2026-01-10 14:30:00,1
470,157,Dispatched,2026-01-10 18:41:47.900224,1
471,157,Delivered,2026-01-13 11:43:17.483480,1
472,158,Created,2026-01-10 15:30:00,3
473,158,Dispatched,2026-01-10 18:48:29.378519,3
474,158,Delivered,2026-01-12 22:54:48.546692,3
475,159,Created,2026-01-10 12:45:00,1
476,159,Dispatched,2026-01-10 16:27:01.120538,1
477,159,Delivered,2026-01-12 23:31:16.895091,1
478,160,Created,2026-01-10 16:45:00,3
479,160,Dispatched,2026-01-10 23:25:05.501045,3
480,160,Delivered,2026-01-13 01:32:07.505179,3
481,161,Created,2026-01-10 16:45:00,1
482,161,Dispatched,2026-01-10 23:22:07.587927,1
483,161,Delivered,2026-01-11 15:19:01.413546,1
484,162,Created,2026-01-10 09:45:00,4
485,162,Dispatched,2026-01-10 16:06:17.955742,4
486,162,Delivered,2026-01-11 07:00:49.049679,4
487,163,Created,2026-01-10 13:00:00,1
488,163,Dispatched,2026-01-10 15:08:20.850502,1
489,163,Delivered,2026-01-10 19:48:16.153866,1
490,164,Created,2026-01-11 11:15:00,1
491,164,Dispatched,2026-01-11 14:11:46.070568,1
492,164,Delivered,2026-01-11 11:49:33.981339,1
493,165,Created,2026-01-11 12:45:00,5
494,165,Dispatched,2026-01-11 18:53:21.301768,5
495,165,Delivery Failed,2026-01-12 14:18:29.145629,5
496,166,Created,2026-01-11 13:15:00,4
497,166,Dispatched,2026-01-11 14:20:32.168714,4
498,166,Delivered,2026-01-13 21:01:31.618611,4
499,167,Created,2026-01-11 12:15:00,1
500,167,Dispatched,2026-01-11 13:52:47.948636,1
501,167,Delivered,2026-01-11 10:01:49.087109,1
502,168,Created,2026-01-11 11:30:00,1
503,168,Dispatched,2026-01-11 17:53:16.238036,1
504,168,Delivered,2026-01-12 09:45:05.243597,1
505,169,Created,2026-01-11 15:15:00,2
506,169,Dispatched,2026-01-11 20:48:58.614513,2
507,169,Delivered,2026-01-14 06:11:51.238694,2
508,170,Created,2026-01-11 16:00:00,4
509,170,Dispatched,2026-01-11 19:32:13.138173,4
510,170,Delivered,2026-01-12 12:43:17.436015,4
511,171,Created,2026-01-11 07:30:00,1
512,171,Dispatched,2026-01-11 09:38:40.855081,1
513,171,Delivered,2026-01-11 22:03:27.337857,1
514,172,Created,2026-01-11 12:45:00,4
515,172,Dispatched,2026-01-11 18:13:58.264868,4
516,172,Delivered,2026-01-14 21:02:23.971453,4
517,173,Created,2026-01-11 10:00:00,2
518,173,Dispatched,2026-01-11 13:36:09.468385,2
519,173,Delivered,2026-01-15 11:01:00.383323,2
520,174,Created,2026-01-11 14:00:00,6
521,174,Dispatched,2026-01-11 15:46:29.657335,6
522,174,Delivered,2026-01-13 05:05:59.814303,6
523,175,Created,2026-01-11 12:30:00,5
524,175,Dispatched,2026-01-11 15:30:00.037631,5
525,175,Delivered,2026-01-13 21:47:45.480681,5
526,176,Created,2026-01-11 12:15:00,2
527,176,Dispatched,2026-01-11 17:40:29.429385,2
528,176,Delivered,2026-01-13 18:37:51.112112,2
529,177,Created,2026-01-11 13:30:00,4
530,177,Dispatched,2026-01-11 19:00:40.517664,4
531,177,Delivered,2026-01-14 10:12:06.014055,4
532,178,Created,2026-01-11 16:15:00,6
533,178,Dispatched,2026-01-11 21:10:57.391965,6
534,178,Delivered,2026-01-14 05:52:40.189246,6
535,179,Created,2026-01-11 18:15:00,2
536,179,Dispatched,2026-01-11 21:02:52.496583,2
537,179,Delivered,2026-01-11 19:34:00.799935,2
538,180,Created,2026-01-11 10:45:00,1
539,180,Dispatched,2026-01-11 17:09:32.435340,1
540,180,Delivered,2026-01-13 17:04:47.248626,1
541,181,Created,2026-01-11 14:30:00,2
542,181,Dispatched,2026-01-11 16:55:11.254985,2
543,181,Delivered,2026-01-14 01:45:12.091510,2
