order_id,customer_id,order_date,quantity,unit_price,order_total,status
O00068,C0124,2025-08-03,5,174.67,873.35,paid
O00069,C0029,2025-03-18,4,148.18,592.72,shipped
O00070,C0133,2026-01-13,5,109.06,545.3,cancelled
O00071,C0053,2025-01-23,3,82.84,248.52,cancelled
O00072,C0081,2025-01-11,1,89.89,89.89,shipped
O00073,C0016,2025-02-06,4,147.62,590.48,paid
O00074,C0291,2025-07-21,1,122.43,122.43,paid
O00075,C0037,2026-02-24,4,149.16,596.64,shipped
O00076,C0354,2026-02-22,5,132.29,661.45,paid
O00077,C0164,2025-08-05,5,93.83,469.15,shipped
O00078,C0100,2025-04-07,2,36.76,73.52,paid
O00079,C0309,2026-04-16,1,74.14,74.14,cancelled
O00080,C0023,2025-01-17,5,38.33,191.65,paid
O00081,C0005,2025-04-16,3,92.9,278.7,cancelled
O00082,C0051,2026-05-03,2,50.46,100.92,shipped
O00083,C0275,2025-02-03,1,24.56,24.56,paid
O00084,C0358,2025-04-08,4,19.74,78.96,shipped
O00085,C0163,2025-06-27,3,154.62,463.86,paid
O00086,C0237,2025-10-01,3,164.37,493.11,shipped
O00087,C0114,2025-09-27,3,93.94,281.82,cancelled
O00088,C0374,2025-12-14,3,9.67,29.01,paid
O00089,C0134,2026-05-28,5,37.14,185.7,paid
O00090,C0312,2026-01-22,4,43.37,173.48,shipped
O00091,C0344,2025-03-15,2,162.66,325.32,paid
O00092,C0372,2025-08-27,4,54.5,218.0,shipped
O00093,C0251,2025-06-20,4,20.2,80.8,shipped
O00094,C0106,2025-05-09,3,175.7,527.1,cancelled
O00095,C0019,2025-03-02,1,115.14,115.14,paid
O00096,C0111,2026-03-22,2,128.64,257.28,shipped
O00097,C0340,2025-04-20,5,17.53,87.65,shipped
O00098,C0013,2025-11-25,4,95.44,381.76,paid
O00099,C0140,2026-03-07,4,100.64,402.56,shipped
O00100,C0022,2026-04-11,1,17.77,17.77,paid
O00101,Z0000,2025-11-19,2,41.02,82.04,shipped
O00102,Z0001,2026-03-26,5,143.25,716.25,paid
O00103,Z0002,2025-09-21,5,20.87,104.35,paid
O00104,Z0003,2026-05-21,2,156.78,313.56,shipped
O00105,Z0004,2026-04-03,4,46.05,184.2,cancelled
O00106,Z0005,2025-07-01,4,168.24,672.96,paid
O00107,Z0006,2025-09-24,4,29.35,117.4,shipped
O00108,Z0007,2026-06-18,2,29.9,59.8,cancelled
O00109,Z0008,2025-10-12,4,138.58,554.32,shipped
O00110,Z0009,2026-07-24,5,142.2,711.0,cancelled
O00111,Z0010,2025-10-22,3,137.79,413.37,cancelled
O00112,Z0011,2026-01-26,2,125.69,251.38,cancelled
O00113,C0326,2025-03-12,2,136.9,273.8,paid
O00114,C0328,2025-12-05,2,108.11,216.22,shipped
O00115,C0080,2025-12-18,2,165.1,330.2,paid
O00116,C0034,2026-01-22,4,12.53,50.12,paid
O00117,C0235,2025-11-05,2,98.51,197.02,cancelled
O00118,C0072,2025-11-13,1,128.63,128.63,cancelled
O00119,C0016,2025-08-22,4,132.72,530.88,cancelled
O00120,C0031,2025-11-10,5,34.11,170.55,paid
O00121,C0020,2026-06-25,5,168.72,843.6,cancelled
O00122,C0005,2026-05-30,2,128.14,256.28,paid
O00123,C0355,2026-07-08,5,129.72,648.6,paid
O00124,C0281,2026-02-13,5,150.02,750.1,paid
O00125,C0088,2025-08-28,5,33.7,168.5,shipped
O00126,C0032,2026-05-16,1,70.83,70.83,shipped
O00127,C0167,2025-01-28,2,158.61,317.22,shipped
O00128,C0107,2026-01-21,1,130.69,130.69,paid
O00129,C0197,2025-05-28,3,144.96,434.88,cancelled
O00130,C0021,2026-01-05,5,50.6,253.0,cancelled
O00131,C0178,2025-12-18,2,143.82,287.64,cancelled
O00132,C0373,2026-03-08,1,82.15,82.15,paid
O00133,C0035,2025-03-15,5,138.1,690.5,cancelled
O00134,C0159,2026-02-05,2,131.58,263.16,shipped
O00135,C0116,2026-02-27,4,64.97,259.88,paid
O00136,C0244,2026-06-03,3,42.95,128.85,shipped
O00137,C0188,2025-04-13,5,166.92,834.6,shipped
O00138,C0141,2026-05-30,5,131.44,657.2,shipped
O00139,C0270,2025-06-30,2,176.81,353.62,paid
O00140,C0211,2025-02-04,3,148.23,444.69,shipped
O00141,C0061,2025-03-10,1,72.0,72.0,paid
O00142,C0241,2025-08-31,2,57.63,115.26,cancelled
O00143,C0374,2025-03-03,2,49.86,99.72,paid
O00144,C0197,2026-07-15,1,104.69,104.69,cancelled
O00145,C0313,2025-05-30,4,118.79,475.16,shipped
O00146,C0212,2026-02-26,1,27.56,27.56,paid
O00147,C0189,2025-07-26,3,177.81,533.43,paid
O00148,C0301,2026-03-30,5,54.56,272.8,cancelled
O00149,C0316,2026-05-25,4,89.6,358.4,cancelled
O00150,C0230,2025-03-03,5,120.4,602.0,paid
O00151,C0020,2026-05-18,1,143.65,143.65,cancelled
O00152,C0170,2026-05-12,1,171.81,171.81,paid
O00153,C0289,2026-04-27,3,17.97,53.91,paid
O00154,C0271,2025-03-03,3,30.48,91.44,cancelled
O00155,C0362,2025-04-22,4,109.9,439.6,shipped
O00156,C0067,2025-05-18,2,140.53,281.06,cancelled
O00157,C0334,2026-04-30,2,177.12,354.24,paid
O00158,C0239,2025-07-08,2,42.16,84.32,shipped
O00159,C0073,2025-05-29,1,124.93,124.93,cancelled
O00160,C0024,2025-10-17,4,66.05,264.2,paid
O00161,C0248,2025-01-12,4,91.09,364.36,paid
O00162,C0260,2025-05-31,1,178.87,178.87,shipped
O00163,C0208,2026-06-24,5,110.05,550.25,shipped
O00164,C0137,2026-05-09,2,138.17,276.34,paid
O00165,C0029,2025-12-16,5,14.17,70.85,shipped
O00166,C0069,2026-05-06,5,29.49,147.45,paid
O00167,C0384,2025-01-01,1,169.1,169.1,shipped
O00168,C0236,2025-12-26,2,107.89,215.78,paid
O00169,C0042,2025-08-19,1,179.38,179.38,cancelled
O00170,C0090,2025-10-02,4,100.7,402.8,cancelled
O00171,C0275,2025-02-09,2,18.96,37.92,cancelled
O00172,C0319,2025-06-29,3,107.38,322.14,cancelled
O00173,C0145,2026-07-22,1,45.96,45.96,shipped
O00174,C0354,2026-02-18,5,34.94,174.7,paid
O00175,C0005,2025-03-29,5,113.71,568.55,shipped
O00176,C0203,2025-11-16,5,134.02,670.1,cancelled
O00177,C0183,2025-04-07,1,145.57,145.57,cancelled
O00178,C0161,2025-06-05,2,73.31,146.62,shipped
O00179,C0070,2025-12-20,4,109.22,436.88,shipped
O00180,C0247,2025-02-18,2,77.2,154.4,shipped
O00181,C0357,2025-02-23,5,22.49,112.45,paid
O00182,C0051,2026-03-18,2,172.0,344.0,cancelled
O00183,C0346,2026-03-03,3,179.83,539.49,cancelled
O00184,C0235,2025-12-25,1,135.87,135.87,paid
O00185,C0132,2026-04-22,2,172.07,344.14,shipped
O00186,C0231,2025-12-09,3,28.32,84.96,cancelled
O00187,C0388,2025-10-10,3,8.04,24.12,shipped
O00188,C0325,2025-08-01,4,88.32,353.28,cancelled
O00189,C0371,2026-01-29,3,75.94,227.82,cancelled
O00190,C0281,2025-12-30,5,163.46,817.3,cancelled
O00191,C0217,2026-04-19,5,51.08,255.4,cancelled
O00192,C0087,2025-10-11,1,126.01,126.01,shipped
O00193,C0047,2026-05-22,2,122.55,245.1,cancelled
O00194,C0112,2026-07-23,2,90.26,180.52,shipped
O00195,C0222,2025-12-20,5,90.7,453.5,paid
O00196,C0050,2025-08-03,4,127.84,511.36,shipped
O00197,C0277,2025-04-30,3,167.97,503.91,paid
O00198,C0318,2025-12-29,1,138.01,138.01,shipped
O00199,C0234,2025-11-24,4,89.08,356.32,paid
O00200,C0277,2025-12-01,3,14.93,44.79,cancelled
O00201,C0351,2025-01-07,5,154.29,-771.45,cancelled
O00202,C0002,2025-07-14,3,108.44,-325.32,cancelled
O00203,C0061,2025-12-15,1,174.92,-174.92,paid
O00204,C0156,2025-09-17,4,130.42,-521.68,paid
O00205,C0147,2025-05-27,3,65.42,-196.26,cancelled
O00206,C0386,2026-01-30,3,51.17,-153.51,shipped
O00207,C0095,2026-05-13,1,11.41,-11.41,shipped
O00208,C0371,2025-11-15,3,154.82,-464.46,cancelled
O00209,C0095,2025-06-27,5,104.79,523.95,paid
O00210,C0296,2026-02-10,5,141.32,706.6,shipped
O00211,C0177,2026-04-30,5,141.43,707.15,paid
O00212,C0387,2026-05-15,3,147.23,441.69,paid
O00213,C0160,2026-01-04,2,166.44,332.88,shipped
O00214,C0203,2026-06-25,5,55.4,277.0,paid
O00215,C0205,2025-09-17,4,38.92,155.68,paid
O00216,C0042,2025-08-23,3,155.33,465.99,paid
O00217,C0084,2026-04-21,4,31.33,125.32,cancelled
O00218,C0304,2025-03-21,3,30.82,92.46,paid
O00219,C0387,2026-02-15,2,160.26,320.52,paid
O00220,C0282,2026-01-26,5,24.13,120.65,cancelled
O00221,C0242,2025-01-04,4,42.98,171.92,cancelled
O00222,C0015,2025-05-10,1,125.81,125.81,paid
O00223,C0150,2026-06-01,1,154.47,154.47,shipped
O00224,C0199,2026-05-26,4,117.99,471.96,cancelled
O00225,C0130,2025-10-13,2,38.52,77.04,paid
O00226,C0064,2025-11-19,3,64.39,193.17,paid
O00227,C0272,2026-04-18,4,50.52,202.08,shipped
O00228,C0142,2025-09-13,1,176.55,176.55,paid
O00229,C0079,2025-12-06,5,77.96,389.8,cancelled
O00230,C0238,2025-06-26,2,37.39,74.78,paid
O00231,C0050,2025-07-24,3,127.07,386.21,cancelled
O00232,C0072,2025-09-07,4,140.07,565.28,shipped
O00233,C0023,2026-03-17,5,73.98,374.9,paid
O00234,C0075,2025-12-14,1,137.51,142.51,paid
O00235,C0172,2025-02-16,5,21.1,110.5,cancelled
O00236,C0306,2026-07-06,1,68.14,73.14,paid
O00237,C0011,2025-04-30,5,96.39,486.95,cancelled
O00238,C0225,2025-04-17,5,154.18,770.9,cancelled
O00239,C0300,2025-07-15,5,32.89,164.45,shipped
O00240,C0027,2025-11-12,4,92.92,371.68,cancelled
O00241,C0357,2026-06-13,2,165.53,331.06,shipped
O00242,C0066,2025-01-04,1,52.45,52.45,shipped
O00243,C0106,2025-12-15,2,93.23,186.46,shipped
O00244,C0383,2025-12-20,1,133.47,133.47,cancelled
O00245,C0122,2025-04-21,3,99.08,297.24,shipped
O00246,C0351,2025-11-03,2,119.85,239.7,cancelled
O00247,C0133,2025-10-06,5,154.36,771.8,cancelled
O00248,C0069,2025-11-27,2,87.94,175.88,paid
O00249,C0077,2025-04-10,2,127.19,254.38,shipped
O00250,C0155,2026-06-25,3,45.55,136.65,paid
O00251,C0008,2026-06-07,1,15.3,15.3,cancelled
O00252,C0148,2026-02-24,1,99.06,99.06,paid
O00253,C0362,2026-01-18,3,66.65,199.95,cancelled
O00254,C0349,2025-07-31,1,70.49,70.49,paid
O00255,C0274,2026-03-10,2,69.6,139.2,shipped
O00256,C0213,2025-05-24,5,153.35,766.75,paid
O00257,C0204,2025-11-26,3,132.96,398.88,paid
O00258,C0261,2026-02-09,4,69.34,277.36,cancelled
O00259,C0244,2025-08-28,1,69.46,69.46,cancelled
O00260,C0103,2026-07-21,5,84.71,423.55,shipped
O00261,C0194,2025-08-28,4,122.85,491.4,returned
O00262,C0251,2025-08-28,4,28.66,114.64,returned
O00263,C0389,2026-04-05,3,105.41,316.23,returned
O00264,C0262,2025-08-27,4,100.93,403.72,returned
O00265,C0285,2025-07-03,1,128.06,128.06,returned
O00266,C0349,2025-05-01,2,176.93,353.86,returned
O00267,C0103,2025-06-16,4,89.15,356.6,paid
O00268,C0012,2026-02-20,2,167.55,335.1,paid
O00269,C0151,2025-07-10,3,25.67,77.01,paid
O00270,C0178,2025-12-16,4,91.21,364.84,cancelled
O00271,C0325,2025-07-22,5,92.49,462.45,cancelled
O00272,C0204,2026-05-06,2,97.98,195.96,shipped
O00273,C0191,2025-06-23,4,112.28,449.12,paid
O00274,C0068,2026-05-25,4,130.2,520.8,shipped
O00275,C0170,2025-01-31,2,62.15,124.3,shipped
O00276,C0395,2025-10-01,5,30.04,150.2,shipped
O00277,C0102,2026-06-27,1,91.01,91.01,cancelled
O00278,C0048,2025-12-04,3,31.95,95.85,shipped
O00279,C0397,2026-06-21,1,25.92,25.92,shipped
O00280,C0191,2026-06-23,5,133.1,665.5,shipped
O00281,C0357,2025-08-30,3,63.12,189.36,paid
O00282,C0380,2026-04-25,1,143.21,143.21,cancelled
O00283,C0267,2025-08-31,2,76.79,153.58,cancelled
O00284,C0276,2026-06-21,1,112.72,112.72,cancelled
O00285,C0298,2026-04-28,1,76.73,76.73,paid
O00286,C0162,2025-12-08,1,134.79,134.79,cancelled
O00287,C0172,2026-01-13,3,69.13,207.39,paid
O00288,C0357,2026-05-03,2,154.35,308.7,paid
O00289,C0370,2025-10-01,4,79.79,319.16,paid
O00290,C0180,2025-07-07,4,40.67,162.68,shipped
O00291,C0024,2027-02-01,5,81.19,405.95,shipped
O00292,C0288,2027-02-02,4,112.28,449.12,shipped
O00293,C0396,2027-02-03,2,146.59,293.18,shipped
O00294,C0028,2027-02-04,2,31.05,62.1,cancelled
O00295,C0200,2027-02-05,1,169.19,169.19,cancelled
O00296,C0203,2026-06-05,4,53.57,214.28,cancelled
O00297,C0026,2026-05-25,2,132.92,265.84,paid
O00298,C0287,2025-03-26,4,48.6,194.4,paid
O00299,C0090,2026-05-10,1,134.44,134.44,shipped
O00300,C0011,2025-01-14,3,95.3,285.9,paid
O00301,C0365,2026-06-06,5,96.04,480.2,cancelled
O00302,C0255,2025-01-01,1,71.66,71.66,shipped
O00303,C0272,2026-05-04,3,10.04,30.12,paid
O00304,C0161,2025-11-08,2,136.3,272.6,shipped
O00305,C0391,2026-05-26,1,78.68,78.68,paid
O00306,C0378,2026-01-11,1,10.65,10.65,paid
O00307,C0331,2025-07-05,3,66.56,199.68,shipped
O00308,C0334,2026-06-17,1,42.61,42.61,shipped
O00309,C0134,2025-09-26,3,59.88,179.64,shipped
O00310,C0061,2025-08-03,2,109.89,219.78,paid
O00311,C0310,2025-10-01,2,159.28,318.56,shipped
O00312,C0050,2026-05-16,4,42.58,170.32,cancelled
O00313,C0200,2026-01-06,4,110.05,440.2,cancelled
O00314,C0299,2025-07-07,1,51.17,51.17,cancelled
O00315,C0307,2025-06-01,2,144.15,288.3,shipped
O00316,C0285,2026-03-17,2,102.46,204.92,shipped
O00317,C0345,2025-05-26,5,140.85,704.25,paid
O00318,C0089,2025-10-17,3,111.38,334.14,paid
O00319,C0102,2026-06-29,4,127.31,509.24,paid
O00320,C0060,2025-11-18,1,31.97,31.97,paid
,C0348,2025-09-24,5,53.31,266.55,cancelled
,C0041,2025-02-25,2,156.48,312.96,shipped
,C0005,2025-09-09,1,136.75,136.75,paid
,C0263,2026-06-12,2,151.78,303.56,shipped
,C0375,2025-01-05,1,40.82,40.82,cancelled
O00326,C0114,2025-10-27,4,168.83,675.32,cancelled
O00327,C0199,2025-09-17,1,56.32,56.32,shipped
O00328,C0291,2025-10-18,3,60.51,181.53,paid
O00329,C0394,2025-09-29,3,70.3,210.9,cancelled
O00330,C0311,2026-06-19,2,99.92,199.84,cancelled
O00331,C0300,2026-03-03,5,27.05,135.25,paid
O00332,C0032,2025-08-06,5,178.11,890.55,paid
O00333,C0144,2025-07-15,4,179.17,716.68,shipped
O00334,C0155,2026-04-10,4,67.89,271.56,paid
O00335,C0130,2025-09-19,3,27.95,83.85,shipped
O00336,C0306,2025-12-16,2,58.65,117.3,paid
O00337,C0046,2026-07-07,5,51.54,257.7,shipped
O00338,C0333,2026-07-21,5,79.16,395.8,cancelled
O00339,C0291,2025-12-27,5,36.58,182.9,shipped
O00340,C0040,2025-05-02,2,91.88,183.76,shipped
O00341,C0078,2025-08-02,3,98.27,294.81,cancelled
O00342,C0213,2025-07-03,5,131.68,658.4,cancelled
O00343,C0177,2025-06-27,4,26.21,104.84,shipped
O00344,C0108,2025-12-05,5,125.49,627.45,cancelled
O00345,C0338,2025-10-13,2,76.9,153.8,shipped
O00346,C0342,2025-01-29,3,94.16,282.48,shipped
O00347,C0200,2026-04-09,2,127.45,254.9,shipped
O00348,C0029,2026-04-25,2,8.42,16.84,cancelled
O00349,C0359,2026-07-13,2,119.94,239.88,cancelled
O00350,C0153,2026-02-12,2,93.55,187.1,shipped
O00351,C0151,2026-03-25,3,81.54,244.62,paid
O00352,C0165,2025-06-20,5,80.11,400.55,cancelled
O00353,C0377,2025-06-05,4,41.88,167.52,shipped
O00354,C0355,2026-01-11,5,24.72,123.6,shipped
O00355,C0254,2026-02-21,4,47.11,188.44,paid
O00356,C0383,2025-10-25,1,139.3,139.3,shipped
O00357,C0006,2025-12-25,5,161.6,808.0,cancelled
O00358,C0396,2025-05-16,3,60.51,181.53,shipped
O00359,C0334,2025-01-26,3,28.48,85.44,cancelled
O00360,C0215,2025-06-01,5,105.37,526.85,shipped
O00361,C0303,2025-02-05,4,12.37,49.48,shipped
O00362,C0275,2026-04-29,5,138.13,690.65,cancelled
O00363,C0396,2025-04-25,4,113.28,453.12,cancelled
O00364,C0230,2025-06-01,1,37.26,37.26,cancelled
O00365,C0057,2025-10-24,1,107.64,107.64,paid
O00366,C0369,2026-05-20,3,141.74,425.22,cancelled
O00367,C0220,2026-04-18,3,64.67,194.01,cancelled
O00368,C0176,2025-07-30,5,41.83,209.15,shipped
O00369,C0316,2026-06-12,4,54.79,219.16,shipped
O00370,C0254,2026-04-01,5,99.24,496.2,shipped
O00371,C0169,2026-06-14,4,13.14,52.56,cancelled
O00372,C0267,2025-06-13,5,83.0,415.0,shipped
O00373,C0281,2025-06-28,1,72.94,72.94,cancelled
O00374,C0009,2025-05-01,3,15.63,46.89,shipped
O00375,C0102,2026-01-23,2,169.28,338.56,shipped
O00376,C0336,2025-09-14,4,96.46,385.84,shipped
O00377,C0081,2025-06-19,4,169.81,679.24,shipped
O00378,C0205,2025-07-08,4,58.45,233.8,paid
O00379,C0286,2026-01-29,4,107.69,430.76,paid
O00380,C0150,2025-06-12,5,169.25,846.25,paid
O00381,C0026,2025-11-09,2,61.56,123.12,shipped
O00382,C0160,2025-06-10,2,65.03,130.06,paid
O00383,C0077,2025-04-04,4,115.88,463.52,cancelled
O00384,C0305,2025-01-25,4,109.43,437.72,shipped
O00385,C0321,2026-05-24,3,110.02,330.06,shipped
O00386,C0324,2026-04-23,3,138.26,414.78,shipped
O00387,C0357,2025-04-23,1,133.55,133.55,paid
O00388,C0167,2026-04-03,3,172.47,517.41,paid
O00389,C0011,2025-01-26,4,29.29,117.16,cancelled
O00390,C0107,2026-03-26,4,25.98,103.92,shipped
O00391,C0179,2025-08-14,4,34.7,138.8,paid
O00392,C0332,2025-04-24,5,167.76,838.8,shipped
O00393,C0297,2025-05-12,1,128.29,128.29,shipped
O00394,C0258,2026-01-08,2,82.04,164.08,shipped
O00395,C0316,2025-03-01,1,33.29,33.29,paid
O00396,C0035,2025-11-26,1,42.64,42.64,cancelled
O00397,C0303,2026-03-10,3,91.24,273.72,shipped
O00398,C0038,2025-08-15,3,143.98,431.94,shipped
O00399,C0313,2026-03-07,1,42.41,42.41,paid
O00400,C0234,2025-10-31,2,156.89,313.78,shipped
O00401,C0328,2026-02-25,3,73.12,219.36,paid
O00402,C0063,2025-12-27,3,165.82,497.46,paid
O00403,C0333,2025-03-14,1,141.03,141.03,cancelled
O00404,C0258,2025-10-09,4,145.25,581.0,paid
O00405,C0332,2025-03-16,5,37.25,186.25,paid
O00406,C0268,2025-10-20,3,117.24,351.72,paid
O00407,C0068,2026-05-27,3,58.93,176.79,shipped
O00408,C0106,2025-04-05,1,28.42,28.42,paid
O00409,C0036,2026-06-21,3,133.15,399.45,cancelled
O00410,C0247,2026-07-01,3,148.02,444.06,cancelled
O00411,C0038,2026-07-05,4,154.83,619.32,paid
O00412,C0353,2025-08-23,4,35.4,141.6,cancelled
O00413,C0185,2025-04-24,3,136.29,408.87,shipped
O00414,C0017,2026-06-20,4,147.08,588.32,shipped
O00415,C0377,2025-04-12,2,126.96,253.92,cancelled
O00416,C0214,2026-03-10,3,131.29,393.87,cancelled
O00417,C0038,2026-06-04,3,29.5,88.5,shipped
O00418,C0292,2026-07-01,1,44.27,44.27,paid
O00419,C0187,2025-06-08,2,46.65,93.3,shipped
O00420,C0266,2025-03-10,4,133.52,534.08,cancelled
O00421,C0020,2025-03-29,2,170.23,340.46,paid
O00422,C0096,2025-02-16,3,142.7,428.1,cancelled
O00423,C0016,2025-11-02,2,85.21,170.42,shipped
O00424,C0085,2026-04-29,4,165.72,662.88,cancelled
O00425,C0090,2025-10-02,4,31.05,124.2,shipped
O00426,C0322,2025-02-15,4,152.03,608.12,shipped
O00427,C0340,2025-04-15,2,24.68,49.36,cancelled
O00428,C0301,2025-08-27,4,72.83,291.32,paid
O00429,C0267,2026-05-25,5,70.73,353.65,cancelled
O00430,C0040,2025-09-06,2,163.49,326.98,shipped
O00431,C0060,2026-07-20,5,139.33,696.65,shipped
O00432,C0254,2025-01-31,4,128.04,512.16,cancelled
O00433,C0327,2025-04-07,1,131.3,131.3,shipped
O00434,C0228,2025-12-25,5,34.29,171.45,paid
O00435,C0200,2025-07-15,5,163.82,819.1,shipped
O00436,C0238,2025-09-24,1,16.7,16.7,cancelled
O00437,C0354,2025-10-01,2,129.24,258.48,cancelled
O00438,C0370,2025-03-21,2,118.18,236.36,cancelled
O00439,C0266,2025-04-21,5,136.63,683.15,cancelled
O00440,C0171,2025-09-23,4,167.49,669.96,shipped
O00441,C0352,2025-04-15,3,31.98,95.94,paid
O00442,C0355,2025-04-09,1,162.78,162.78,paid
O00443,C0207,2025-06-02,2,43.3,86.6,paid
O00444,C0216,2025-02-23,5,135.62,678.1,cancelled
O00445,C0369,2026-02-27,1,53.5,53.5,paid
O00446,C0308,2026-05-13,4,42.73,170.92,cancelled
O00447,C0007,2026-07-17,1,29.58,29.58,paid
O00448,C0053,2025-06-17,5,62.82,314.1,cancelled
O00449,C0113,2025-05-20,1,111.6,111.6,shipped
O00450,C0039,2025-12-26,4,120.74,482.96,paid
O00451,C0133,2025-06-11,1,170.2,170.2,shipped
O00452,C0093,2025-09-20,3,162.02,486.06,paid
O00453,C0211,2025-04-24,4,105.36,421.44,cancelled
O00454,C0264,2026-01-07,5,36.0,180.0,cancelled
O00455,C0334,2025-03-24,1,94.82,94.82,shipped
O00456,C0005,2025-07-30,4,162.68,650.72,shipped
O00457,C0303,2026-06-20,5,142.53,712.65,paid
O00458,C0012,2025-02-24,5,121.82,609.1,shipped
O00459,C0377,2026-01-14,1,146.15,146.15,paid
O00460,C0147,2026-03-18,1,18.65,18.65,cancelled
O00461,C0164,2025-11-27,2,24.6,49.2,cancelled
O00462,C0398,2025-08-05,3,17.58,52.74,cancelled
O00463,C0172,2025-04-10,4,40.18,160.72,paid
O00464,C0340,2025-12-04,1,111.95,111.95,paid
O00465,C0323,2025-03-24,2,95.91,191.82,cancelled
O00466,C0179,2026-02-22,1,153.25,153.25,paid
O00467,C0081,2026-07-18,3,18.31,54.93,cancelled
O00468,C0391,2026-01-29,2,35.09,70.18,paid
O00469,C0341,2025-04-20,1,110.39,110.39,paid
O00470,C0374,2026-07-13,3,142.84,428.52,paid
O00471,C0059,2025-02-15,3,17.74,53.22,cancelled
O00472,C0240,2026-04-12,3,40.6,121.8,paid
O00473,C0248,2025-10-31,2,128.71,257.42,paid
O00474,C0063,2026-03-12,1,132.27,132.27,paid
O00475,C0342,2026-04-24,3,136.35,409.05,shipped
O00476,C0061,2026-06-22,4,171.74,686.96,shipped
O00477,C0377,2025-01-26,5,171.45,857.25,cancelled
O00478,C0317,2026-03-17,1,81.9,81.9,shipped
O00479,C0237,2025-09-22,5,88.77,443.85,cancelled
O00480,C0262,2025-05-22,1,89.24,89.24,cancelled
O00481,C0337,2025-03-17,5,92.37,461.85,paid
