left_id,right_id,score,decision,email_exact,phone_exact,dob_exact,name_similarity,address_similarity
ECO-00014,CRM-00264,0.7897,REVIEW,False,False,False,0.9000,0.8571
CRM-00015,SUP-00276,0.8457,REVIEW,False,False,False,1.0000,0.8571
CRM-00015,ECO-00262,0.8457,REVIEW,False,False,False,1.0000,0.8571
CRM-00015,CRM-00264,0.8457,REVIEW,False,False,False,1.0000,0.8571
SUP-00276,SUP-00022,0.8457,REVIEW,False,False,False,1.0000,0.8571
ECO-00262,SUP-00022,0.8457,REVIEW,False,False,False,1.0000,0.8571
CRM-00264,SUP-00022,0.8457,REVIEW,False,False,False,1.0000,0.8571
ECO-00053,SUP-00294,0.8240,REVIEW,False,False,False,0.9000,1.0000
SUP-00294,CRM-00047,0.8240,REVIEW,False,False,False,0.9000,1.0000
SUP-00281,CRM-00268,0.9627,REVIEW,False,False,True,0.9333,1.0000
CRM-00111,ECO-00118,0.9990,REVIEW,False,False,True,1.0000,1.0000
ECO-00177,CRM-00282,0.8557,REVIEW,False,False,False,0.9565,1.0000
ECO-00177,SUP-00196,0.9757,REVIEW,False,False,True,0.9565,1.0000
CRM-00282,SUP-00196,0.8800,REVIEW,False,False,False,1.0000,1.0000
SUP-00085,ECO-00074,0.9990,REVIEW,False,False,True,1.0000,1.0000
SUP-00026,SUP-00293,0.8800,REVIEW,False,False,False,1.0000,1.0000
ECO-00124,SUP-00295,0.8471,REVIEW,False,False,False,0.9412,1.0000
SUP-00125,SUP-00295,0.7812,REVIEW,False,False,False,0.8235,1.0000
CRM-00141,ECO-00274,0.8800,REVIEW,False,False,False,1.0000,1.0000
SUP-00162,ECO-00274,0.8800,REVIEW,False,False,False,1.0000,1.0000
CRM-00017,SUP-00183,0.8136,REVIEW,False,False,False,0.9474,0.8462
CRM-00017,CRM-00170,0.8431,REVIEW,False,False,False,1.0000,0.8462
SUP-00183,ECO-00016,0.8136,REVIEW,False,False,False,0.9474,0.8462
ECO-00016,CRM-00170,0.8431,REVIEW,False,False,False,1.0000,0.8462
CRM-00280,ECO-00122,0.8800,REVIEW,False,False,False,1.0000,1.0000
SUP-00292,ECO-00015,0.8291,REVIEW,False,False,False,0.9091,1.0000
SUP-00292,SUP-00025,0.8291,REVIEW,False,False,False,0.9091,1.0000
SUP-00292,CRM-00016,0.8291,REVIEW,False,False,False,0.9091,1.0000
ECO-00252,CRM-00256,0.9990,REVIEW,False,False,True,1.0000,1.0000
CRM-00277,CRM-00046,0.8240,REVIEW,False,False,False,0.9000,1.0000
CRM-00277,ECO-00051,0.7826,REVIEW,False,False,False,0.9000,0.8276
CRM-00277,SUP-00060,0.7680,REVIEW,False,False,False,0.8000,1.0000
CRM-00065,SUP-00232,0.7200,REVIEW,False,False,False,1.0000,0.3333
SUP-00152,ECO-00143,0.8800,REVIEW,False,False,False,1.0000,1.0000
SUP-00152,CRM-00135,0.8386,REVIEW,False,False,False,1.0000,0.8276
CRM-00210,CRM-00279,0.8800,REVIEW,False,False,False,1.0000,1.0000
SUP-00226,CRM-00279,0.8178,REVIEW,False,False,False,0.8889,1.0000
SUP-00102,SUP-00282,0.7360,REVIEW,False,False,False,1.0000,0.4000
SUP-00102,CRM-00270,0.7360,REVIEW,False,False,False,1.0000,0.4000
SUP-00282,CRM-00092,0.7360,REVIEW,False,False,False,1.0000,0.4000
CRM-00092,CRM-00270,0.7360,REVIEW,False,False,False,1.0000,0.4000
SUP-00296,CRM-00150,0.8436,REVIEW,False,False,False,1.0000,0.8485
ECO-00247,SUP-00267,0.9586,REVIEW,False,False,True,1.0000,0.8276
ECO-00018,SUP-00028,0.9990,REVIEW,False,False,True,1.0000,1.0000
ECO-00071,ECO-00276,0.7524,REVIEW,False,False,False,0.8333,0.8571
ECO-00276,CRM-00074,0.8333,REVIEW,False,False,False,0.9167,1.0000
ECO-00276,SUP-00082,0.8333,REVIEW,False,False,False,0.9167,1.0000
CRM-00202,ECO-00201,0.8800,REVIEW,False,False,False,1.0000,1.0000
SUP-00061,ECO-00052,0.8800,REVIEW,False,False,False,1.0000,1.0000
CRM-00029,ECO-00033,0.9990,REVIEW,False,False,True,1.0000,1.0000
ECO-00167,CRM-00281,0.8100,REVIEW,False,False,False,0.8750,1.0000
CRM-00281,SUP-00176,0.8100,REVIEW,False,False,False,0.8750,1.0000
CRM-00281,CRM-00164,0.8100,REVIEW,False,False,False,0.8750,1.0000
ECO-00181,SUP-00201,0.8100,REVIEW,False,False,False,0.8750,1.0000
CRM-00122,SUP-00137,0.9990,REVIEW,False,False,True,1.0000,1.0000
ECO-00030,SUP-00039,0.9990,REVIEW,False,False,True,1.0000,1.0000
ECO-00043,SUP-00053,0.9990,REVIEW,False,False,True,1.0000,1.0000
ECO-00045,SUP-00054,0.8369,REVIEW,False,False,False,0.9231,1.0000
ECO-00165,CRM-00161,0.9613,REVIEW,False,False,True,1.0000,0.8387
SUP-00051,ECO-00275,0.7552,REVIEW,False,False,False,0.8421,0.8485
CRM-00024,SUP-00034,0.9990,REVIEW,False,False,True,1.0000,1.0000
SUP-00041,ECO-00031,0.8991,REVIEW,False,False,True,0.8889,0.8387
SUP-00160,ECO-00147,0.8800,REVIEW,False,False,False,1.0000,1.0000
ECO-00147,CRM-00139,0.9990,REVIEW,False,False,True,1.0000,1.0000
SUP-00287,ECO-00269,0.8800,REVIEW,False,False,False,1.0000,1.0000
SUP-00111,CRM-00099,0.9556,REVIEW,False,False,True,1.0000,0.8148
