SalesLineID,DateKey,ProductKey,CustomerKey,StoreKey,Quantity,DiscountPct,Revenue,Cost,GrossProfit,ProductName,Category,Subcategory,Brand,UnitCost,CustomerName,Region,Segment,City,StoreName,StoreRegion,Manager,Date,Year,MonthNumber,Month,Quarter,DayName
11,20240508,45,324,2,1,0.15,196.79,144.18,52.61,Product 045,Household,Household Group 2,Brand 01,144.18,Customer 0324,West,Consumer,City 37,Store 02,South,Manager 03,2024-05-08,2024,5,May,2,Wednesday
12,20250113,64,3951,24,1,0.05,198.52,139.12,59.4,Product 064,Personal Care,Personal Care Group 1,Brand 05,139.12,Customer 3951,East,SMB,City 16,Store 24,West,Manager 01,2025-01-13,2025,1,Jan,1,Monday
13,20240418,85,3148,24,1,0.05,270.5,157.46,113.04,Product 085,Beverages,Beverages Group 2,Brand 11,157.46,Customer 3148,West,Consumer,City 29,Store 24,West,Manager 01,2024-04-18,2024,4,Apr,2,Thursday
14,20251102,47,1736,2,3,0.0,70.19,35.22,34.97,Product 047,Electronics,Electronics Group 4,Brand 03,11.74,Customer 1736,West,SMB,City 09,Store 02,South,Manager 03,2025-11-02,2025,11,Nov,4,Sunday
15,20251105,3,1211,5,2,0.0,81.32,53.1,28.22,Product 003,Household,Household Group 4,Brand 04,26.55,Customer 1211,East,Consumer,City 12,Store 05,North,Manager 06,2025-11-05,2025,11,Nov,4,Wednesday
16,20250125,2,3105,16,1,0.05,222.43,135.26,87.17,Product 002,Snacks,Snacks Group 3,Brand 03,135.26,Customer 3105,North,SMB,City 34,Store 16,West,Manager 01,2025-01-25,2025,1,Jan,1,Saturday
17,20251117,57,2729,24,3,0.1,369.1,234.12,134.98,Product 057,Household,Household Group 2,Brand 13,78.04,Customer 2729,North,Consumer,City 42,Store 24,West,Manager 01,2025-11-17,2025,11,Nov,4,Monday
18,20241201,36,287,11,2,0.05,150.4,100.88,49.52,Product 036,Office,Office Group 1,Brand 07,50.44,Customer 0287,East,Consumer,City 48,Store 11,East,Manager 04,2024-12-01,2024,12,Dec,4,Sunday
19,20241122,46,901,5,1,0.0,360.07,165.56,194.51,Product 046,Personal Care,Personal Care Group 3,Brand 02,165.56,Customer 0901,North,Corporate,City 38,Store 05,North,Manager 06,2024-11-22,2024,11,Nov,4,Friday
20,20250827,91,2847,15,1,0.2,57.95,41.28,16.67,Product 091,Beverages,Beverages Group 4,Brand 02,41.28,Customer 2847,East,Corporate,City 16,Store 15,East,Manager 08,2025-08-27,2025,8,Aug,3,Wednesday
21,20240722,89,1345,17,1,0.15,88.13,69.24,18.89,Product 089,Electronics,Electronics Group 2,Brand 15,69.24,Customer 1345,North,Consumer,City 02,Store 17,North,Manager 02,2024-07-22,2024,7,Jul,3,Monday
22,20250609,73,541,11,3,0.1,45.27,34.14,11.13,Product 073,Beverages,Beverages Group 2,Brand 14,11.38,Customer 0541,North,SMB,City 14,Store 11,East,Manager 04,2025-06-09,2025,6,Jun,2,Monday
23,20250716,37,242,15,1,0.0,151.67,84.39,67.28,Product 037,Beverages,Beverages Group 2,Brand 08,84.39,Customer 0242,South,Consumer,City 03,Store 15,East,Manager 08,2025-07-16,2025,7,Jul,3,Wednesday
24,20241227,6,1666,1,2,0.1,196.68,130.36,66.32,Product 006,Office,Office Group 3,Brand 07,65.18,Customer 1666,South,Consumer,City 35,Store 01,North,Manager 02,2024-12-27,2024,12,Dec,4,Friday
25,20250215,64,3375,5,2,0.0,513.85,278.24,235.61,Product 064,Personal Care,Personal Care Group 1,Brand 05,139.12,Customer 3375,East,Consumer,City 16,Store 05,North,Manager 06,2025-02-15,2025,2,Feb,1,Saturday
26,20240415,74,3322,14,1,0.1,178.88,128.15,50.73,Product 074,Snacks,Snacks Group 3,Brand 15,128.15,Customer 3322,South,Consumer,City 11,Store 14,South,Manager 07,2024-04-15,2024,4,Apr,2,Monday
27,20250103,100,2148,7,1,0.0,315.9,153.71,162.19,Product 100,Personal Care,Personal Care Group 1,Brand 11,153.71,Customer 2148,West,Consumer,City 37,Store 07,East,Manager 08,2025-01-03,2025,1,Jan,1,Friday
28,20250211,54,3876,3,2,0.0,661.53,322.38,339.15,Product 054,Office,Office Group 3,Brand 10,161.19,Customer 3876,West,Consumer,City 37,Store 03,East,Manager 04,2025-02-11,2025,2,Feb,1,Tuesday
29,20250220,12,521,23,1,0.0,175.85,112.31,63.54,Product 012,Office,Office Group 1,Brand 13,112.31,Customer 0521,North,Consumer,City 42,Store 23,East,Manager 08,2025-02-20,2025,2,Feb,1,Thursday
30,20251213,22,349,14,2,0.05,17.08,8.38,8.7,Product 022,Personal Care,Personal Care Group 3,Brand 08,4.19,Customer 0349,North,SMB,City 14,Store 14,South,Manager 07,2025-12-13,2025,12,Dec,4,Saturday
31,20250616,14,3567,16,2,0.0,53.7,25.42,28.28,Product 014,Snacks,Snacks Group 3,Brand 15,12.71,Customer 3567,East,SMB,City 16,Store 16,West,Manager 01,2025-06-16,2025,6,Jun,2,Monday
32,20240119,44,3971,15,2,0.1,82.75,59.24,23.51,Product 044,Snacks,Snacks Group 1,Brand 15,29.62,Customer 3971,East,SMB,City 36,Store 15,East,Manager 08,2024-01-19,2024,1,Jan,1,Friday
33,20240619,13,968,10,3,0.0,810.82,407.61,403.21,Product 013,Beverages,Beverages Group 2,Brand 14,135.87,Customer 0968,West,Consumer,City 09,Store 10,South,Manager 03,2024-06-19,2024,6,Jun,2,Wednesday
34,20250926,10,689,12,1,0.0,257.58,142.99,114.59,Product 010,Personal Care,Personal Care Group 3,Brand 11,142.99,Customer 0689,North,Corporate,City 18,Store 12,West,Manager 05,2025-09-26,2025,9,Sep,3,Friday
35,20250118,16,2698,2,2,0.1,418.14,274.28,143.86,Product 016,Personal Care,Personal Care Group 1,Brand 02,137.14,Customer 2698,South,Consumer,City 11,Store 02,South,Manager 03,2025-01-18,2025,1,Jan,1,Saturday
36,20250207,82,1718,19,1,0.05,71.72,42.92,28.8,Product 082,Personal Care,Personal Care Group 3,Brand 08,42.92,Customer 1718,South,SMB,City 39,Store 19,East,Manager 04,2025-02-07,2025,2,Feb,1,Friday
37,20240528,51,1696,14,2,0.05,451.17,277.32,173.85,Product 051,Household,Household Group 4,Brand 07,138.66,Customer 1696,West,Corporate,City 17,Store 14,South,Manager 07,2024-05-28,2024,5,May,2,Tuesday
38,20251204,102,2952,10,1,0.0,327.52,150.84,176.68,Product 102,Office,Office Group 3,Brand 13,150.84,Customer 2952,West,Consumer,City 25,Store 10,South,Manager 03,2025-12-04,2025,12,Dec,4,Thursday
39,20251206,11,214,12,1,0.0,28.27,16.52,11.75,Product 011,Electronics,Electronics Group 4,Brand 12,16.52,Customer 0214,South,Consumer,City 23,Store 12,West,Manager 05,2025-12-06,2025,12,Dec,4,Saturday
40,20250910,103,1064,4,1,0.05,310.61,173.55,137.06,Product 103,Beverages,Beverages Group 4,Brand 14,173.55,Customer 1064,West,Consumer,City 09,Store 04,West,Manager 05,2025-09-10,2025,9,Sep,3,Wednesday
41,20250405,57,2404,4,2,0.15,210.41,156.08,54.33,Product 057,Household,Household Group 2,Brand 13,78.04,Customer 2404,West,Consumer,City 05,Store 04,West,Manager 05,2025-04-05,2025,4,Apr,2,Saturday
42,20250314,61,1716,16,1,0.1,64.4,35.55,28.85,Product 061,Beverages,Beverages Group 2,Brand 02,35.55,Customer 1716,West,Consumer,City 37,Store 16,West,Manager 01,2025-03-14,2025,3,Mar,1,Friday
43,20240119,31,1954,21,2,0.0,248.44,164.52,83.92,Product 031,Beverages,Beverages Group 4,Brand 02,82.26,Customer 1954,South,Consumer,City 35,Store 21,North,Manager 06,2024-01-19,2024,1,Jan,1,Friday
44,20240424,85,74,22,1,0.1,213.34,157.46,55.88,Product 085,Beverages,Beverages Group 2,Brand 11,157.46,Customer 0074,South,Consumer,City 27,Store 22,South,Manager 07,2024-04-24,2024,4,Apr,2,Wednesday
45,20240414,21,3090,21,2,0.0,129.3,63.6,65.7,Product 021,Household,Household Group 2,Brand 07,31.8,Customer 3090,South,SMB,City 19,Store 21,North,Manager 06,2024-04-14,2024,4,Apr,2,Sunday
46,20250910,46,1593,12,2,0.05,527.84,331.12,196.72,Product 046,Personal Care,Personal Care Group 3,Brand 02,165.56,Customer 1593,North,Corporate,City 10,Store 12,West,Manager 05,2025-09-10,2025,9,Sep,3,Wednesday
47,20251107,108,1613,14,1,0.0,110.65,72.31,38.34,Product 108,Office,Office Group 1,Brand 04,72.31,Customer 1613,North,Consumer,City 30,Store 14,South,Manager 07,2025-11-07,2025,11,Nov,4,Friday
48,20250820,103,3252,9,1,0.0,305.64,173.55,132.09,Product 103,Beverages,Beverages Group 4,Brand 14,173.55,Customer 3252,West,Consumer,City 37,Store 09,North,Manager 02,2025-08-20,2025,8,Aug,3,Wednesday
49,20241028,18,2654,6,2,0.05,718.72,338.44,380.28,Product 018,Office,Office Group 3,Brand 04,169.22,Customer 2654,South,Consumer,City 15,Store 06,South,Manager 07,2024-10-28,2024,10,Oct,4,Monday
50,20250730,27,581,8,4,0.0,601.55,333.88,267.67,Product 027,Household,Household Group 4,Brand 13,83.47,Customer 0581,North,Consumer,City 06,Store 08,West,Manager 01,2025-07-30,2025,7,Jul,3,Wednesday
51,20240820,103,868,4,1,0.0,370.25,173.55,196.7,Product 103,Beverages,Beverages Group 4,Brand 14,173.55,Customer 0868,West,SMB,City 05,Store 04,West,Manager 05,2024-08-20,2024,8,Aug,3,Tuesday
52,20250513,75,1789,14,1,0.0,316.13,159.03,157.1,Product 075,Household,Household Group 4,Brand 01,159.03,Customer 1789,North,Consumer,City 14,Store 14,South,Manager 07,2025-05-13,2025,5,May,2,Tuesday
53,20251206,11,355,21,3,0.0,96.13,49.56,46.57,Product 011,Electronics,Electronics Group 4,Brand 12,16.52,Customer 0355,East,Consumer,City 20,Store 21,North,Manager 06,2025-12-06,2025,12,Dec,4,Saturday
54,20250102,97,1967,22,2,0.0,142.81,94.5,48.31,Product 097,Beverages,Beverages Group 2,Brand 08,47.25,Customer 1967,East,SMB,City 48,Store 22,South,Manager 07,2025-01-02,2025,1,Jan,1,Thursday
55,20240514,43,1379,22,1,0.0,183.94,107.49,76.45,Product 043,Beverages,Beverages Group 4,Brand 14,107.49,Customer 1379,East,Consumer,City 36,Store 22,South,Manager 07,2024-05-14,2024,5,May,2,Tuesday
56,20251027,81,3265,16,2,0.0,44.88,23.38,21.5,Product 081,Household,Household Group 2,Brand 07,11.69,Customer 3265,North,SMB,City 02,Store 16,West,Manager 01,2025-10-27,2025,10,Oct,4,Monday
57,20240313,76,2196,4,1,0.2,138.04,106.44,31.6,Product 076,Personal Care,Personal Care Group 1,Brand 02,106.44,Customer 2196,West,SMB,City 37,Store 04,West,Manager 05,2024-03-13,2024,3,Mar,1,Wednesday
58,20240904,90,2109,19,1,0.0,33.49,21.33,12.16,Product 090,Office,Office Group 3,Brand 01,21.33,Customer 2109,North,Consumer,City 46,Store 19,East,Manager 04,2024-09-04,2024,9,Sep,3,Wednesday
59,20240620,114,3878,14,2,0.0,439.22,203.24,235.98,Product 114,Office,Office Group 3,Brand 10,101.62,Customer 3878,South,SMB,City 39,Store 14,South,Manager 07,2024-06-20,2024,6,Jun,2,Thursday
60,20250805,93,1997,15,1,0.0,326.63,176.84,149.79,Product 093,Household,Household Group 2,Brand 04,176.84,Customer 1997,North,SMB,City 30,Store 15,East,Manager 08,2025-08-05,2025,8,Aug,3,Tuesday
61,20250802,52,3613,15,1,0.05,227.76,135.69,92.07,Product 052,Personal Care,Personal Care Group 1,Brand 08,135.69,Customer 3613,North,SMB,City 14,Store 15,East,Manager 08,2025-08-02,2025,8,Aug,3,Saturday
62,20250913,13,554,23,1,0.1,199.75,135.87,63.88,Product 013,Beverages,Beverages Group 2,Brand 14,135.87,Customer 0554,South,SMB,City 27,Store 23,East,Manager 08,2025-09-13,2025,9,Sep,3,Saturday
63,20240105,104,3390,15,4,0.15,695.04,489.92,205.12,Product 104,Snacks,Snacks Group 1,Brand 15,122.48,Customer 3390,South,SMB,City 31,Store 15,East,Manager 08,2024-01-05,2024,1,Jan,1,Friday
64,20240926,57,3445,16,3,0.0,483.23,234.12,249.11,Product 057,Household,Household Group 2,Brand 13,78.04,Customer 3445,North,SMB,City 38,Store 16,West,Manager 01,2024-09-26,2024,9,Sep,3,Thursday
65,20250726,59,3632,6,3,0.1,483.89,257.55,226.34,Product 059,Electronics,Electronics Group 4,Brand 15,85.85,Customer 3632,West,Consumer,City 33,Store 06,South,Manager 07,2025-07-26,2025,7,Jul,3,Saturday
66,20250205,115,3796,24,5,0.0,1506.06,741.2,764.86,Product 115,Beverages,Beverages Group 4,Brand 11,148.24,Customer 3796,West,SMB,City 05,Store 24,West,Manager 01,2025-02-05,2025,2,Feb,1,Wednesday
67,20250304,5,2531,7,1,0.15,110.87,82.65,28.22,Product 005,Electronics,Electronics Group 2,Brand 06,82.65,Customer 2531,East,Consumer,City 36,Store 07,East,Manager 08,2025-03-04,2025,3,Mar,1,Tuesday
68,20250413,43,1152,5,3,0.0,648.53,322.47,326.06,Product 043,Beverages,Beverages Group 4,Brand 14,107.49,Customer 1152,West,SMB,City 01,Store 05,North,Manager 06,2025-04-13,2025,4,Apr,2,Sunday
69,20251222,44,258,24,2,0.05,102.46,59.24,43.22,Product 044,Snacks,Snacks Group 1,Brand 15,29.62,Customer 0258,South,Consumer,City 19,Store 24,West,Manager 01,2025-12-22,2025,12,Dec,4,Monday
70,20250720,35,2717,22,1,0.05,297.82,154.37,143.45,Product 035,Electronics,Electronics Group 4,Brand 06,154.37,Customer 2717,North,Consumer,City 30,Store 22,South,Manager 07,2025-07-20,2025,7,Jul,3,Sunday
71,20241006,36,835,7,3,0.15,252.43,151.32,101.11,Product 036,Office,Office Group 1,Brand 07,50.44,Customer 0835,East,Consumer,City 20,Store 07,East,Manager 08,2024-10-06,2024,10,Oct,4,Sunday
72,20240510,113,1531,22,2,0.15,95.37,57.34,38.03,Product 113,Electronics,Electronics Group 2,Brand 09,28.67,Customer 1531,East,Consumer,City 44,Store 22,South,Manager 07,2024-05-10,2024,5,May,2,Friday
73,20250630,85,1895,24,2,0.0,601.87,314.92,286.95,Product 085,Beverages,Beverages Group 2,Brand 11,157.46,Customer 1895,East,Consumer,City 24,Store 24,West,Manager 01,2025-06-30,2025,6,Jun,2,Monday
74,20251101,64,2739,14,3,0.0,630.34,417.36,212.98,Product 064,Personal Care,Personal Care Group 1,Brand 05,139.12,Customer 2739,East,Consumer,City 04,Store 14,South,Manager 07,2025-11-01,2025,11,Nov,4,Saturday
75,20251030,113,1842,11,1,0.0,64.41,28.67,35.74,Product 113,Electronics,Electronics Group 2,Brand 09,28.67,Customer 1842,South,Consumer,City 19,Store 11,East,Manager 04,2025-10-30,2025,10,Oct,4,Thursday
76,20240908,15,931,22,2,0.0,742.9,349.2,393.7,Product 015,Household,Household Group 4,Brand 01,174.6,Customer 0931,East,Corporate,City 20,Store 22,South,Manager 07,2024-09-08,2024,9,Sep,3,Sunday
77,20250613,19,2660,9,1,0.15,40.54,30.62,9.92,Product 019,Beverages,Beverages Group 4,Brand 05,30.62,Customer 2660,West,SMB,City 21,Store 09,North,Manager 02,2025-06-13,2025,6,Jun,2,Friday
78,20251006,45,3843,12,2,0.0,628.0,288.36,339.64,Product 045,Household,Household Group 2,Brand 01,144.18,Customer 3843,East,Corporate,City 04,Store 12,West,Manager 05,2025-10-06,2025,10,Oct,4,Monday
79,20250505,66,405,23,2,0.0,72.02,41.1,30.92,Product 066,Office,Office Group 3,Brand 07,20.55,Customer 0405,North,Consumer,City 22,Store 23,East,Manager 08,2025-05-05,2025,5,May,2,Monday
80,20240518,87,2213,10,2,0.0,289.87,130.42,159.45,Product 087,Household,Household Group 4,Brand 13,65.21,Customer 2213,North,Consumer,City 06,Store 10,South,Manager 03,2024-05-18,2024,5,May,2,Saturday
81,20250118,53,27,16,1,0.0,124.62,71.73,52.89,Product 053,Electronics,Electronics Group 2,Brand 09,71.73,Customer 0027,East,Consumer,City 28,Store 16,West,Manager 01,2025-01-18,2025,1,Jan,1,Saturday
82,20250526,84,1567,13,1,0.0,293.4,154.18,139.22,Product 084,Office,Office Group 1,Brand 10,154.18,Customer 1567,East,Corporate,City 32,Store 13,North,Manager 06,2025-05-26,2025,5,May,2,Monday
83,20250227,66,1663,2,1,0.0,40.9,20.55,20.35,Product 066,Office,Office Group 3,Brand 07,20.55,Customer 1663,East,Consumer,City 32,Store 02,South,Manager 03,2025-02-27,2025,2,Feb,1,Thursday
84,20240316,18,2872,20,3,0.1,964.56,507.66,456.9,Product 018,Office,Office Group 3,Brand 04,169.22,Customer 2872,West,Corporate,City 41,Store 20,West,Manager 05,2024-03-16,2024,3,Mar,1,Saturday
85,20250523,120,2750,24,1,0.0,17.8,8.98,8.82,Product 120,Office,Office Group 1,Brand 01,8.98,Customer 2750,South,SMB,City 15,Store 24,West,Manager 01,2025-05-23,2025,5,May,2,Friday
86,20240930,62,1264,18,4,0.1,827.34,631.48,195.86,Product 062,Snacks,Snacks Group 3,Brand 03,157.87,Customer 1264,West,Corporate,City 17,Store 18,South,Manager 03,2024-09-30,2024,9,Sep,3,Monday
87,20251230,16,3171,4,1,0.0,221.93,137.14,84.79,Product 016,Personal Care,Personal Care Group 1,Brand 02,137.14,Customer 3171,East,Consumer,City 04,Store 04,West,Manager 05,2025-12-30,2025,12,Dec,4,Tuesday
88,20240307,89,100,4,2,0.0,302.27,138.48,163.79,Product 089,Electronics,Electronics Group 2,Brand 15,69.24,Customer 0100,West,SMB,City 05,Store 04,West,Manager 05,2024-03-07,2024,3,Mar,1,Thursday
89,20251112,19,1261,13,2,0.0,100.32,61.24,39.08,Product 019,Beverages,Beverages Group 4,Brand 05,30.62,Customer 1261,North,Corporate,City 14,Store 13,North,Manager 06,2025-11-12,2025,11,Nov,4,Wednesday
90,20250309,47,3988,9,1,0.0,25.08,11.74,13.34,Product 047,Electronics,Electronics Group 4,Brand 03,11.74,Customer 3988,West,Consumer,City 05,Store 09,North,Manager 02,2025-03-09,2025,3,Mar,1,Sunday
91,20250624,17,530,14,1,0.05,88.1,44.35,43.75,Product 017,Electronics,Electronics Group 2,Brand 03,44.35,Customer 0530,South,Consumer,City 03,Store 14,South,Manager 07,2025-06-24,2025,6,Jun,2,Tuesday
92,20240513,40,1674,9,2,0.0,296.96,180.32,116.64,Product 040,Personal Care,Personal Care Group 1,Brand 11,90.16,Customer 1674,South,SMB,City 43,Store 09,North,Manager 02,2024-05-13,2024,5,May,2,Monday
93,20241208,101,3725,10,1,0.0,253.77,119.36,134.41,Product 101,Electronics,Electronics Group 2,Brand 12,119.36,Customer 3725,North,Consumer,City 30,Store 10,South,Manager 03,2024-12-08,2024,12,Dec,4,Sunday
94,20240916,37,3547,20,3,0.05,469.1,253.17,215.93,Product 037,Beverages,Beverages Group 2,Brand 08,84.39,Customer 3547,East,Consumer,City 44,Store 20,West,Manager 05,2024-09-16,2024,9,Sep,3,Monday
95,20250817,98,2295,19,1,0.0,242.6,143.41,99.19,Product 098,Snacks,Snacks Group 3,Brand 09,143.41,Customer 2295,East,Corporate,City 40,Store 19,East,Manager 04,2025-08-17,2025,8,Aug,3,Sunday
96,20250507,102,2749,20,1,0.05,223.45,150.84,72.61,Product 102,Office,Office Group 3,Brand 13,150.84,Customer 2749,North,Consumer,City 14,Store 20,West,Manager 05,2025-05-07,2025,5,May,2,Wednesday
97,20250818,91,1135,3,1,0.0,76.92,41.28,35.64,Product 091,Beverages,Beverages Group 4,Brand 02,41.28,Customer 1135,East,Consumer,City 32,Store 03,East,Manager 04,2025-08-18,2025,8,Aug,3,Monday
98,20241007,40,1307,3,1,0.1,160.31,90.16,70.15,Product 040,Personal Care,Personal Care Group 1,Brand 11,90.16,Customer 1307,East,Consumer,City 12,Store 03,East,Manager 04,2024-10-07,2024,10,Oct,4,Monday
99,20240912,12,950,16,1,0.0,245.33,112.31,133.02,Product 012,Office,Office Group 1,Brand 13,112.31,Customer 0950,South,SMB,City 39,Store 16,West,Manager 01,2024-09-12,2024,9,Sep,3,Thursday
100,20250301,77,2668,13,1,0.0,166.67,87.62,79.05,Product 077,Electronics,Electronics Group 2,Brand 03,87.62,Customer 2668,West,Consumer,City 29,Store 13,North,Manager 06,2025-03-01,2025,3,Mar,1,Saturday
101,20250620,22,1554,11,1,0.1,6.36,4.19,2.17,Product 022,Personal Care,Personal Care Group 3,Brand 08,4.19,Customer 1554,South,Consumer,City 19,Store 11,East,Manager 04,2025-06-20,2025,6,Jun,2,Friday
102,20250512,20,654,19,1,0.05,54.76,39.58,15.18,Product 020,Snacks,Snacks Group 1,Brand 06,39.58,Customer 0654,South,Consumer,City 31,Store 19,East,Manager 04,2025-05-12,2025,5,May,2,Monday
103,20250503,18,2591,23,4,0.0,1188.39,676.88,511.51,Product 018,Office,Office Group 3,Brand 04,169.22,Customer 2591,East,Consumer,City 48,Store 23,East,Manager 08,2025-05-03,2025,5,May,2,Saturday
104,20240702,45,2906,19,1,0.0,304.84,144.18,160.66,Product 045,Household,Household Group 2,Brand 01,144.18,Customer 2906,South,Consumer,City 27,Store 19,East,Manager 04,2024-07-02,2024,7,Jul,3,Tuesday
105,20240215,55,98,11,3,0.1,504.12,321.21,182.91,Product 055,Beverages,Beverages Group 4,Brand 11,107.07,Customer 0098,South,Consumer,City 03,Store 11,East,Manager 04,2024-02-15,2024,2,Feb,1,Thursday
106,20250711,91,3706,14,1,0.0,78.65,41.28,37.37,Product 091,Beverages,Beverages Group 4,Brand 02,41.28,Customer 3706,South,Consumer,City 11,Store 14,South,Manager 07,2025-07-11,2025,7,Jul,3,Friday
107,20250708,9,301,12,2,0.0,574.52,267.9,306.62,Product 009,Household,Household Group 2,Brand 10,133.95,Customer 0301,North,Corporate,City 14,Store 12,West,Manager 05,2025-07-08,2025,7,Jul,3,Tuesday
108,20250427,28,613,7,1,0.0,185.86,96.3,89.56,Product 028,Personal Care,Personal Care Group 1,Brand 14,96.3,Customer 0613,North,SMB,City 38,Store 07,East,Manager 08,2025-04-27,2025,4,Apr,2,Sunday
109,20251010,2,1580,4,2,0.0,573.74,270.52,303.22,Product 002,Snacks,Snacks Group 3,Brand 03,135.26,Customer 1580,West,Consumer,City 45,Store 04,West,Manager 05,2025-10-10,2025,10,Oct,4,Friday
110,20240525,96,675,12,1,0.05,25.76,15.98,9.78,Product 096,Office,Office Group 1,Brand 07,15.98,Customer 0675,East,Corporate,City 04,Store 12,West,Manager 05,2024-05-25,2024,5,May,2,Saturday
111,20240419,99,3953,14,2,0.1,638.38,357.64,280.74,Product 099,Household,Household Group 4,Brand 10,178.82,Customer 3953,North,Consumer,City 18,Store 14,South,Manager 07,2024-04-19,2024,4,Apr,2,Friday
112,20240815,104,3047,7,1,0.05,187.45,122.48,64.97,Product 104,Snacks,Snacks Group 1,Brand 15,122.48,Customer 3047,East,Consumer,City 24,Store 07,East,Manager 08,2024-08-15,2024,8,Aug,3,Thursday
113,20240525,11,2687,14,1,0.0,32.34,16.52,15.82,Product 011,Electronics,Electronics Group 4,Brand 12,16.52,Customer 2687,East,Consumer,City 48,Store 14,South,Manager 07,2024-05-25,2024,5,May,2,Saturday
114,20250518,28,962,5,1,0.0,183.2,96.3,86.9,Product 028,Personal Care,Personal Care Group 1,Brand 14,96.3,Customer 0962,South,Corporate,City 03,Store 05,North,Manager 06,2025-05-18,2025,5,May,2,Sunday
115,20240701,49,3385,10,1,0.0,80.71,47.56,33.15,Product 049,Beverages,Beverages Group 2,Brand 05,47.56,Customer 3385,North,SMB,City 26,Store 10,South,Manager 03,2024-07-01,2024,7,Jul,3,Monday
116,20240113,67,1811,14,2,0.15,464.38,285.88,178.5,Product 067,Beverages,Beverages Group 4,Brand 08,142.94,Customer 1811,East,SMB,City 36,Store 14,South,Manager 07,2024-01-13,2024,1,Jan,1,Saturday
117,20250831,9,957,24,1,0.0,241.67,133.95,107.72,Product 009,Household,Household Group 2,Brand 10,133.95,Customer 0957,North,Consumer,City 46,Store 24,West,Manager 01,2025-08-31,2025,8,Aug,3,Sunday
118,20241104,39,2096,22,1,0.0,44.29,21.15,23.14,Product 039,Household,Household Group 4,Brand 10,21.15,Customer 2096,West,Consumer,City 33,Store 22,South,Manager 07,2024-11-04,2024,11,Nov,4,Monday
119,20250119,82,1454,22,2,0.1,139.2,85.84,53.36,Product 082,Personal Care,Personal Care Group 3,Brand 08,42.92,Customer 1454,South,Consumer,City 15,Store 22,South,Manager 07,2025-01-19,2025,1,Jan,1,Sunday
120,20250512,65,1057,3,2,0.1,229.37,137.88,91.49,Product 065,Electronics,Electronics Group 2,Brand 06,68.94,Customer 1057,North,Consumer,City 02,Store 03,East,Manager 04,2025-05-12,2025,5,May,2,Monday
121,20251116,72,88,11,1,0.0,208.19,134.33,73.86,Product 072,Office,Office Group 1,Brand 13,134.33,Customer 0088,West,Consumer,City 41,Store 11,East,Manager 04,2025-11-16,2025,11,Nov,4,Sunday
122,20240427,118,999,17,3,0.0,1125.75,514.74,611.01,Product 118,Personal Care,Personal Care Group 3,Brand 14,171.58,Customer 0999,East,Consumer,City 40,Store 17,North,Manager 02,2024-04-27,2024,4,Apr,2,Saturday
