AppointmentID,AppointmentDate,AppointmentTime,BookingDate,CustomerID,StaffID,ServiceID,Status,BookingChannel,DiscountPct,NetRevenue,BookedMinutes
A00025,2026-01-05,13:30,2025-12-24,C173,ST02,SV03,Completed,Phone,0.05,109.25,120
A00026,2026-01-05,15:30,2026-01-05,C044,ST02,SV08,Completed,Online,0,25,30
A00027,2026-01-05,09:00,2026-01-02,C084,ST02,SV02,Completed,Phone,0,32,40
A00028,2026-01-05,10:00,2025-12-15,C051,ST02,SV06,No-show,Online,0,0,75
A00029,2026-01-05,18:00,2025-12-26,C043,ST02,SV06,Cancelled,Phone,0,0,75
A00030,2026-01-05,09:00,2026-01-03,C076,ST01,SV07,Completed,Walk-in,0,70,60
A00031,2026-01-05,12:00,2025-12-16,C141,ST04,SV05,Completed,Phone,0.1,27.0,45
A00032,2026-01-05,10:30,2025-12-20,C152,ST05,SV06,Completed,Online,0.05,45.6,75
A00033,2026-01-06,16:30,2025-12-22,C157,ST02,SV07,Completed,Walk-in,0.05,66.5,60
A00034,2026-01-06,17:30,2025-12-23,C143,ST03,SV06,Completed,Phone,0,48,75
A00035,2026-01-06,17:00,2025-12-26,C096,ST03,SV07,No-show,Online,0.05,0,60
A00036,2026-01-06,09:00,2026-01-01,C001,ST02,SV04,Completed,Online,0.05,137.75,150
A00037,2026-01-06,16:30,2025-12-23,C142,ST01,SV04,Completed,Phone,0,145,150
A00038,2026-01-06,12:30,2026-01-05,C118,ST04,SV08,Cancelled,Walk-in,0.1,0,30
A00039,2026-01-06,11:30,2025-12-20,C058,ST01,SV04,Completed,Online,0.05,137.75,150
A00040,2026-01-06,15:00,2025-12-24,C059,ST01,SV05,Completed,Phone,0,30,45
A00041,2026-01-07,15:30,2025-12-17,C039,ST03,SV08,Completed,Walk-in,0,25,30
A00042,2026-01-07,12:30,2025-12-30,C040,ST04,SV03,Completed,Walk-in,0.1,103.5,120
A00043,2026-01-07,16:30,2025-12-31,C038,ST01,SV07,Completed,Online,0.1,63.0,60
A00044,2026-01-07,11:30,2026-01-07,C152,ST05,SV08,Completed,Walk-in,0,25,30
A00045,2026-01-07,18:30,2025-12-21,C103,ST02,SV08,Completed,Online,0.1,22.5,30
A00046,2026-01-07,15:00,2025-12-23,C120,ST03,SV04,Completed,Walk-in,0,145,150
A00047,2026-01-07,10:00,2026-01-01,C069,ST05,SV05,Completed,Phone,0,30,45
A00048,2026-01-08,15:00,2025-12-21,C018,ST05,SV03,Completed,Online,0,115,120
A00049,2026-01-08,15:30,2026-01-02,C023,ST01,SV05,Completed,Walk-in,0.1,27.0,45
A00050,2026-01-08,11:30,2026-01-08,C015,ST05,SV07,Completed,Online,0.1,63.0,60
A00051,2026-01-08,11:30,2025-12-31,C114,ST01,SV05,Completed,Walk-in,0,30,45
A00052,2026-01-08,11:00,2026-01-08,C042,ST01,SV02,Completed,Walk-in,0,32,40
A00053,2026-01-09,12:00,2026-01-06,C073,ST04,SV08,Completed,Phone,0,25,30
A00054,2026-01-09,15:00,2025-12-20,C144,ST04,SV08,Completed,Online,0.05,23.75,30
A00055,2026-01-09,14:30,2026-01-09,C048,ST01,SV03,Completed,Phone,0.1,103.5,120
A00056,2026-01-09,09:30,2025-12-30,C075,ST05,SV06,Completed,Walk-in,0,48,75
A00057,2026-01-09,18:30,2025-12-26,C118,ST04,SV07,Completed,Walk-in,0,70,60
A00058,2026-01-09,14:00,2025-12-28,C164,ST04,SV03,Completed,Phone,0,115,120
A00059,2026-01-09,09:30,2025-12-20,C115,ST04,SV04,Completed,Phone,0.05,137.75,150
A00060,2026-01-09,12:30,2025-12-23,C079,ST03,SV03,Completed,Walk-in,0,115,120
A00061,2026-01-10,16:00,2026-01-08,C072,ST04,SV05,Completed,Walk-in,0,30,45
A00062,2026-01-10,12:00,2025-12-28,C031,ST04,SV05,Completed,Phone,0,30,45
A00063,2026-01-10,16:00,2026-01-10,C018,ST05,SV08,Completed,Phone,0.1,22.5,30
A00064,2026-01-10,13:30,2025-12-22,C178,ST05,SV04,Completed,Online,0,145,150
A00065,2026-01-10,16:30,2026-01-02,C119,ST04,SV07,Completed,Online,0.1,63.0,60
A00066,2026-01-10,17:30,2025-12-30,C024,ST04,SV05,Cancelled,Phone,0,0,45
A00067,2026-01-10,09:30,2026-01-02,C053,ST05,SV01,Completed,Walk-in,0,55,60
A00068,2026-01-10,13:00,2026-01-02,C082,ST03,SV03,Completed,Walk-in,0,115,120
A00069,2026-01-10,16:00,2026-01-01,C005,ST04,SV05,Completed,Phone,0,30,45
A00070,2026-01-12,13:30,2026-01-09,C148,ST01,SV01,Completed,Walk-in,0.05,52.25,60
A00071,2026-01-12,13:00,2026-01-04,C140,ST05,SV06,Completed,Phone,0,48,75
A00072,2026-01-12,10:00,2025-12-24,C126,ST01,SV01,Completed,Phone,0,55,60
A00073,2026-01-12,09:30,2026-01-08,C008,ST04,SV06,Completed,Phone,0,48,75
A00074,2026-01-12,14:00,2025-12-30,C013,ST05,SV04,Completed,Walk-in,0.1,130.5,150
A00075,2026-01-13,11:00,2026-01-05,C028,ST03,SV05,Completed,Walk-in,0,30,45
A00076,2026-01-13,15:30,2025-12-24,C060,ST05,SV07,Completed,Online,0.1,63.0,60
A00077,2026-01-13,14:30,2025-12-23,C168,ST03,SV08,Completed,Walk-in,0,25,30
A00078,2026-01-13,10:00,2026-01-03,C140,ST04,SV08,Cancelled,Walk-in,0,0,30
A00079,2026-01-13,13:00,2025-12-28,C141,ST01,SV07,Completed,Online,0,70,60
A00080,2026-01-14,17:30,2025-12-26,C016,ST03,SV06,Cancelled,Online,0,0,75
A00081,2026-01-14,14:00,2025-12-25,C174,ST05,SV01,Completed,Phone,0.05,52.25,60
A00082,2026-01-14,18:00,2026-01-11,C080,ST03,SV08,Cancelled,Online,0,0,30
A00083,2026-01-14,17:00,2025-12-29,C014,ST03,SV08,Cancelled,Walk-in,0.1,0,30
A00084,2026-01-14,09:30,2026-01-09,C021,ST04,SV05,Cancelled,Walk-in,0,0,45
A00085,2026-01-14,14:00,2026-01-03,C165,ST05,SV01,Completed,Walk-in,0,55,60
A00086,2026-01-14,13:30,2026-01-12,C108,ST02,SV01,Completed,Walk-in,0,55,60
A00087,2026-01-15,17:00,2025-12-27,C085,ST02,SV01,Completed,Online,0,55,60
A00088,2026-01-15,17:00,2026-01-14,C178,ST05,SV03,Completed,Walk-in,0.05,109.25,120
A00089,2026-01-15,17:30,2026-01-12,C063,ST01,SV08,Completed,Online,0.1,22.5,30
A00090,2026-01-15,09:00,2026-01-04,C149,ST03,SV08,Completed,Phone,0,25,30
A00091,2026-01-15,15:00,2025-12-31,C014,ST03,SV07,No-show,Online,0.05,0,60
A00092,2026-01-15,10:00,2025-12-25,C021,ST02,SV08,Completed,Online,0,25,30
A00093,2026-01-15,18:00,2026-01-06,C033,ST05,SV03,Completed,Walk-in,0.05,109.25,120
A00094,2026-01-15,17:30,2026-01-11,C132,ST04,SV04,Completed,Walk-in,0.05,137.75,150
A00095,2026-01-15,14:00,2026-01-06,C056,ST01,SV01,No-show,Phone,0,0,60
A00096,2026-01-15,12:00,2026-01-12,C142,ST03,SV06,Completed,Walk-in,0.05,45.6,75
A00097,2026-01-16,12:00,2026-01-15,C169,ST05,SV03,Cancelled,Phone,0,0,120
A00098,2026-01-16,13:00,2026-01-10,C127,ST04,SV07,Cancelled,Phone,0,0,60
A00099,2026-01-16,17:00,2026-01-16,C165,ST02,SV08,Completed,Phone,0,25,30
A00100,2026-01-16,11:30,2026-01-08,C169,ST05,SV03,Completed,Online,0,115,120
A00101,2026-01-16,11:30,2026-01-06,C107,ST01,SV03,Completed,Online,0.05,109.25,120
A00102,2026-01-16,11:30,2026-01-07,C167,ST04,SV02,Completed,Online,0.1,28.8,40
A00103,2026-01-16,16:00,2026-01-06,C066,ST03,SV01,Completed,Online,0.05,52.25,60
A00104,2026-01-16,12:30,2026-01-15,C069,ST02,SV02,Completed,Walk-in,0.05,30.4,40
A00105,2026-01-16,09:30,2026-01-06,C132,ST03,SV04,No-show,Phone,0,0,150
A00106,2026-01-16,11:30,2026-01-13,C114,ST01,SV08,Completed,Walk-in,0,25,30
A00107,2026-01-16,17:00,2025-12-31,C067,ST04,SV03,Completed,Online,0,115,120
A00108,2026-01-17,15:30,2026-01-16,C148,ST03,SV03,Completed,Online,0,115,120
A00109,2026-01-17,11:30,2026-01-02,C027,ST01,SV01,No-show,Walk-in,0,0,60
A00110,2026-01-17,18:30,2026-01-02,C041,ST03,SV05,Completed,Online,0.05,28.5,45
A00111,2026-01-17,16:30,2026-01-07,C122,ST03,SV06,Completed,Online,0,48,75
A00112,2026-01-17,10:30,2026-01-13,C091,ST02,SV03,Completed,Walk-in,0,115,120
A00113,2026-01-17,14:00,2025-12-31,C021,ST05,SV03,Cancelled,Phone,0.1,0,120
A00114,2026-01-19,15:00,2026-01-08,C162,ST01,SV03,Completed,Walk-in,0.1,103.5,120
A00115,2026-01-19,15:00,2025-12-29,C048,ST05,SV01,Completed,Walk-in,0,55,60
A00116,2026-01-19,14:00,2026-01-14,C149,ST05,SV02,Completed,Online,0,32,40
A00117,2026-01-19,12:00,2026-01-07,C087,ST02,SV06,Completed,Online,0.05,45.6,75
A00118,2026-01-19,11:00,2026-01-13,C140,ST02,SV03,Completed,Walk-in,0.05,109.25,120
A00119,2026-01-19,12:00,2026-01-18,C031,ST02,SV06,Cancelled,Online,0,0,75
A00120,2026-01-19,15:00,2026-01-04,C162,ST04,SV05,Completed,Walk-in,0,30,45
A00121,2026-01-19,17:00,2026-01-05,C092,ST05,SV05,Completed,Walk-in,0,30,45
A00122,2026-01-20,13:30,2026-01-06,C089,ST05,SV02,Completed,Walk-in,0.05,30.4,40
A00123,2026-01-20,11:00,2026-01-19,C075,ST02,SV02,Completed,Phone,0,32,40
A00124,2026-01-20,16:00,2025-12-30,C044,ST03,SV08,No-show,Online,0.1,0,30
A00125,2026-01-20,09:30,2026-01-08,C127,ST05,SV03,Cancelled,Walk-in,0,0,120
A00126,2026-01-20,17:30,2026-01-11,C127,ST04,SV08,Completed,Online,0,25,30
A00127,2026-01-20,15:00,2026-01-04,C162,ST04,SV06,Completed,Online,0,48,75
A00128,2026-01-20,17:00,2026-01-14,C007,ST03,SV06,Completed,Online,0.05,45.6,75
A00129,2026-01-20,16:00,2026-01-19,C026,ST04,SV01,Completed,Walk-in,0,55,60
A00130,2026-01-20,15:30,2026-01-10,C055,ST05,SV07,Completed,Online,0.1,63.0,60
A00131,2026-01-20,12:00,2026-01-12,C029,ST02,SV08,Completed,Online,0.05,23.75,30
A00132,2026-01-20,09:30,2026-01-05,C093,ST05,SV08,Completed,Walk-in,0.1,22.5,30
A00133,2026-01-21,14:30,2026-01-17,C067,ST05,SV01,Completed,Phone,0,55,60
A00134,2026-01-21,10:30,2026-01-21,C113,ST03,SV02,Completed,Phone,0,32,40
A00135,2026-01-21,16:00,2026-01-11,C076,ST05,SV03,Completed,Walk-in,0,115,120
A00136,2026-01-21,16:00,2026-01-03,C097,ST03,SV05,Completed,Walk-in,0,30,45
A00137,2026-01-21,10:00,2026-01-13,C030,ST03,SV04,Completed,Online,0.1,130.5,150
A00138,2026-01-21,15:00,2026-01-18,C094,ST03,SV02,Cancelled,Phone,0.05,0,40
A00139,2026-01-21,18:00,2026-01-01,C045,ST05,SV04,Completed,Walk-in,0.05,137.75,150
A00140,2026-01-22,11:00,2026-01-13,C113,ST04,SV06,Completed,Walk-in,0,48,75
A00141,2026-01-22,18:00,2026-01-21,C129,ST05,SV04,Completed,Phone,0.05,137.75,150
A00142,2026-01-22,09:00,2026-01-19,C039,ST05,SV01,Completed,Phone,0,55,60
A00143,2026-01-22,15:00,2026-01-02,C127,ST01,SV01,Cancelled,Phone,0.1,0,60
A00144,2026-01-22,14:30,2026-01-02,C013,ST01,SV01,No-show,Walk-in,0,0,60
A00145,2026-01-22,17:00,2026-01-12,C049,ST05,SV08,Completed,Phone,0,25,30
A00146,2026-01-22,17:30,2026-01-14,C029,ST01,SV07,Completed,Online,0.1,63.0,60
A00147,2026-01-22,12:00,2026-01-03,C157,ST02,SV03,Completed,Walk-in,0.05,109.25,120
A00148,2026-01-23,16:30,2026-01-22,C019,ST02,SV02,No-show,Phone,0.1,0,40
A00149,2026-01-23,09:00,2026-01-18,C077,ST05,SV02,Cancelled,Phone,0.1,0,40
A00150,2026-01-23,11:00,2026-01-04,C043,ST01,SV01,Completed,Walk-in,0,55,60
A00151,2026-01-23,16:30,2026-01-21,C122,ST05,SV08,Completed,Walk-in,0.05,23.75,30
A00152,2026-01-23,09:00,2026-01-23,C172,ST04,SV02,Completed,Phone,0.1,28.8,40
A00153,2026-01-23,09:00,2026-01-13,C172,ST01,SV01,Completed,Walk-in,0,55,60
A00154,2026-01-24,17:00,2026-01-22,C066,ST02,SV02,Completed,Online,0,32,40
A00155,2026-01-24,10:00,2026-01-23,C075,ST03,SV07,Completed,Online,0.1,63.0,60
A00156,2026-01-24,13:30,2026-01-11,C086,ST03,SV08,Completed,Online,0.05,23.75,30
A00157,2026-01-24,15:00,2026-01-03,C141,ST03,SV02,Completed,Online,0,32,40
A00158,2026-01-24,17:30,2026-01-23,C011,ST03,SV03,Completed,Walk-in,0,115,120
A00159,2026-01-26,15:30,2026-01-13,C046,ST01,SV05,Completed,Phone,0,30,45
A00160,2026-01-26,14:00,2026-01-13,C036,ST03,SV05,Completed,Online,0.1,27.0,45
A00161,2026-01-26,18:00,2026-01-05,C140,ST03,SV07,No-show,Online,0.1,0,60
A00162,2026-01-26,11:00,2026-01-06,C016,ST02,SV01,Completed,Walk-in,0.05,52.25,60
A00163,2026-01-26,12:30,2026-01-13,C009,ST02,SV03,Completed,Online,0.1,103.5,120
A00164,2026-01-26,14:00,2026-01-13,C065,ST04,SV02,Completed,Phone,0.05,30.4,40
A00165,2026-01-26,13:00,2026-01-09,C165,ST04,SV07,No-show,Walk-in,0.05,0,60
A00166,2026-01-26,17:00,2026-01-21,C137,ST03,SV07,Cancelled,Walk-in,0,0,60
A00167,2026-01-26,16:30,2026-01-16,C085,ST01,SV07,Completed,Phone,0.1,63.0,60
A00168,2026-01-26,10:00,2026-01-14,C062,ST05,SV08,Completed,Phone,0.05,23.75,30
A00169,2026-01-27,09:00,2026-01-12,C029,ST05,SV05,No-show,Walk-in,0.1,0,45
A00170,2026-01-27,14:30,2026-01-25,C102,ST03,SV06,Completed,Online,0,48,75
A00171,2026-01-27,15:30,2026-01-12,C043,ST01,SV05,Cancelled,Walk-in,0.05,0,45
A00172,2026-01-27,14:30,2026-01-26,C136,ST02,SV06,Cancelled,Online,0,0,75
A00173,2026-01-27,16:30,2026-01-23,C069,ST01,SV08,No-show,Walk-in,0.1,0,30
A00174,2026-01-27,14:00,2026-01-16,C134,ST01,SV06,Cancelled,Online,0.05,0,75
A00175,2026-01-27,17:30,2026-01-15,C179,ST01,SV06,Completed,Online,0,48,75
A00176,2026-01-27,11:30,2026-01-19,C174,ST05,SV04,Completed,Walk-in,0.05,137.75,150
A00177,2026-01-27,16:30,2026-01-08,C174,ST05,SV04,Completed,Phone,0.05,137.75,150
A00178,2026-01-27,17:30,2026-01-12,C058,ST02,SV03,Completed,Online,0,115,120
A00179,2026-01-28,13:00,2026-01-19,C034,ST03,SV03,Completed,Online,0,115,120
A00180,2026-01-28,10:30,2026-01-27,C100,ST03,SV08,Completed,Walk-in,0,25,30
A00181,2026-01-28,14:00,2026-01-27,C024,ST04,SV06,Completed,Phone,0,48,75
A00182,2026-01-28,15:00,2026-01-22,C017,ST04,SV04,Completed,Online,0,145,150
A00183,2026-01-28,17:00,2026-01-25,C132,ST01,SV06,Completed,Online,0,48,75
A00184,2026-01-28,10:00,2026-01-25,C156,ST05,SV08,Cancelled,Phone,0,0,30
A00185,2026-01-28,14:30,2026-01-10,C015,ST04,SV03,Cancelled,Phone,0,0,120
A00186,2026-01-28,18:30,2026-01-10,C086,ST05,SV08,Completed,Online,0,25,30
A00187,2026-01-28,13:00,2026-01-26,C176,ST03,SV08,Completed,Online,0,25,30
A00188,2026-01-28,10:30,2026-01-21,C035,ST02,SV02,No-show,Walk-in,0.05,0,40
A00189,2026-01-29,14:00,2026-01-20,C098,ST04,SV07,Completed,Walk-in,0,70,60
A00190,2026-01-29,10:30,2026-01-11,C068,ST03,SV02,Completed,Online,0,32,40
A00191,2026-01-29,15:30,2026-01-19,C179,ST05,SV04,Completed,Online,0,145,150
A00192,2026-01-29,09:30,2026-01-10,C027,ST02,SV03,Completed,Walk-in,0.1,103.5,120
A00193,2026-01-29,15:00,2026-01-11,C051,ST04,SV07,No-show,Walk-in,0.05,0,60
A00194,2026-01-29,16:00,2026-01-15,C144,ST05,SV07,Completed,Online,0,70,60
A00195,2026-01-29,13:00,2026-01-22,C159,ST03,SV01,Completed,Phone,0,55,60
A00196,2026-01-29,09:30,2026-01-11,C001,ST05,SV03,Completed,Walk-in,0,115,120
A00197,2026-01-29,12:30,2026-01-16,C017,ST03,SV01,Completed,Phone,0,55,60
A00198,2026-01-29,13:30,2026-01-21,C099,ST05,SV04,Completed,Walk-in,0,145,150
A00199,2026-01-30,10:30,2026-01-27,C138,ST03,SV02,No-show,Phone,0,0,40
A00200,2026-01-30,18:00,2026-01-15,C072,ST04,SV06,Completed,Walk-in,0.05,45.6,75
A00201,2026-01-30,10:00,2026-01-18,C003,ST03,SV04,Completed,Phone,0,145,150
A00202,2026-01-30,16:00,2026-01-17,C077,ST03,SV01,Completed,Walk-in,0.1,49.5,60
A00203,2026-01-30,16:30,2026-01-28,C018,ST01,SV06,Completed,Online,0,48,75
A00204,2026-01-30,15:00,2026-01-18,C151,ST03,SV07,Completed,Phone,0.05,66.5,60
A00205,2026-01-31,15:30,2026-01-29,C007,ST05,SV04,Completed,Phone,0.1,130.5,150
A00206,2026-01-31,11:00,2026-01-19,C028,ST05,SV08,Completed,Online,0,25,30
A00207,2026-01-31,12:00,2026-01-10,C118,ST05,SV04,No-show,Walk-in,0,0,150
A00208,2026-01-31,14:00,2026-01-30,C055,ST04,SV06,No-show,Walk-in,0.05,0,75
A00209,2026-01-31,11:00,2026-01-10,C154,ST01,SV04,Completed,Walk-in,0,145,150
A00210,2026-01-31,09:00,2026-01-17,C036,ST03,SV08,Cancelled,Phone,0,0,30
A00211,2026-01-31,10:30,2026-01-22,C135,ST03,SV03,Cancelled,Walk-in,0.05,0,120
A00212,2026-01-31,16:30,2026-01-21,C167,ST03,SV06,Completed,Walk-in,0,48,75
A00213,2026-02-02,13:30,2026-01-17,C145,ST04,SV04,Completed,Walk-in,0,145,150
A00214,2026-02-02,17:30,2026-01-16,C162,ST05,SV08,Completed,Walk-in,0,25,30
A00215,2026-02-02,16:30,2026-01-24,C116,ST01,SV05,Completed,Online,0,30,45
A00216,2026-02-02,12:30,2026-01-31,C095,ST05,SV08,Completed,Phone,0.05,23.75,30
A00217,2026-02-02,12:00,2026-01-25,C119,ST03,SV07,Completed,Walk-in,0,70,60
A00218,2026-02-02,09:00,2026-02-02,C060,ST05,SV04,Cancelled,Walk-in,0,0,150
A00219,2026-02-03,18:30,2026-01-28,C004,ST03,SV04,Completed,Phone,0.1,130.5,150
A00220,2026-02-03,17:00,2026-01-22,C140,ST03,SV04,Completed,Online,0,145,150
A00221,2026-02-03,10:00,2026-01-14,C045,ST03,SV07,Completed,Walk-in,0,70,60
A00222,2026-02-03,17:30,2026-01-13,C048,ST04,SV02,Cancelled,Walk-in,0.1,0,40
A00223,2026-02-03,16:00,2026-01-23,C059,ST02,SV07,Completed,Phone,0,70,60
A00224,2026-02-03,14:30,2026-01-26,C166,ST02,SV01,Completed,Walk-in,0,55,60
A00225,2026-02-03,17:30,2026-01-20,C075,ST04,SV06,Completed,Phone,0.1,43.2,75
A00226,2026-02-03,18:30,2026-01-20,C094,ST04,SV06,Completed,Phone,0,48,75
A00227,2026-02-04,09:00,2026-01-20,C070,ST04,SV01,Completed,Online,0,55,60
A00228,2026-02-04,18:30,2026-01-14,C008,ST01,SV01,Cancelled,Phone,0,0,60
A00229,2026-02-04,13:30,2026-02-03,C170,ST01,SV07,Completed,Walk-in,0,70,60
A00230,2026-02-04,13:00,2026-01-18,C093,ST04,SV01,Completed,Online,0.05,52.25,60
A00231,2026-02-04,16:00,2026-01-27,C123,ST05,SV08,Completed,Phone,0,25,30
A00232,2026-02-04,18:00,2026-02-04,C072,ST05,SV05,Completed,Walk-in,0,30,45
A00233,2026-02-04,12:00,2026-02-03,C092,ST01,SV06,No-show,Walk-in,0,0,75
A00234,2026-02-04,09:30,2026-01-14,C044,ST01,SV04,Completed,Phone,0.1,130.5,150
A00235,2026-02-05,17:30,2026-01-18,C091,ST01,SV03,Completed,Walk-in,0.05,109.25,120
A00236,2026-02-05,10:30,2026-01-29,C026,ST04,SV07,Completed,Phone,0.05,66.5,60
A00237,2026-02-05,10:00,2026-01-31,C056,ST04,SV05,Completed,Online,0,30,45
A00238,2026-02-05,11:30,2026-01-29,C173,ST01,SV02,Completed,Online,0,32,40
A00239,2026-02-05,15:00,2026-01-17,C175,ST01,SV05,Completed,Phone,0,30,45
A00240,2026-02-05,16:30,2026-01-19,C147,ST04,SV06,Completed,Walk-in,0,48,75
A00241,2026-02-05,17:00,2026-01-20,C048,ST01,SV04,Completed,Walk-in,0.1,130.5,150
A00242,2026-02-05,12:00,2026-01-16,C102,ST05,SV01,Completed,Walk-in,0,55,60
A00243,2026-02-05,09:30,2026-02-03,C040,ST05,SV08,Completed,Walk-in,0.1,22.5,30
A00244,2026-02-06,17:30,2026-01-27,C120,ST04,SV02,Cancelled,Online,0,0,40
A00245,2026-02-06,09:30,2026-01-23,C073,ST03,SV04,No-show,Walk-in,0.05,0,150
A00246,2026-02-06,10:30,2026-01-19,C109,ST02,SV03,Completed,Walk-in,0.05,109.25,120
A00247,2026-02-06,12:30,2026-02-04,C127,ST02,SV08,Completed,Phone,0,25,30
A00248,2026-02-06,13:30,2026-01-31,C039,ST02,SV08,Completed,Online,0.05,23.75,30
A00249,2026-02-07,09:30,2026-01-20,C166,ST02,SV02,Completed,Phone,0.1,28.8,40
A00250,2026-02-07,13:30,2026-02-06,C092,ST03,SV06,No-show,Phone,0,0,75
A00251,2026-02-07,09:00,2026-01-29,C177,ST02,SV01,Completed,Walk-in,0,55,60
A00252,2026-02-07,18:00,2026-01-22,C103,ST04,SV05,Completed,Phone,0.05,28.5,45
A00253,2026-02-07,09:00,2026-01-21,C130,ST05,SV08,Cancelled,Phone,0,0,30
A00254,2026-02-07,12:00,2026-01-31,C056,ST02,SV06,Completed,Online,0,48,75
A00255,2026-02-07,12:00,2026-01-22,C014,ST02,SV07,Completed,Walk-in,0,70,60
A00256,2026-02-07,15:30,2026-01-19,C002,ST03,SV05,Completed,Phone,0,30,45
A00257,2026-02-07,10:30,2026-01-23,C055,ST04,SV06,Completed,Phone,0,48,75
A00258,2026-02-07,12:00,2026-01-21,C161,ST04,SV04,Completed,Walk-in,0,145,150
A00259,2026-02-07,13:00,2026-01-30,C144,ST03,SV06,Completed,Walk-in,0,48,75
A00260,2026-02-09,15:30,2026-02-03,C033,ST05,SV05,Completed,Phone,0,30,45
A00261,2026-02-09,12:00,2026-01-27,C174,ST05,SV05,Completed,Walk-in,0,30,45
A00262,2026-02-09,13:30,2026-02-07,C163,ST03,SV04,Completed,Phone,0,145,150
A00263,2026-02-09,13:00,2026-01-28,C130,ST03,SV06,Completed,Phone,0,48,75
A00264,2026-02-09,11:30,2026-01-23,C009,ST05,SV01,Completed,Walk-in,0.05,52.25,60
A00265,2026-02-09,16:30,2026-02-06,C173,ST03,SV06,Completed,Phone,0,48,75
A00266,2026-02-10,18:00,2026-02-03,C092,ST05,SV06,Completed,Online,0,48,75
A00267,2026-02-10,11:00,2026-01-27,C144,ST01,SV04,No-show,Walk-in,0,0,150
A00268,2026-02-10,16:30,2026-01-29,C174,ST03,SV07,Completed,Walk-in,0,70,60
A00269,2026-02-10,14:30,2026-01-31,C030,ST04,SV04,Completed,Online,0,145,150
A00270,2026-02-10,16:30,2026-01-26,C029,ST03,SV06,Completed,Online,0,48,75
A00271,2026-02-10,15:30,2026-01-22,C054,ST05,SV03,Completed,Walk-in,0,115,120
A00272,2026-02-10,10:30,2026-02-06,C110,ST04,SV02,Completed,Walk-in,0.1,28.8,40
A00273,2026-02-10,13:30,2026-02-02,C118,ST01,SV08,Completed,Walk-in,0.05,23.75,30
A00274,2026-02-10,12:00,2026-01-24,C091,ST05,SV02,Completed,Walk-in,0,32,40
A00275,2026-02-10,15:00,2026-01-29,C023,ST04,SV01,Completed,Online,0.05,52.25,60
A00276,2026-02-10,17:00,2026-01-22,C022,ST03,SV08,Completed,Walk-in,0,25,30
A00277,2026-02-11,11:30,2026-02-01,C045,ST01,SV01,Completed,Phone,0,55,60
A00278,2026-02-11,10:30,2026-01-25,C048,ST01,SV06,Completed,Online,0,48,75
A00279,2026-02-11,13:00,2026-02-05,C125,ST04,SV07,Completed,Walk-in,0.05,66.5,60
A00280,2026-02-11,18:30,2026-01-25,C179,ST05,SV04,Cancelled,Online,0.05,0,150
A00281,2026-02-11,14:30,2026-02-10,C108,ST04,SV08,Completed,Online,0.1,22.5,30
