CustomerKey,CustomerName,Region,Segment,City
431,Customer 0431,East,SMB,City 48
432,Customer 0432,West,Consumer,City 01
433,Customer 0433,North,Consumer,City 02
434,Customer 0434,South,Consumer,City 03
435,Customer 0435,East,Consumer,City 04
436,Customer 0436,West,Consumer,City 05
437,Customer 0437,North,SMB,City 06
438,Customer 0438,South,Consumer,City 07
439,Customer 0439,East,Consumer,City 08
440,Customer 0440,West,Corporate,City 09
441,Customer 0441,North,Consumer,City 10
442,Customer 0442,South,Corporate,City 11
443,Customer 0443,East,SMB,City 12
444,Customer 0444,West,SMB,City 13
445,Customer 0445,North,Consumer,City 14
446,Customer 0446,South,Consumer,City 15
447,Customer 0447,East,Consumer,City 16
448,Customer 0448,West,Consumer,City 17
449,Customer 0449,North,SMB,City 18
450,Customer 0450,South,Corporate,City 19
451,Customer 0451,East,Corporate,City 20
452,Customer 0452,West,Consumer,City 21
453,Customer 0453,North,Corporate,City 22
454,Customer 0454,South,Consumer,City 23
455,Customer 0455,East,SMB,City 24
456,Customer 0456,West,Consumer,City 25
457,Customer 0457,North,Consumer,City 26
458,Customer 0458,South,Consumer,City 27
459,Customer 0459,East,Consumer,City 28
460,Customer 0460,West,SMB,City 29
461,Customer 0461,North,Consumer,City 30
462,Customer 0462,South,SMB,City 31
463,Customer 0463,East,Consumer,City 32
464,Customer 0464,West,Consumer,City 33
465,Customer 0465,North,Consumer,City 34
466,Customer 0466,South,Consumer,City 35
467,Customer 0467,East,Consumer,City 36
468,Customer 0468,West,Corporate,City 37
469,Customer 0469,North,SMB,City 38
470,Customer 0470,South,SMB,City 39
471,Customer 0471,East,Consumer,City 40
472,Customer 0472,West,SMB,City 41
473,Customer 0473,North,Corporate,City 42
474,Customer 0474,South,Consumer,City 43
475,Customer 0475,East,Consumer,City 44
476,Customer 0476,West,Consumer,City 45
477,Customer 0477,North,Consumer,City 46
478,Customer 0478,South,SMB,City 47
479,Customer 0479,East,SMB,City 48
480,Customer 0480,West,Consumer,City 01
481,Customer 0481,North,SMB,City 02
482,Customer 0482,South,Consumer,City 03
483,Customer 0483,East,Consumer,City 04
484,Customer 0484,West,Consumer,City 05
485,Customer 0485,North,Consumer,City 06
486,Customer 0486,South,Consumer,City 07
487,Customer 0487,East,Corporate,City 08
488,Customer 0488,West,Consumer,City 09
489,Customer 0489,North,SMB,City 10
490,Customer 0490,South,Consumer,City 11
491,Customer 0491,East,Consumer,City 12
492,Customer 0492,West,Consumer,City 13
493,Customer 0493,North,Corporate,City 14
494,Customer 0494,South,Consumer,City 15
495,Customer 0495,East,SMB,City 16
496,Customer 0496,West,Corporate,City 17
497,Customer 0497,North,Consumer,City 18
498,Customer 0498,South,Consumer,City 19
499,Customer 0499,East,SMB,City 20
500,Customer 0500,West,Corporate,City 21
501,Customer 0501,North,SMB,City 22
502,Customer 0502,South,Consumer,City 23
503,Customer 0503,East,Corporate,City 24
504,Customer 0504,West,Corporate,City 25
505,Customer 0505,North,Corporate,City 26
506,Customer 0506,South,Consumer,City 27
507,Customer 0507,East,Consumer,City 28
508,Customer 0508,West,Corporate,City 29
509,Customer 0509,North,Consumer,City 30
510,Customer 0510,South,Corporate,City 31
511,Customer 0511,East,Corporate,City 32
512,Customer 0512,West,SMB,City 33
513,Customer 0513,North,Consumer,City 34
514,Customer 0514,South,Corporate,City 35
515,Customer 0515,East,Consumer,City 36
516,Customer 0516,West,Corporate,City 37
517,Customer 0517,North,Consumer,City 38
518,Customer 0518,South,Consumer,City 39
519,Customer 0519,East,SMB,City 40
520,Customer 0520,West,SMB,City 41
521,Customer 0521,North,Consumer,City 42
522,Customer 0522,South,Consumer,City 43
523,Customer 0523,East,SMB,City 44
524,Customer 0524,West,Consumer,City 45
525,Customer 0525,North,Consumer,City 46
526,Customer 0526,South,SMB,City 47
527,Customer 0527,East,Consumer,City 48
528,Customer 0528,West,Consumer,City 01
529,Customer 0529,North,Consumer,City 02
530,Customer 0530,South,Consumer,City 03
531,Customer 0531,East,Consumer,City 04
532,Customer 0532,West,SMB,City 05
533,Customer 0533,North,SMB,City 06
534,Customer 0534,South,Consumer,City 07
535,Customer 0535,East,SMB,City 08
536,Customer 0536,West,SMB,City 09
537,Customer 0537,North,Consumer,City 10
538,Customer 0538,South,Consumer,City 11
539,Customer 0539,East,Corporate,City 12
540,Customer 0540,West,Consumer,City 13
541,Customer 0541,North,SMB,City 14
542,Customer 0542,South,Consumer,City 15
543,Customer 0543,East,Corporate,City 16
544,Customer 0544,West,SMB,City 17
545,Customer 0545,North,Consumer,City 18
546,Customer 0546,South,Consumer,City 19
547,Customer 0547,East,Corporate,City 20
548,Customer 0548,West,Consumer,City 21
549,Customer 0549,North,SMB,City 22
550,Customer 0550,South,Consumer,City 23
551,Customer 0551,East,Consumer,City 24
552,Customer 0552,West,SMB,City 25
553,Customer 0553,North,SMB,City 26
554,Customer 0554,South,SMB,City 27
555,Customer 0555,East,Consumer,City 28
556,Customer 0556,West,Consumer,City 29
557,Customer 0557,North,Corporate,City 30
558,Customer 0558,South,Consumer,City 31
559,Customer 0559,East,Corporate,City 32
560,Customer 0560,West,Consumer,City 33
561,Customer 0561,North,Corporate,City 34
562,Customer 0562,South,Consumer,City 35
563,Customer 0563,East,SMB,City 36
564,Customer 0564,West,Consumer,City 37
565,Customer 0565,North,Consumer,City 38
566,Customer 0566,South,Corporate,City 39
567,Customer 0567,East,Consumer,City 40
568,Customer 0568,West,Corporate,City 41
569,Customer 0569,North,SMB,City 42
570,Customer 0570,South,Consumer,City 43
571,Customer 0571,East,SMB,City 44
572,Customer 0572,West,Consumer,City 45
573,Customer 0573,North,Consumer,City 46
574,Customer 0574,South,Consumer,City 47
575,Customer 0575,East,Corporate,City 48
576,Customer 0576,West,Corporate,City 01
577,Customer 0577,North,Consumer,City 02
578,Customer 0578,South,SMB,City 03
579,Customer 0579,East,Corporate,City 04
580,Customer 0580,West,SMB,City 05
581,Customer 0581,North,Consumer,City 06
582,Customer 0582,South,Consumer,City 07
583,Customer 0583,East,Consumer,City 08
584,Customer 0584,West,Consumer,City 09
585,Customer 0585,North,SMB,City 10
586,Customer 0586,South,Consumer,City 11
587,Customer 0587,East,SMB,City 12
588,Customer 0588,West,SMB,City 13
589,Customer 0589,North,SMB,City 14
590,Customer 0590,South,Consumer,City 15
591,Customer 0591,East,Consumer,City 16
592,Customer 0592,West,Consumer,City 17
593,Customer 0593,North,Consumer,City 18
594,Customer 0594,South,SMB,City 19
595,Customer 0595,East,Consumer,City 20
596,Customer 0596,West,SMB,City 21
597,Customer 0597,North,Consumer,City 22
598,Customer 0598,South,Consumer,City 23
599,Customer 0599,East,Consumer,City 24
600,Customer 0600,West,SMB,City 25
601,Customer 0601,North,SMB,City 26
602,Customer 0602,South,Corporate,City 27
603,Customer 0603,East,Consumer,City 28
604,Customer 0604,West,Consumer,City 29
605,Customer 0605,North,Consumer,City 30
606,Customer 0606,South,SMB,City 31
607,Customer 0607,East,SMB,City 32
608,Customer 0608,West,Consumer,City 33
609,Customer 0609,North,Consumer,City 34
610,Customer 0610,South,SMB,City 35
611,Customer 0611,East,SMB,City 36
612,Customer 0612,West,SMB,City 37
613,Customer 0613,North,SMB,City 38
614,Customer 0614,South,Consumer,City 39
615,Customer 0615,East,Consumer,City 40
616,Customer 0616,West,Consumer,City 41
617,Customer 0617,North,Consumer,City 42
618,Customer 0618,South,Consumer,City 43
619,Customer 0619,East,Consumer,City 44
620,Customer 0620,West,Corporate,City 45
621,Customer 0621,North,Consumer,City 46
622,Customer 0622,South,Consumer,City 47
623,Customer 0623,East,Consumer,City 48
624,Customer 0624,West,SMB,City 01
625,Customer 0625,North,Consumer,City 02
626,Customer 0626,South,SMB,City 03
627,Customer 0627,East,Consumer,City 04
628,Customer 0628,West,Consumer,City 05
629,Customer 0629,North,Consumer,City 06
630,Customer 0630,South,Corporate,City 07
631,Customer 0631,East,Consumer,City 08
632,Customer 0632,West,Consumer,City 09
633,Customer 0633,North,Consumer,City 10
634,Customer 0634,South,Consumer,City 11
635,Customer 0635,East,Corporate,City 12
636,Customer 0636,West,SMB,City 13
637,Customer 0637,North,SMB,City 14
638,Customer 0638,South,SMB,City 15
639,Customer 0639,East,Consumer,City 16
640,Customer 0640,West,Corporate,City 17
641,Customer 0641,North,Corporate,City 18
642,Customer 0642,South,Consumer,City 19
643,Customer 0643,East,Consumer,City 20
644,Customer 0644,West,SMB,City 21
645,Customer 0645,North,Corporate,City 22
646,Customer 0646,South,SMB,City 23
647,Customer 0647,East,Corporate,City 24
648,Customer 0648,West,SMB,City 25
649,Customer 0649,North,SMB,City 26
650,Customer 0650,South,Consumer,City 27
651,Customer 0651,East,SMB,City 28
652,Customer 0652,West,Consumer,City 29
653,Customer 0653,North,Consumer,City 30
654,Customer 0654,South,Consumer,City 31
655,Customer 0655,East,SMB,City 32
656,Customer 0656,West,SMB,City 33
657,Customer 0657,North,Corporate,City 34
658,Customer 0658,South,Consumer,City 35
659,Customer 0659,East,SMB,City 36
660,Customer 0660,West,Consumer,City 37
661,Customer 0661,North,Corporate,City 38
662,Customer 0662,South,Consumer,City 39
663,Customer 0663,East,Consumer,City 40
664,Customer 0664,West,Consumer,City 41
665,Customer 0665,North,Consumer,City 42
666,Customer 0666,South,Corporate,City 43
667,Customer 0667,East,Consumer,City 44
668,Customer 0668,West,Consumer,City 45
669,Customer 0669,North,Corporate,City 46
670,Customer 0670,South,SMB,City 47
671,Customer 0671,East,Consumer,City 48
672,Customer 0672,West,Consumer,City 01
673,Customer 0673,North,SMB,City 02
674,Customer 0674,South,Consumer,City 03
675,Customer 0675,East,Corporate,City 04
676,Customer 0676,West,SMB,City 05
677,Customer 0677,North,Consumer,City 06
678,Customer 0678,South,Consumer,City 07
679,Customer 0679,East,Consumer,City 08
680,Customer 0680,West,Consumer,City 09
681,Customer 0681,North,Corporate,City 10
682,Customer 0682,South,Consumer,City 11
683,Customer 0683,East,Consumer,City 12
684,Customer 0684,West,Consumer,City 13
685,Customer 0685,North,Consumer,City 14
686,Customer 0686,South,Consumer,City 15
687,Customer 0687,East,SMB,City 16
688,Customer 0688,West,SMB,City 17
689,Customer 0689,North,Corporate,City 18
690,Customer 0690,South,Consumer,City 19
691,Customer 0691,East,SMB,City 20
692,Customer 0692,West,Consumer,City 21
693,Customer 0693,North,SMB,City 22
694,Customer 0694,South,SMB,City 23
695,Customer 0695,East,Consumer,City 24
696,Customer 0696,West,SMB,City 25
697,Customer 0697,North,SMB,City 26
698,Customer 0698,South,Corporate,City 27
699,Customer 0699,East,Consumer,City 28
700,Customer 0700,West,Corporate,City 29
701,Customer 0701,North,Corporate,City 30
702,Customer 0702,South,SMB,City 31
703,Customer 0703,East,Consumer,City 32
704,Customer 0704,West,SMB,City 33
705,Customer 0705,North,Consumer,City 34
706,Customer 0706,South,Corporate,City 35
707,Customer 0707,East,Consumer,City 36
