ProductKey,ProductName,Category,Subcategory,Brand,UnitCost
59,Product 059,Electronics,Electronics Group 4,Brand 15,85.85
60,Product 060,Office,Office Group 1,Brand 01,19.48
61,Product 061,Beverages,Beverages Group 2,Brand 02,35.55
62,Product 062,Snacks,Snacks Group 3,Brand 03,157.87
63,Product 063,Household,Household Group 4,Brand 04,30.74
64,Product 064,Personal Care,Personal Care Group 1,Brand 05,139.12
65,Product 065,Electronics,Electronics Group 2,Brand 06,68.94
66,Product 066,Office,Office Group 3,Brand 07,20.55
67,Product 067,Beverages,Beverages Group 4,Brand 08,142.94
68,Product 068,Snacks,Snacks Group 1,Brand 09,103.9
69,Product 069,Household,Household Group 2,Brand 10,151.7
70,Product 070,Personal Care,Personal Care Group 3,Brand 11,174.05
71,Product 071,Electronics,Electronics Group 4,Brand 12,154.26
72,Product 072,Office,Office Group 1,Brand 13,134.33
73,Product 073,Beverages,Beverages Group 2,Brand 14,11.38
74,Product 074,Snacks,Snacks Group 3,Brand 15,128.15
75,Product 075,Household,Household Group 4,Brand 01,159.03
76,Product 076,Personal Care,Personal Care Group 1,Brand 02,106.44
77,Product 077,Electronics,Electronics Group 2,Brand 03,87.62
78,Product 078,Office,Office Group 3,Brand 04,65.31
79,Product 079,Beverages,Beverages Group 4,Brand 05,166.56
80,Product 080,Snacks,Snacks Group 1,Brand 06,118.39
81,Product 081,Household,Household Group 2,Brand 07,11.69
82,Product 082,Personal Care,Personal Care Group 3,Brand 08,42.92
83,Product 083,Electronics,Electronics Group 4,Brand 09,52.36
84,Product 084,Office,Office Group 1,Brand 10,154.18
85,Product 085,Beverages,Beverages Group 2,Brand 11,157.46
86,Product 086,Snacks,Snacks Group 3,Brand 12,26.33
87,Product 087,Household,Household Group 4,Brand 13,65.21
88,Product 088,Personal Care,Personal Care Group 1,Brand 14,11.97
89,Product 089,Electronics,Electronics Group 2,Brand 15,69.24
90,Product 090,Office,Office Group 3,Brand 01,21.33
91,Product 091,Beverages,Beverages Group 4,Brand 02,41.28
92,Product 092,Snacks,Snacks Group 1,Brand 03,135.23
93,Product 093,Household,Household Group 2,Brand 04,176.84
94,Product 094,Personal Care,Personal Care Group 3,Brand 05,61.93
95,Product 095,Electronics,Electronics Group 4,Brand 06,53.49
96,Product 096,Office,Office Group 1,Brand 07,15.98
97,Product 097,Beverages,Beverages Group 2,Brand 08,47.25
98,Product 098,Snacks,Snacks Group 3,Brand 09,143.41
99,Product 099,Household,Household Group 4,Brand 10,178.82
100,Product 100,Personal Care,Personal Care Group 1,Brand 11,153.71
101,Product 101,Electronics,Electronics Group 2,Brand 12,119.36
102,Product 102,Office,Office Group 3,Brand 13,150.84
103,Product 103,Beverages,Beverages Group 4,Brand 14,173.55
104,Product 104,Snacks,Snacks Group 1,Brand 15,122.48
105,Product 105,Household,Household Group 2,Brand 01,155.17
106,Product 106,Personal Care,Personal Care Group 3,Brand 02,77.74
107,Product 107,Electronics,Electronics Group 4,Brand 03,27.29
108,Product 108,Office,Office Group 1,Brand 04,72.31
109,Product 109,Beverages,Beverages Group 2,Brand 05,17.94
110,Product 110,Snacks,Snacks Group 3,Brand 06,105.9
111,Product 111,Household,Household Group 4,Brand 07,41.7
112,Product 112,Personal Care,Personal Care Group 1,Brand 08,33.58
113,Product 113,Electronics,Electronics Group 2,Brand 09,28.67
114,Product 114,Office,Office Group 3,Brand 10,101.62
115,Product 115,Beverages,Beverages Group 4,Brand 11,148.24
116,Product 116,Snacks,Snacks Group 1,Brand 12,14.85
117,Product 117,Household,Household Group 2,Brand 13,101.87
118,Product 118,Personal Care,Personal Care Group 3,Brand 14,171.58
119,Product 119,Electronics,Electronics Group 4,Brand 15,4.88
120,Product 120,Office,Office Group 1,Brand 01,8.98
