SaleID,OrderDate,ProductID,Category,Channel,Region,Quantity,Revenue,Cost,Profit
S00034,2025-01-13,P03,Displays,Marketplace,Marmara,6,450,277.35,172.65
S00035,2025-01-13,P04,Office,Retail,Marmara,2,498,334.41,163.59
S00036,2025-01-13,P03,Displays,Marketplace,Marmara,6,264.6,144.97,119.63
S00037,2025-01-14,P01,Accessories,Online,Marmara,6,1074,625.51,448.49
S00038,2025-01-14,P02,Audio,Marketplace,Central Anatolia,3,225,141.06,83.94
S00039,2025-01-14,P01,Accessories,Retail,Central Anatolia,5,1182.75,683.3,499.45
S00040,2025-01-15,P04,Office,Online,Marmara,3,213.75,135.66,78.09
S00041,2025-01-16,P04,Office,Online,Central Anatolia,1,35,16.92,18.08
S00042,2025-01-16,P03,Displays,Marketplace,Marmara,4,285.0,169.26,115.74
S00043,2025-01-17,P04,Office,Online,Aegean,2,135.0,75.64,59.36
S00044,2025-01-18,P05,Storage,Retail,Aegean,6,1344.6,806.79,537.81
S00045,2025-01-18,P02,Audio,Retail,Aegean,6,1074,704.14,369.86
S00046,2025-01-18,P02,Audio,Online,Central Anatolia,4,428.4,224.47,203.93
S00047,2025-01-19,P03,Displays,Marketplace,Central Anatolia,3,139.65,69.54,70.11
S00048,2025-01-20,P02,Audio,Retail,Aegean,1,33.25,19.67,13.58
S00049,2025-01-20,P03,Displays,Retail,Marmara,1,33.25,17.06,16.19
S00050,2025-01-21,P02,Audio,Retail,Central Anatolia,6,279.3,188.72,90.58
S00051,2025-01-21,P01,Accessories,Marketplace,Marmara,6,210,123.49,86.51
S00052,2025-01-21,P01,Accessories,Marketplace,Marmara,2,63.0,33.16,29.84
S00053,2025-01-22,P02,Audio,Marketplace,Central Anatolia,6,199.5,125.02,74.48
S00054,2025-01-22,P04,Office,Online,Aegean,3,321.3,182.9,138.4
S00055,2025-01-22,P05,Storage,Online,Central Anatolia,6,1020.3,580.33,439.97
S00056,2025-01-22,P03,Displays,Retail,Marmara,5,850.25,548.02,302.23
S00057,2025-01-23,P02,Audio,Retail,Aegean,2,473.1,298.61,174.49
S00058,2025-01-24,P05,Storage,Retail,Aegean,4,196,119.43,76.57
S00059,2025-01-24,P03,Displays,Marketplace,Central Anatolia,5,895,514.13,380.87
S00060,2025-01-24,P02,Audio,Online,Marmara,4,428.4,221.53,206.87
S00061,2025-01-24,P05,Storage,Marketplace,Aegean,4,126.0,67.35,58.65
S00062,2025-01-24,P02,Audio,Online,Aegean,4,716,405.91,310.09
S00063,2025-01-25,P02,Audio,Retail,Marmara,5,1245,785.57,459.43
S00064,2025-01-25,P02,Audio,Online,Aegean,1,75,42.04,32.96
S00065,2025-01-25,P05,Storage,Retail,Central Anatolia,5,895,552.13,342.87
S00066,2025-01-25,P04,Office,Retail,Central Anatolia,5,157.5,93.52,63.98
S00067,2025-01-25,P02,Audio,Online,Marmara,3,709.65,412.34,297.31
S00068,2025-01-26,P04,Office,Marketplace,Aegean,5,805.5,536.62,268.88
S00069,2025-01-26,P01,Accessories,Online,Aegean,2,322.2,209.14,113.06
S00070,2025-01-26,P05,Storage,Online,Central Anatolia,3,105,55.73,49.27
S00071,2025-01-26,P05,Storage,Online,Aegean,5,1120.5,737.24,383.26
S00072,2025-01-27,P04,Office,Online,Central Anatolia,6,1344.6,690.03,654.57
S00073,2025-01-27,P01,Accessories,Online,Central Anatolia,4,476,242.34,233.66
S00074,2025-01-27,P02,Audio,Retail,Aegean,4,285.0,192.29,92.71
S00075,2025-01-28,P05,Storage,Marketplace,Central Anatolia,5,175,115.39,59.61
S00076,2025-01-28,P01,Accessories,Marketplace,Aegean,3,132.3,86.14,46.16
S00077,2025-01-29,P05,Storage,Marketplace,Marmara,4,428.4,245.67,182.73
S00078,2025-01-29,P02,Audio,Online,Marmara,1,170.05,97.19,72.86
S00079,2025-01-30,P03,Displays,Retail,Aegean,3,147,93.48,53.52
S00080,2025-01-30,P05,Storage,Online,Aegean,5,175,115.23,59.77
S00081,2025-01-30,P01,Accessories,Online,Aegean,5,595,333.86,261.14
S00082,2025-01-31,P01,Accessories,Retail,Central Anatolia,5,565.25,320.78,244.47
S00083,2025-01-31,P03,Displays,Retail,Aegean,5,1120.5,707.14,413.36
S00084,2025-01-31,P03,Displays,Marketplace,Marmara,3,99.75,58.59,41.16
S00085,2025-01-31,P01,Accessories,Online,Marmara,1,35,19.42,15.58
S00086,2025-01-31,P04,Office,Retail,Central Anatolia,3,747,442.66,304.34
S00087,2025-02-01,P01,Accessories,Online,Marmara,1,33.25,19.82,13.43
S00088,2025-02-01,P03,Displays,Online,Marmara,1,49,29.05,19.95
S00089,2025-02-02,P04,Office,Online,Central Anatolia,5,805.5,426.19,379.31
S00090,2025-02-02,P03,Displays,Online,Aegean,6,450,229.64,220.36
S00091,2025-02-02,P05,Storage,Online,Marmara,3,147,79.36,67.64
S00092,2025-02-02,P02,Audio,Online,Aegean,4,996,620.07,375.93
S00093,2025-02-02,P04,Office,Retail,Central Anatolia,6,279.3,167.9,111.4
S00094,2025-02-03,P02,Audio,Marketplace,Aegean,6,427.5,272.91,154.59
S00095,2025-02-03,P05,Storage,Marketplace,Central Anatolia,6,714,468.49,245.51
S00096,2025-02-03,P04,Office,Marketplace,Central Anatolia,4,476,265.62,210.38
S00097,2025-02-04,P03,Displays,Retail,Marmara,2,150,92.22,57.78
S00098,2025-02-04,P03,Displays,Marketplace,Central Anatolia,6,450,223.84,226.16
S00099,2025-02-04,P02,Audio,Marketplace,Aegean,2,66.5,32.08,34.42
S00100,2025-02-04,P04,Office,Online,Marmara,2,150,91.76,58.24
S00101,2025-02-04,P04,Office,Retail,Aegean,5,565.25,304.53,260.72
S00102,2025-02-05,P01,Accessories,Marketplace,Central Anatolia,1,161.1,77.91,83.19
S00103,2025-02-05,P02,Audio,Online,Marmara,6,199.5,127.35,72.15
S00104,2025-02-05,P02,Audio,Retail,Aegean,1,170.05,107.18,62.87
S00105,2025-02-05,P04,Office,Marketplace,Aegean,6,294,149.95,144.05
S00106,2025-02-06,P02,Audio,Marketplace,Aegean,3,139.65,67.07,72.58
S00107,2025-02-06,P05,Storage,Retail,Aegean,1,236.55,158.11,78.44
S00108,2025-02-06,P03,Displays,Online,Marmara,3,139.65,88.03,51.62
S00109,2025-02-06,P03,Displays,Online,Aegean,2,66.5,35.22,31.28
S00110,2025-02-06,P01,Accessories,Retail,Marmara,4,196,108.19,87.81
S00111,2025-02-07,P04,Office,Online,Central Anatolia,4,996,670.48,325.52
S00112,2025-02-07,P01,Accessories,Retail,Aegean,5,1245,828.12,416.88
S00113,2025-02-07,P01,Accessories,Retail,Marmara,6,966.6,595.35,371.25
S00114,2025-02-07,P03,Displays,Online,Aegean,3,147,93.51,53.49
S00115,2025-02-07,P04,Office,Retail,Marmara,1,35,22.8,12.2
S00116,2025-02-08,P05,Storage,Retail,Central Anatolia,4,126.0,84.98,41.02
S00117,2025-02-09,P02,Audio,Retail,Central Anatolia,5,166.25,111.04,55.21
S00118,2025-02-09,P02,Audio,Online,Aegean,2,226.1,141.12,84.98
S00119,2025-02-10,P04,Office,Marketplace,Marmara,4,196,111.8,84.2
S00120,2025-02-10,P02,Audio,Marketplace,Aegean,1,75,45.78,29.22
S00121,2025-02-10,P04,Office,Marketplace,Central Anatolia,6,1494,786.61,707.39
S00122,2025-02-11,P01,Accessories,Marketplace,Marmara,6,1419.3,722.43,696.87
S00123,2025-02-11,P05,Storage,Retail,Central Anatolia,6,642.6,397.41,245.19
S00124,2025-02-11,P04,Office,Online,Aegean,6,427.5,258.67,168.83
S00125,2025-02-11,P04,Office,Online,Central Anatolia,2,358,219.24,138.76
S00126,2025-02-11,P01,Accessories,Marketplace,Aegean,6,279.3,158.49,120.81
S00127,2025-02-12,P02,Audio,Marketplace,Central Anatolia,5,245,123.86,121.14
S00128,2025-02-12,P02,Audio,Marketplace,Marmara,1,249,148.32,100.68
S00129,2025-02-13,P01,Accessories,Marketplace,Central Anatolia,3,105,68.34,36.66
S00130,2025-02-13,P05,Storage,Marketplace,Marmara,5,245,145.77,99.23
S00131,2025-02-13,P04,Office,Retail,Marmara,3,483.3,251.82,231.48
S00132,2025-02-13,P01,Accessories,Retail,Aegean,4,140,68.97,71.03
S00133,2025-02-13,P05,Storage,Marketplace,Central Anatolia,2,358,185.83,172.17
S00134,2025-02-14,P04,Office,Marketplace,Central Anatolia,4,680.2,417.09,263.11
S00135,2025-02-14,P01,Accessories,Marketplace,Central Anatolia,6,427.5,227.62,199.88
S00136,2025-02-14,P02,Audio,Marketplace,Marmara,5,1245,611.4,633.6
S00137,2025-02-14,P03,Displays,Online,Central Anatolia,2,70,38.41,31.59
S00138,2025-02-15,P03,Displays,Online,Aegean,5,220.5,112.74,107.76
S00139,2025-02-15,P02,Audio,Online,Central Anatolia,1,107.1,52.42,54.68
S00140,2025-02-15,P04,Office,Retail,Marmara,1,49,32.79,16.21
S00141,2025-02-16,P05,Storage,Online,Marmara,3,672.3,377.48,294.82
S00142,2025-02-16,P03,Displays,Marketplace,Marmara,5,175,92.11,82.89
S00143,2025-02-16,P01,Accessories,Retail,Marmara,5,595,341.59,253.41
S00144,2025-02-17,P01,Accessories,Online,Central Anatolia,2,358,183.64,174.36
S00145,2025-02-17,P02,Audio,Retail,Aegean,3,225,127.42,97.58
S00146,2025-02-17,P02,Audio,Online,Marmara,4,716,429.45,286.55
S00147,2025-02-17,P02,Audio,Retail,Marmara,3,105,62.31,42.69
S00148,2025-02-18,P02,Audio,Online,Aegean,3,747,435.63,311.37
S00149,2025-02-18,P01,Accessories,Marketplace,Central Anatolia,4,270.0,131.85,138.15
S00150,2025-02-18,P03,Displays,Online,Marmara,1,113.05,55.82,57.23
S00151,2025-02-19,P04,Office,Retail,Central Anatolia,2,238,154.15,83.85
S00152,2025-02-19,P03,Displays,Online,Central Anatolia,6,678.3,456.72,221.58
S00153,2025-02-19,P05,Storage,Retail,Central Anatolia,2,358,194.48,163.52
S00154,2025-02-20,P02,Audio,Marketplace,Central Anatolia,3,132.3,68.24,64.06
S00155,2025-02-20,P04,Office,Online,Central Anatolia,5,1182.75,725.28,457.47
S00156,2025-02-20,P05,Storage,Marketplace,Aegean,6,405.0,201.28,203.72
S00157,2025-02-20,P04,Office,Marketplace,Central Anatolia,1,71.25,45.24,26.01
S00158,2025-02-21,P01,Accessories,Marketplace,Marmara,5,220.5,136.51,83.99
S00159,2025-02-21,P02,Audio,Online,Marmara,5,1245,777.51,467.49
S00160,2025-02-22,P02,Audio,Online,Central Anatolia,4,196,119.12,76.88
S00161,2025-02-22,P01,Accessories,Marketplace,Marmara,1,179,106.23,72.77
S00162,2025-02-22,P03,Displays,Marketplace,Marmara,5,166.25,110.45,55.8
S00163,2025-02-22,P04,Office,Marketplace,Central Anatolia,3,339.15,202.46,136.69
S00164,2025-02-23,P03,Displays,Marketplace,Central Anatolia,3,225,116.44,108.56
S00165,2025-02-23,P04,Office,Retail,Marmara,2,322.2,190.96,131.24
S00166,2025-02-23,P01,Accessories,Marketplace,Central Anatolia,6,1494,903.84,590.16
S00167,2025-02-23,P01,Accessories,Marketplace,Marmara,4,428.4,256.98,171.42
S00168,2025-02-24,P02,Audio,Marketplace,Central Anatolia,3,483.3,301.15,182.15
S00169,2025-02-24,P04,Office,Marketplace,Marmara,6,678.3,415.44,262.86
S00170,2025-02-24,P05,Storage,Retail,Central Anatolia,6,966.6,594.1,372.5
S00171,2025-02-24,P04,Office,Marketplace,Central Anatolia,5,220.5,131.29,89.21
S00172,2025-02-25,P01,Accessories,Marketplace,Central Anatolia,3,357,205.05,151.95
S00173,2025-02-25,P04,Office,Retail,Aegean,2,150,88.34,61.66
S00174,2025-02-26,P03,Displays,Retail,Central Anatolia,3,672.3,380.49,291.81
S00175,2025-02-26,P01,Accessories,Retail,Marmara,3,510.15,255.79,254.36
S00176,2025-02-26,P03,Displays,Retail,Aegean,6,189.0,128.24,60.76
S00177,2025-02-26,P01,Accessories,Retail,Central Anatolia,3,483.3,259.89,223.41
S00178,2025-02-26,P05,Storage,Retail,Central Anatolia,5,895,513.88,381.12
S00179,2025-02-27,P01,Accessories,Marketplace,Aegean,6,405.0,205.96,199.04
S00180,2025-02-28,P05,Storage,Marketplace,Central Anatolia,5,895,449.21,445.79
S00181,2025-03-01,P03,Displays,Marketplace,Marmara,4,300,153.24,146.76
S00182,2025-03-01,P04,Office,Marketplace,Marmara,4,996,498.5,497.5
S00183,2025-03-02,P01,Accessories,Online,Central Anatolia,2,98,61.19,36.81
S00184,2025-03-02,P04,Office,Retail,Aegean,5,220.5,129.38,91.12
S00185,2025-03-02,P04,Office,Marketplace,Marmara,2,88.2,47.58,40.62
S00186,2025-03-03,P03,Displays,Marketplace,Central Anatolia,3,132.3,78.57,53.73
S00187,2025-03-03,P04,Office,Marketplace,Aegean,2,66.5,32.18,34.32
S00188,2025-03-03,P05,Storage,Marketplace,Aegean,1,31.5,15.36,16.14
S00189,2025-03-03,P03,Displays,Marketplace,Marmara,2,498,297.43,200.57
S00190,2025-03-03,P02,Audio,Retail,Central Anatolia,6,450,276.24,173.76
S00191,2025-03-04,P05,Storage,Retail,Marmara,3,105,56.76,48.24
S00192,2025-03-04,P03,Displays,Marketplace,Central Anatolia,5,337.5,170.11,167.39
S00193,2025-03-05,P01,Accessories,Marketplace,Marmara,5,895,602.96,292.04
S00194,2025-03-05,P02,Audio,Online,Central Anatolia,5,895,471.14,423.86
S00195,2025-03-06,P04,Office,Marketplace,Central Anatolia,2,70,43.2,26.8
S00196,2025-03-06,P03,Displays,Online,Aegean,1,67.5,36.55,30.95
S00197,2025-03-06,P04,Office,Marketplace,Aegean,6,279.3,188.41,90.89
S00198,2025-03-06,P04,Office,Retail,Central Anatolia,2,98,56.06,41.94
S00199,2025-03-06,P05,Storage,Marketplace,Central Anatolia,1,44.1,22.38,21.72
S00200,2025-03-07,P02,Audio,Online,Aegean,1,67.5,39.92,27.58
S00201,2025-03-07,P05,Storage,Retail,Aegean,6,405.0,224.53,180.47
S00202,2025-03-07,P03,Displays,Marketplace,Central Anatolia,3,357,176.16,180.84
S00203,2025-03-07,P02,Audio,Retail,Central Anatolia,2,66.5,40.13,26.37
S00204,2025-03-07,P04,Office,Online,Central Anatolia,3,357,208.55,148.45
S00205,2025-03-08,P04,Office,Marketplace,Central Anatolia,6,450,219.77,230.23
S00206,2025-03-08,P02,Audio,Retail,Central Anatolia,3,147,98.79,48.21
S00207,2025-03-08,P03,Displays,Online,Aegean,3,747,441.75,305.25
S00208,2025-03-08,P02,Audio,Retail,Central Anatolia,3,709.65,462.75,246.9
S00209,2025-03-09,P05,Storage,Retail,Aegean,4,133.0,89.57,43.43
S00210,2025-03-09,P01,Accessories,Marketplace,Marmara,6,450,235.59,214.41
S00211,2025-03-10,P05,Storage,Online,Aegean,3,357,187.95,169.05
S00212,2025-03-10,P04,Office,Marketplace,Aegean,2,358,230.51,127.49
S00213,2025-03-10,P04,Office,Marketplace,Aegean,1,49,30.27,18.73
S00214,2025-03-11,P05,Storage,Retail,Central Anatolia,3,672.3,334.73,337.57
S00215,2025-03-11,P02,Audio,Online,Central Anatolia,6,405.0,274.0,131.0
S00216,2025-03-11,P02,Audio,Retail,Marmara,3,537,328.64,208.36
S00217,2025-03-11,P01,Accessories,Marketplace,Central Anatolia,5,166.25,104.82,61.43
S00218,2025-03-12,P02,Audio,Retail,Aegean,6,450,227.51,222.49
S00219,2025-03-12,P05,Storage,Marketplace,Marmara,5,805.5,488.73,316.77
S00220,2025-03-12,P05,Storage,Retail,Aegean,1,179,103.73,75.27
S00221,2025-03-13,P03,Displays,Retail,Aegean,4,140,77.75,62.25
S00222,2025-03-13,P02,Audio,Online,Marmara,2,142.5,83.77,58.73
S00223,2025-03-13,P03,Displays,Retail,Central Anatolia,4,996,528.24,467.76
S00224,2025-03-13,P01,Accessories,Marketplace,Aegean,5,337.5,223.42,114.08
S00225,2025-03-13,P02,Audio,Retail,Central Anatolia,5,166.25,104.26,61.99
S00226,2025-03-14,P03,Displays,Marketplace,Central Anatolia,4,716,396.35,319.65
S00227,2025-03-14,P04,Office,Retail,Central Anatolia,3,99.75,58.47,41.28
S00228,2025-03-14,P04,Office,Marketplace,Aegean,5,375,231.51,143.49
S00229,2025-03-15,P04,Office,Retail,Aegean,4,644.4,333.68,310.72
S00230,2025-03-15,P02,Audio,Retail,Marmara,2,70,34.57,35.43
S00231,2025-03-16,P01,Accessories,Online,Marmara,2,498,328.58,169.42
S00232,2025-03-16,P02,Audio,Online,Aegean,5,1245,680.4,564.6
S00233,2025-03-16,P05,Storage,Marketplace,Marmara,6,1494,1006.14,487.86
S00234,2025-03-16,P03,Displays,Online,Aegean,3,709.65,474.99,234.66
S00235,2025-03-16,P02,Audio,Online,Aegean,3,339.15,228.12,111.03
S00236,2025-03-17,P03,Displays,Online,Aegean,5,245,151.44,93.56
S00237,2025-03-18,P04,Office,Retail,Aegean,4,196,130.39,65.61
S00238,2025-03-18,P05,Storage,Retail,Marmara,3,139.65,75.04,64.61
S00239,2025-03-19,P03,Displays,Retail,Marmara,5,595,288.5,306.5
S00240,2025-03-19,P05,Storage,Retail,Aegean,1,44.1,24.71,19.39
S00241,2025-03-20,P04,Office,Online,Central Anatolia,5,895,454.38,440.62
S00242,2025-03-20,P03,Displays,Retail,Central Anatolia,5,565.25,326.89,238.36
S00243,2025-03-20,P03,Displays,Marketplace,Aegean,1,49,25.34,23.66
S00244,2025-03-20,P03,Displays,Online,Aegean,5,535.5,282.18,253.32
S00245,2025-03-20,P03,Displays,Retail,Central Anatolia,5,1245,706.58,538.42
S00246,2025-03-21,P04,Office,Retail,Marmara,5,1120.5,605.17,515.33
S00247,2025-03-21,P04,Office,Marketplace,Marmara,2,88.2,54.69,33.51
S00248,2025-03-21,P01,Accessories,Marketplace,Aegean,2,473.1,279.79,193.31
S00249,2025-03-21,P04,Office,Online,Aegean,2,93.1,54.14,38.96
S00250,2025-03-21,P04,Office,Retail,Aegean,4,300,193.24,106.76
S00251,2025-03-22,P03,Displays,Online,Marmara,6,1074,699.23,374.77
S00252,2025-03-23,P02,Audio,Marketplace,Aegean,6,427.5,281.91,145.59
S00253,2025-03-23,P01,Accessories,Marketplace,Central Anatolia,5,232.75,113.34,119.41
S00254,2025-03-24,P04,Office,Online,Aegean,1,44.1,23.22,20.88
S00255,2025-03-24,P05,Storage,Retail,Aegean,3,747,392.7,354.3
S00256,2025-03-24,P01,Accessories,Retail,Central Anatolia,6,210,103.16,106.84
S00257,2025-03-24,P05,Storage,Marketplace,Aegean,6,1494,962.74,531.26
S00258,2025-03-25,P01,Accessories,Retail,Aegean,3,321.3,205.75,115.55
S00259,2025-03-26,P04,Office,Online,Central Anatolia,5,595,310.88,284.12
S00260,2025-03-27,P02,Audio,Retail,Aegean,6,678.3,375.92,302.38
S00261,2025-03-27,P01,Accessories,Retail,Marmara,4,428.4,232.97,195.43
S00262,2025-03-28,P02,Audio,Marketplace,Central Anatolia,1,170.05,97.68,72.37
S00263,2025-03-28,P01,Accessories,Online,Central Anatolia,6,714,365.91,348.09
S00264,2025-03-29,P01,Accessories,Online,Marmara,5,337.5,205.92,131.58
S00265,2025-03-29,P04,Office,Online,Central Anatolia,3,139.65,82.21,57.44
S00266,2025-03-29,P03,Displays,Retail,Marmara,1,35,18.65,16.35
S00267,2025-03-29,P01,Accessories,Retail,Central Anatolia,6,210,124.39,85.61
S00268,2025-03-30,P03,Displays,Marketplace,Marmara,4,644.4,430.84,213.56
S00269,2025-03-31,P01,Accessories,Retail,Marmara,2,150,75.24,74.76
S00270,2025-03-31,P02,Audio,Retail,Aegean,1,46.55,24.28,22.27
S00271,2025-04-01,P03,Displays,Retail,Aegean,6,642.6,434.73,207.87
S00272,2025-04-01,P03,Displays,Marketplace,Aegean,1,107.1,55.29,51.81
S00273,2025-04-01,P05,Storage,Marketplace,Marmara,5,895,432.16,462.84
S00274,2025-04-01,P01,Accessories,Marketplace,Aegean,4,680.2,431.57,248.63
S00275,2025-04-02,P01,Accessories,Marketplace,Marmara,5,1245,824.81,420.19
S00276,2025-04-03,P01,Accessories,Marketplace,Aegean,4,476,272.71,203.29
S00277,2025-04-03,P05,Storage,Online,Aegean,3,339.15,202.5,136.65
S00278,2025-04-03,P05,Storage,Online,Central Anatolia,2,150,89.05,60.95
S00279,2025-04-04,P05,Storage,Marketplace,Central Anatolia,6,405.0,239.55,165.45
S00280,2025-04-04,P03,Displays,Retail,Marmara,4,716,359.92,356.08
S00281,2025-04-04,P03,Displays,Retail,Aegean,6,405.0,203.21,201.79
S00282,2025-04-04,P03,Displays,Marketplace,Aegean,5,220.5,145.84,74.66
S00283,2025-04-05,P05,Storage,Retail,Central Anatolia,4,896.4,450.25,446.15
S00284,2025-04-05,P05,Storage,Retail,Marmara,5,375,183.01,191.99
S00285,2025-04-05,P05,Storage,Retail,Marmara,4,270.0,150.25,119.75
S00286,2025-04-06,P04,Office,Marketplace,Marmara,2,358,218.66,139.34
S00287,2025-04-06,P01,Accessories,Marketplace,Marmara,6,189.0,114.37,74.63
S00288,2025-04-07,P03,Displays,Retail,Marmara,2,214.2,140.9,73.3
S00289,2025-04-07,P01,Accessories,Marketplace,Aegean,2,238,132.17,105.83
S00290,2025-04-07,P04,Office,Marketplace,Aegean,5,895,596.5,298.5
S00291,2025-04-07,P05,Storage,Marketplace,Aegean,5,565.25,370.64,194.61
S00292,2025-04-07,P02,Audio,Marketplace,Aegean,6,966.6,489.74,476.86
S00293,2025-04-08,P04,Office,Online,Aegean,4,285.0,145.52,139.48
S00294,2025-04-08,P01,Accessories,Online,Marmara,5,245,155.74,89.26
S00295,2025-04-08,P01,Accessories,Marketplace,Central Anatolia,5,375,225.55,149.45
S00296,2025-04-08,P03,Displays,Retail,Marmara,2,142.5,95.35,47.15
S00297,2025-04-08,P05,Storage,Marketplace,Central Anatolia,6,210,124.88,85.12
S00298,2025-04-09,P02,Audio,Retail,Aegean,2,70,46.34,23.66
S00299,2025-04-09,P04,Office,Marketplace,Aegean,2,322.2,215.52,106.68
S00300,2025-04-09,P02,Audio,Marketplace,Aegean,1,71.25,47.22,24.03
S00301,2025-04-10,P05,Storage,Retail,Central Anatolia,5,1120.5,657.9,462.6
S00302,2025-04-11,P05,Storage,Marketplace,Central Anatolia,5,1245,685.17,559.83
S00303,2025-04-11,P01,Accessories,Online,Aegean,2,358,237.78,120.22
S00304,2025-04-11,P05,Storage,Retail,Central Anatolia,6,1074,621.8,452.2
S00305,2025-04-12,P04,Office,Marketplace,Marmara,3,225,148.44,76.56
S00306,2025-04-12,P03,Displays,Retail,Aegean,5,1245,829.38,415.62
S00307,2025-04-12,P02,Audio,Marketplace,Marmara,5,850.25,519.66,330.59
S00308,2025-04-13,P05,Storage,Marketplace,Marmara,6,1344.6,755.96,588.64
S00309,2025-04-13,P03,Displays,Online,Central Anatolia,5,220.5,130.02,90.48
S00310,2025-04-14,P04,Office,Marketplace,Marmara,1,49,32.4,16.6
S00311,2025-04-15,P01,Accessories,Marketplace,Aegean,3,672.3,447.62,224.68
S00312,2025-04-15,P01,Accessories,Retail,Marmara,2,448.2,277.23,170.97
S00313,2025-04-15,P05,Storage,Online,Central Anatolia,3,132.3,78.35,53.95
S00314,2025-04-15,P03,Displays,Retail,Aegean,4,996,660.52,335.48
S00315,2025-04-15,P01,Accessories,Retail,Marmara,1,67.5,32.52,34.98
S00316,2025-04-16,P04,Office,Marketplace,Central Anatolia,4,196,109.33,86.67
S00317,2025-04-16,P02,Audio,Retail,Aegean,5,232.75,113.76,118.99
S00318,2025-04-17,P02,Audio,Marketplace,Aegean,2,498,254.77,243.23
S00319,2025-04-17,P04,Office,Retail,Marmara,2,93.1,57.34,35.76
S00320,2025-04-17,P01,Accessories,Online,Marmara,5,232.75,125.37,107.38
S00321,2025-04-18,P02,Audio,Marketplace,Aegean,6,1344.6,799.61,544.99
S00322,2025-04-18,P04,Office,Retail,Central Anatolia,5,565.25,354.4,210.85
S00323,2025-04-18,P04,Office,Marketplace,Central Anatolia,6,1074,611.61,462.39
S00324,2025-04-18,P05,Storage,Retail,Aegean,1,44.1,28.53,15.57
S00325,2025-04-19,P03,Displays,Retail,Central Anatolia,5,895,433.48,461.52
S00326,2025-04-20,P05,Storage,Marketplace,Marmara,2,70,33.99,36.01
S00327,2025-04-21,P02,Audio,Retail,Aegean,2,93.1,61.63,31.47
S00328,2025-04-21,P02,Audio,Marketplace,Marmara,2,88.2,54.89,33.31
S00329,2025-04-21,P01,Accessories,Online,Central Anatolia,3,105,58.58,46.42
S00330,2025-04-21,P03,Displays,Marketplace,Aegean,5,535.5,362.88,172.62
S00331,2025-04-21,P03,Displays,Online,Aegean,4,270.0,144.85,125.15
S00332,2025-04-22,P05,Storage,Retail,Central Anatolia,4,186.2,97.81,88.39
S00333,2025-04-22,P02,Audio,Retail,Central Anatolia,2,98,49.95,48.05
S00334,2025-04-23,P02,Audio,Online,Aegean,6,1074,675.09,398.91
