OrderID,OrderDate,ProductID,ProductName,Category,Region,Channel,CustomerSegment,Quantity,DiscountPct,Revenue,Cost,GrossProfit,RevenueTarget
ORD-00017,2025-08-03,P11,Standing Desk,Office,Aegean,Online,Consumer,1,0.1,629.1,440,189.1,657.06
ORD-00018,2025-08-03,P03,4K Monitor,Displays,Aegean,Retail,Consumer,1,0,429,270,159,403.26
ORD-00019,2025-08-03,P05,Mechanical Keyboard,Accessories,Central Anatolia,Marketplace,Consumer,1,0.05,113.05,61,52.05,111.86
ORD-00020,2025-08-03,P11,Standing Desk,Office,Mediterranean,Retail,Small Business,1,0,699,440,259,657.06
ORD-00021,2025-08-03,P09,Portable Speaker,Audio,Aegean,Online,Small Business,1,0.05,113.05,63,50.05,111.86
ORD-00022,2025-08-03,P07,USB-C Dock,Accessories,Central Anatolia,Online,Small Business,2,0.05,321.1,184,137.1,317.72
ORD-00023,2025-08-03,P05,Mechanical Keyboard,Accessories,Central Anatolia,Retail,Corporate,2,0.15,202.3,122,80.3,223.72
ORD-00024,2025-08-03,P12,Portable SSD 1TB,Storage,Marmara,Retail,Corporate,1,0.15,126.65,84,42.65,140.06
ORD-00025,2025-08-04,P04,27-inch Monitor,Displays,Aegean,Online,Corporate,1,0.15,245.65,185,60.65,271.66
ORD-00026,2025-08-04,P12,Portable SSD 1TB,Storage,Aegean,Online,Corporate,1,0.05,141.55,84,57.55,140.06
ORD-00027,2025-08-04,P03,4K Monitor,Displays,Central Anatolia,Retail,Consumer,2,0.2,686.4,540,146.4,806.52
ORD-00028,2025-08-04,P03,4K Monitor,Displays,Central Anatolia,Retail,Small Business,2,0,858,540,318,806.52
ORD-00029,2025-08-04,P04,27-inch Monitor,Displays,Aegean,Marketplace,Consumer,4,0.05,1098.2,740,358.2,1086.64
ORD-00030,2025-08-04,P12,Portable SSD 1TB,Storage,Aegean,Retail,Consumer,2,0.05,283.1,168,115.1,280.12
ORD-00031,2025-08-04,P11,Standing Desk,Office,Mediterranean,Retail,Small Business,1,0.1,629.1,440,189.1,657.06
ORD-00032,2025-08-04,P05,Mechanical Keyboard,Accessories,Marmara,Online,Corporate,1,0,119,61,58,111.86
ORD-00033,2025-08-05,P08,Noise-Cancel Headphones,Audio,Aegean,Online,Corporate,1,0,249,133,116,234.06
ORD-00034,2025-08-05,P12,Portable SSD 1TB,Storage,Central Anatolia,Marketplace,Corporate,2,0,298,168,130,280.12
ORD-00035,2025-08-05,P11,Standing Desk,Office,Marmara,Retail,Corporate,1,0.05,664.05,440,224.05,657.06
ORD-00036,2025-08-05,P07,USB-C Dock,Accessories,Mediterranean,Online,Consumer,3,0,507,276,231,476.58
ORD-00037,2025-08-05,P12,Portable SSD 1TB,Storage,Aegean,Retail,Small Business,1,0.05,141.55,84,57.55,140.06
ORD-00038,2025-08-05,P06,Wireless Mouse,Accessories,Aegean,Online,Corporate,3,0.1,159.3,75,84.3,166.38
ORD-00039,2025-08-05,P05,Mechanical Keyboard,Accessories,Aegean,Marketplace,Corporate,1,0,119,61,58,111.86
ORD-00040,2025-08-05,P04,27-inch Monitor,Displays,Aegean,Marketplace,Small Business,2,0.05,549.1,370,179.1,543.32
ORD-00041,2025-08-06,P08,Noise-Cancel Headphones,Audio,Aegean,Marketplace,Corporate,4,0,996,532,464,936.24
ORD-00042,2025-08-06,P12,Portable SSD 1TB,Storage,Mediterranean,Marketplace,Consumer,2,0,298,168,130,280.12
ORD-00043,2025-08-06,P10,Ergonomic Chair,Office,Marmara,Online,Consumer,1,0,499,315,184,469.06
ORD-00044,2025-08-06,P05,Mechanical Keyboard,Accessories,Aegean,Retail,Small Business,1,0.1,107.1,61,46.1,111.86
ORD-00045,2025-08-06,P01,Laptop Pro 14,Computing,Aegean,Marketplace,Small Business,3,0.05,3702.15,2460,1242.15,3663.18
ORD-00046,2025-08-06,P09,Portable Speaker,Audio,Marmara,Online,Small Business,1,0,119,63,56,111.86
ORD-00047,2025-08-06,P08,Noise-Cancel Headphones,Audio,Mediterranean,Marketplace,Corporate,1,0,249,133,116,234.06
ORD-00048,2025-08-06,P12,Portable SSD 1TB,Storage,Mediterranean,Retail,Corporate,1,0.15,126.65,84,42.65,140.06
ORD-00049,2025-08-07,P09,Portable Speaker,Audio,Mediterranean,Online,Consumer,2,0.1,214.2,126,88.2,223.72
ORD-00050,2025-08-07,P06,Wireless Mouse,Accessories,Aegean,Retail,Corporate,1,0,59,25,34,55.46
ORD-00051,2025-08-07,P04,27-inch Monitor,Displays,Mediterranean,Retail,Consumer,2,0.05,549.1,370,179.1,543.32
ORD-00052,2025-08-07,P07,USB-C Dock,Accessories,Central Anatolia,Retail,Consumer,1,0.1,152.1,92,60.1,158.86
ORD-00053,2025-08-07,P05,Mechanical Keyboard,Accessories,Aegean,Marketplace,Corporate,2,0.05,226.1,122,104.1,223.72
ORD-00054,2025-08-07,P03,4K Monitor,Displays,Marmara,Online,Corporate,1,0,429,270,159,403.26
ORD-00055,2025-08-08,P01,Laptop Pro 14,Computing,Central Anatolia,Online,Consumer,1,0.1,1169.1,820,349.1,1221.06
ORD-00056,2025-08-08,P09,Portable Speaker,Audio,Marmara,Retail,Consumer,2,0.15,202.3,126,76.3,223.72
ORD-00057,2025-08-08,P04,27-inch Monitor,Displays,Aegean,Online,Consumer,1,0.1,260.1,185,75.1,271.66
ORD-00058,2025-08-08,P08,Noise-Cancel Headphones,Audio,Mediterranean,Marketplace,Small Business,2,0.1,448.2,266,182.2,468.12
ORD-00059,2025-08-08,P12,Portable SSD 1TB,Storage,Central Anatolia,Online,Consumer,3,0,447,252,195,420.18
ORD-00060,2025-08-08,P02,Office Laptop 15,Computing,Aegean,Online,Corporate,1,0,899,590,309,845.06
ORD-00061,2025-08-09,P12,Portable SSD 1TB,Storage,Mediterranean,Marketplace,Corporate,1,0.05,141.55,84,57.55,140.06
ORD-00062,2025-08-09,P08,Noise-Cancel Headphones,Audio,Marmara,Retail,Corporate,1,0.15,211.65,133,78.65,234.06
ORD-00063,2025-08-09,P11,Standing Desk,Office,Central Anatolia,Online,Small Business,2,0.15,1188.3,880,308.3,1314.12
ORD-00064,2025-08-09,P11,Standing Desk,Office,Aegean,Marketplace,Corporate,3,0,2097,1320,777,1971.18
ORD-00065,2025-08-09,P04,27-inch Monitor,Displays,Central Anatolia,Retail,Corporate,1,0,289,185,104,271.66
ORD-00066,2025-08-10,P04,27-inch Monitor,Displays,Aegean,Retail,Consumer,2,0,578,370,208,543.32
ORD-00067,2025-08-10,P01,Laptop Pro 14,Computing,Central Anatolia,Online,Consumer,1,0,1299,820,479,1221.06
ORD-00068,2025-08-10,P09,Portable Speaker,Audio,Mediterranean,Marketplace,Corporate,1,0.05,113.05,63,50.05,111.86
ORD-00069,2025-08-10,P06,Wireless Mouse,Accessories,Mediterranean,Retail,Corporate,1,0.1,53.1,25,28.1,55.46
ORD-00070,2025-08-10,P05,Mechanical Keyboard,Accessories,Mediterranean,Online,Corporate,1,0,119,61,58,111.86
ORD-00071,2025-08-10,P04,27-inch Monitor,Displays,Marmara,Marketplace,Consumer,1,0.05,274.55,185,89.55,271.66
ORD-00072,2025-08-10,P03,4K Monitor,Displays,Marmara,Retail,Corporate,2,0,858,540,318,806.52
ORD-00073,2025-08-10,P07,USB-C Dock,Accessories,Central Anatolia,Online,Corporate,1,0,169,92,77,158.86
ORD-00074,2025-08-11,P11,Standing Desk,Office,Central Anatolia,Retail,Corporate,1,0,699,440,259,657.06
ORD-00075,2025-08-11,P02,Office Laptop 15,Computing,Marmara,Online,Consumer,1,0,899,590,309,845.06
ORD-00076,2025-08-11,P01,Laptop Pro 14,Computing,Mediterranean,Retail,Small Business,1,0,1299,820,479,1221.06
ORD-00077,2025-08-11,P08,Noise-Cancel Headphones,Audio,Aegean,Online,Corporate,2,0,498,266,232,468.12
ORD-00078,2025-08-11,P09,Portable Speaker,Audio,Aegean,Retail,Consumer,1,0,119,63,56,111.86
ORD-00079,2025-08-11,P12,Portable SSD 1TB,Storage,Central Anatolia,Online,Small Business,2,0,298,168,130,280.12
ORD-00080,2025-08-11,P02,Office Laptop 15,Computing,Mediterranean,Marketplace,Consumer,1,0,899,590,309,845.06
ORD-00081,2025-08-12,P12,Portable SSD 1TB,Storage,Central Anatolia,Marketplace,Corporate,2,0.15,253.3,168,85.3,280.12
ORD-00082,2025-08-12,P06,Wireless Mouse,Accessories,Aegean,Marketplace,Consumer,2,0.05,112.1,50,62.1,110.92
ORD-00083,2025-08-12,P03,4K Monitor,Displays,Marmara,Marketplace,Corporate,1,0.1,386.1,270,116.1,403.26
ORD-00084,2025-08-12,P12,Portable SSD 1TB,Storage,Central Anatolia,Retail,Corporate,1,0.15,126.65,84,42.65,140.06
ORD-00085,2025-08-12,P05,Mechanical Keyboard,Accessories,Aegean,Retail,Corporate,1,0.05,113.05,61,52.05,111.86
ORD-00086,2025-08-12,P06,Wireless Mouse,Accessories,Central Anatolia,Marketplace,Consumer,2,0,118,50,68,110.92
ORD-00087,2025-08-12,P01,Laptop Pro 14,Computing,Aegean,Marketplace,Small Business,1,0,1299,820,479,1221.06
ORD-00088,2025-08-13,P11,Standing Desk,Office,Marmara,Online,Corporate,2,0.1,1258.2,880,378.2,1314.12
ORD-00089,2025-08-13,P12,Portable SSD 1TB,Storage,Central Anatolia,Online,Small Business,1,0.15,126.65,84,42.65,140.06
ORD-00090,2025-08-13,P09,Portable Speaker,Audio,Aegean,Retail,Consumer,1,0,119,63,56,111.86
ORD-00091,2025-08-13,P11,Standing Desk,Office,Mediterranean,Online,Small Business,1,0.1,629.1,440,189.1,657.06
ORD-00092,2025-08-13,P02,Office Laptop 15,Computing,Marmara,Online,Corporate,1,0,899,590,309,845.06
ORD-00093,2025-08-13,P08,Noise-Cancel Headphones,Audio,Mediterranean,Marketplace,Corporate,3,0.15,634.95,399,235.95,702.18
ORD-00094,2025-08-13,P10,Ergonomic Chair,Office,Marmara,Retail,Consumer,1,0.1,449.1,315,134.1,469.06
ORD-00095,2025-08-14,P01,Laptop Pro 14,Computing,Central Anatolia,Online,Corporate,1,0,1299,820,479,1221.06
ORD-00096,2025-08-14,P01,Laptop Pro 14,Computing,Marmara,Marketplace,Small Business,1,0.1,1169.1,820,349.1,1221.06
ORD-00097,2025-08-14,P03,4K Monitor,Displays,Marmara,Online,Small Business,1,0,429,270,159,403.26
ORD-00098,2025-08-14,P09,Portable Speaker,Audio,Marmara,Retail,Consumer,3,0,357,189,168,335.58
ORD-00099,2025-08-14,P06,Wireless Mouse,Accessories,Mediterranean,Marketplace,Consumer,1,0,59,25,34,55.46
ORD-00100,2025-08-14,P10,Ergonomic Chair,Office,Marmara,Retail,Small Business,1,0.05,474.05,315,159.05,469.06
ORD-00101,2025-08-14,P07,USB-C Dock,Accessories,Central Anatolia,Online,Consumer,2,0,338,184,154,317.72
ORD-00102,2025-08-14,P12,Portable SSD 1TB,Storage,Aegean,Retail,Consumer,1,0,149,84,65,140.06
ORD-00103,2025-08-15,P11,Standing Desk,Office,Central Anatolia,Marketplace,Corporate,2,0.15,1188.3,880,308.3,1314.12
ORD-00104,2025-08-15,P09,Portable Speaker,Audio,Mediterranean,Marketplace,Small Business,1,0,119,63,56,111.86
ORD-00105,2025-08-15,P09,Portable Speaker,Audio,Aegean,Retail,Small Business,2,0,238,126,112,223.72
ORD-00106,2025-08-15,P09,Portable Speaker,Audio,Marmara,Marketplace,Corporate,2,0.1,214.2,126,88.2,223.72
ORD-00107,2025-08-15,P06,Wireless Mouse,Accessories,Mediterranean,Retail,Corporate,3,0.1,159.3,75,84.3,166.38
ORD-00108,2025-08-15,P03,4K Monitor,Displays,Aegean,Marketplace,Small Business,2,0.05,815.1,540,275.1,806.52
ORD-00109,2025-08-16,P10,Ergonomic Chair,Office,Marmara,Retail,Small Business,2,0.05,948.1,630,318.1,938.12
ORD-00110,2025-08-16,P03,4K Monitor,Displays,Central Anatolia,Retail,Small Business,3,0,1287,810,477,1209.78
ORD-00111,2025-08-16,P10,Ergonomic Chair,Office,Central Anatolia,Retail,Consumer,3,0.15,1272.45,945,327.45,1407.18
ORD-00112,2025-08-16,P06,Wireless Mouse,Accessories,Mediterranean,Online,Small Business,2,0,118,50,68,110.92
ORD-00113,2025-08-16,P05,Mechanical Keyboard,Accessories,Mediterranean,Marketplace,Corporate,1,0.05,113.05,61,52.05,111.86
ORD-00114,2025-08-16,P09,Portable Speaker,Audio,Marmara,Marketplace,Small Business,2,0.05,226.1,126,100.1,223.72
ORD-00115,2025-08-17,P02,Office Laptop 15,Computing,Aegean,Retail,Corporate,1,0,899,590,309,845.06
ORD-00116,2025-08-17,P08,Noise-Cancel Headphones,Audio,Aegean,Retail,Consumer,1,0.05,236.55,133,103.55,234.06
ORD-00117,2025-08-17,P07,USB-C Dock,Accessories,Marmara,Marketplace,Small Business,1,0.15,143.65,92,51.65,158.86
ORD-00118,2025-08-17,P06,Wireless Mouse,Accessories,Aegean,Marketplace,Corporate,1,0.05,56.05,25,31.05,55.46
ORD-00119,2025-08-17,P06,Wireless Mouse,Accessories,Marmara,Online,Corporate,1,0.15,50.15,25,25.15,55.46
ORD-00120,2025-08-17,P01,Laptop Pro 14,Computing,Aegean,Retail,Small Business,1,0.05,1234.05,820,414.05,1221.06
ORD-00121,2025-08-17,P06,Wireless Mouse,Accessories,Central Anatolia,Marketplace,Consumer,1,0,59,25,34,55.46
ORD-00122,2025-08-17,P06,Wireless Mouse,Accessories,Marmara,Marketplace,Small Business,1,0,59,25,34,55.46
ORD-00123,2025-08-17,P08,Noise-Cancel Headphones,Audio,Central Anatolia,Marketplace,Small Business,1,0,249,133,116,234.06
ORD-00124,2025-08-18,P09,Portable Speaker,Audio,Central Anatolia,Retail,Small Business,3,0.05,339.15,189,150.15,335.58
ORD-00125,2025-08-18,P07,USB-C Dock,Accessories,Marmara,Retail,Consumer,2,0.1,304.2,184,120.2,317.72
ORD-00126,2025-08-18,P11,Standing Desk,Office,Marmara,Online,Small Business,3,0,2097,1320,777,1971.18
ORD-00127,2025-08-18,P12,Portable SSD 1TB,Storage,Marmara,Marketplace,Consumer,2,0.1,268.2,168,100.2,280.12
ORD-00128,2025-08-18,P08,Noise-Cancel Headphones,Audio,Aegean,Retail,Corporate,1,0,249,133,116,234.06
ORD-00129,2025-08-18,P01,Laptop Pro 14,Computing,Aegean,Online,Corporate,1,0.15,1104.15,820,284.15,1221.06
ORD-00130,2025-08-19,P06,Wireless Mouse,Accessories,Central Anatolia,Marketplace,Consumer,1,0.1,53.1,25,28.1,55.46
ORD-00131,2025-08-19,P10,Ergonomic Chair,Office,Marmara,Retail,Corporate,1,0.1,449.1,315,134.1,469.06
ORD-00132,2025-08-19,P08,Noise-Cancel Headphones,Audio,Mediterranean,Online,Corporate,2,0.05,473.1,266,207.1,468.12
ORD-00133,2025-08-19,P10,Ergonomic Chair,Office,Central Anatolia,Marketplace,Consumer,1,0.1,449.1,315,134.1,469.06
ORD-00134,2025-08-19,P01,Laptop Pro 14,Computing,Aegean,Retail,Corporate,1,0,1299,820,479,1221.06
ORD-00135,2025-08-19,P07,USB-C Dock,Accessories,Aegean,Marketplace,Corporate,1,0.1,152.1,92,60.1,158.86
ORD-00136,2025-08-19,P06,Wireless Mouse,Accessories,Marmara,Retail,Small Business,2,0.05,112.1,50,62.1,110.92
ORD-00137,2025-08-19,P12,Portable SSD 1TB,Storage,Mediterranean,Retail,Small Business,2,0.05,283.1,168,115.1,280.12
ORD-00138,2025-08-19,P04,27-inch Monitor,Displays,Marmara,Retail,Consumer,1,0,289,185,104,271.66
ORD-00139,2025-08-19,P01,Laptop Pro 14,Computing,Marmara,Online,Corporate,1,0,1299,820,479,1221.06
ORD-00140,2025-08-20,P07,USB-C Dock,Accessories,Mediterranean,Marketplace,Corporate,1,0,169,92,77,158.86
ORD-00141,2025-08-20,P10,Ergonomic Chair,Office,Marmara,Online,Corporate,1,0.15,424.15,315,109.15,469.06
ORD-00142,2025-08-20,P05,Mechanical Keyboard,Accessories,Mediterranean,Marketplace,Consumer,1,0.1,107.1,61,46.1,111.86
ORD-00143,2025-08-20,P11,Standing Desk,Office,Aegean,Online,Small Business,1,0,699,440,259,657.06
ORD-00144,2025-08-20,P06,Wireless Mouse,Accessories,Aegean,Retail,Corporate,2,0.15,100.3,50,50.3,110.92
ORD-00145,2025-08-21,P01,Laptop Pro 14,Computing,Central Anatolia,Retail,Small Business,3,0.1,3507.3,2460,1047.3,3663.18
ORD-00146,2025-08-21,P07,USB-C Dock,Accessories,Aegean,Online,Corporate,1,0.05,160.55,92,68.55,158.86
ORD-00147,2025-08-21,P01,Laptop Pro 14,Computing,Aegean,Retail,Corporate,3,0,3897,2460,1437,3663.18
ORD-00148,2025-08-21,P08,Noise-Cancel Headphones,Audio,Mediterranean,Online,Small Business,1,0,249,133,116,234.06
ORD-00149,2025-08-21,P05,Mechanical Keyboard,Accessories,Central Anatolia,Retail,Small Business,2,0,238,122,116,223.72
ORD-00150,2025-08-21,P12,Portable SSD 1TB,Storage,Aegean,Marketplace,Consumer,1,0.05,141.55,84,57.55,140.06
ORD-00151,2025-08-22,P11,Standing Desk,Office,Aegean,Marketplace,Consumer,3,0.15,1782.45,1320,462.45,1971.18
ORD-00152,2025-08-22,P03,4K Monitor,Displays,Central Anatolia,Online,Consumer,1,0,429,270,159,403.26
ORD-00153,2025-08-22,P05,Mechanical Keyboard,Accessories,Marmara,Marketplace,Consumer,1,0,119,61,58,111.86
ORD-00154,2025-08-22,P01,Laptop Pro 14,Computing,Mediterranean,Online,Corporate,1,0.1,1169.1,820,349.1,1221.06
ORD-00155,2025-08-22,P01,Laptop Pro 14,Computing,Aegean,Online,Small Business,1,0.05,1234.05,820,414.05,1221.06
ORD-00156,2025-08-22,P11,Standing Desk,Office,Aegean,Marketplace,Small Business,1,0.1,629.1,440,189.1,657.06
ORD-00157,2025-08-22,P11,Standing Desk,Office,Central Anatolia,Retail,Corporate,1,0.05,664.05,440,224.05,657.06
ORD-00158,2025-08-22,P06,Wireless Mouse,Accessories,Aegean,Online,Corporate,3,0,177,75,102,166.38
ORD-00159,2025-08-23,P04,27-inch Monitor,Displays,Mediterranean,Marketplace,Small Business,1,0.2,231.2,185,46.2,271.66
ORD-00160,2025-08-23,P06,Wireless Mouse,Accessories,Marmara,Marketplace,Small Business,1,0,59,25,34,55.46
ORD-00161,2025-08-23,P03,4K Monitor,Displays,Central Anatolia,Retail,Consumer,2,0,858,540,318,806.52
ORD-00162,2025-08-23,P09,Portable Speaker,Audio,Central Anatolia,Retail,Corporate,1,0.15,101.15,63,38.15,111.86
ORD-00163,2025-08-23,P02,Office Laptop 15,Computing,Central Anatolia,Retail,Corporate,1,0,899,590,309,845.06
ORD-00164,2025-08-23,P12,Portable SSD 1TB,Storage,Aegean,Retail,Consumer,1,0.05,141.55,84,57.55,140.06
ORD-00165,2025-08-24,P04,27-inch Monitor,Displays,Aegean,Retail,Small Business,1,0,289,185,104,271.66
ORD-00166,2025-08-24,P09,Portable Speaker,Audio,Marmara,Retail,Corporate,1,0.1,107.1,63,44.1,111.86
ORD-00167,2025-08-24,P08,Noise-Cancel Headphones,Audio,Marmara,Retail,Corporate,2,0,498,266,232,468.12
ORD-00168,2025-08-24,P12,Portable SSD 1TB,Storage,Marmara,Marketplace,Small Business,1,0.15,126.65,84,42.65,140.06
ORD-00169,2025-08-24,P06,Wireless Mouse,Accessories,Central Anatolia,Retail,Corporate,1,0.1,53.1,25,28.1,55.46
ORD-00170,2025-08-24,P12,Portable SSD 1TB,Storage,Marmara,Marketplace,Consumer,1,0,149,84,65,140.06
ORD-00171,2025-08-24,P02,Office Laptop 15,Computing,Aegean,Online,Corporate,1,0.15,764.15,590,174.15,845.06
ORD-00172,2025-08-24,P09,Portable Speaker,Audio,Central Anatolia,Retail,Consumer,2,0.05,226.1,126,100.1,223.72
ORD-00173,2025-08-24,P02,Office Laptop 15,Computing,Aegean,Marketplace,Corporate,1,0.05,854.05,590,264.05,845.06
ORD-00174,2025-08-25,P09,Portable Speaker,Audio,Marmara,Online,Corporate,1,0.15,101.15,63,38.15,111.86
ORD-00175,2025-08-25,P07,USB-C Dock,Accessories,Aegean,Marketplace,Corporate,1,0.1,152.1,92,60.1,158.86
ORD-00176,2025-08-25,P06,Wireless Mouse,Accessories,Mediterranean,Marketplace,Consumer,3,0.1,159.3,75,84.3,166.38
ORD-00177,2025-08-25,P08,Noise-Cancel Headphones,Audio,Central Anatolia,Retail,Corporate,3,0.1,672.3,399,273.3,702.18
ORD-00178,2025-08-25,P05,Mechanical Keyboard,Accessories,Central Anatolia,Online,Consumer,1,0.1,107.1,61,46.1,111.86
ORD-00179,2025-08-25,P06,Wireless Mouse,Accessories,Aegean,Online,Small Business,1,0.05,56.05,25,31.05,55.46
ORD-00180,2025-08-26,P09,Portable Speaker,Audio,Aegean,Marketplace,Corporate,2,0.1,214.2,126,88.2,223.72
ORD-00181,2025-08-26,P01,Laptop Pro 14,Computing,Aegean,Marketplace,Consumer,3,0,3897,2460,1437,3663.18
ORD-00182,2025-08-26,P07,USB-C Dock,Accessories,Aegean,Retail,Consumer,3,0,507,276,231,476.58
ORD-00183,2025-08-26,P01,Laptop Pro 14,Computing,Mediterranean,Online,Consumer,1,0.1,1169.1,820,349.1,1221.06
ORD-00184,2025-08-26,P04,27-inch Monitor,Displays,Aegean,Online,Corporate,1,0.05,274.55,185,89.55,271.66
ORD-00185,2025-08-26,P02,Office Laptop 15,Computing,Mediterranean,Marketplace,Consumer,1,0.2,719.2,590,129.2,845.06
ORD-00186,2025-08-26,P11,Standing Desk,Office,Central Anatolia,Marketplace,Corporate,1,0,699,440,259,657.06
ORD-00187,2025-08-27,P01,Laptop Pro 14,Computing,Marmara,Marketplace,Corporate,1,0.1,1169.1,820,349.1,1221.06
ORD-00188,2025-08-27,P05,Mechanical Keyboard,Accessories,Aegean,Retail,Small Business,4,0,476,244,232,447.44
ORD-00189,2025-08-27,P02,Office Laptop 15,Computing,Marmara,Online,Corporate,1,0,899,590,309,845.06
ORD-00190,2025-08-27,P09,Portable Speaker,Audio,Marmara,Online,Consumer,1,0,119,63,56,111.86
ORD-00191,2025-08-27,P09,Portable Speaker,Audio,Marmara,Online,Small Business,1,0.05,113.05,63,50.05,111.86
ORD-00192,2025-08-27,P02,Office Laptop 15,Computing,Marmara,Marketplace,Corporate,2,0.2,1438.4,1180,258.4,1690.12
ORD-00193,2025-08-28,P08,Noise-Cancel Headphones,Audio,Central Anatolia,Marketplace,Consumer,1,0.05,236.55,133,103.55,234.06
ORD-00194,2025-08-28,P12,Portable SSD 1TB,Storage,Aegean,Online,Small Business,4,0,596,336,260,560.24
ORD-00195,2025-08-28,P12,Portable SSD 1TB,Storage,Mediterranean,Online,Corporate,2,0,298,168,130,280.12
ORD-00196,2025-08-28,P12,Portable SSD 1TB,Storage,Mediterranean,Retail,Corporate,4,0,596,336,260,560.24
ORD-00197,2025-08-28,P10,Ergonomic Chair,Office,Marmara,Online,Consumer,1,0.1,449.1,315,134.1,469.06
ORD-00198,2025-08-28,P06,Wireless Mouse,Accessories,Central Anatolia,Retail,Corporate,2,0.05,112.1,50,62.1,110.92
ORD-00199,2025-08-28,P11,Standing Desk,Office,Marmara,Online,Small Business,1,0.15,594.15,440,154.15,657.06
ORD-00200,2025-08-28,P02,Office Laptop 15,Computing,Marmara,Retail,Small Business,2,0,1798,1180,618,1690.12
ORD-00201,2025-08-29,P01,Laptop Pro 14,Computing,Marmara,Online,Small Business,2,0,2598,1640,958,2442.12
ORD-00202,2025-08-29,P10,Ergonomic Chair,Office,Mediterranean,Marketplace,Small Business,3,0.05,1422.15,945,477.15,1407.18
ORD-00203,2025-08-29,P06,Wireless Mouse,Accessories,Mediterranean,Online,Small Business,1,0,59,25,34,55.46
ORD-00204,2025-08-29,P04,27-inch Monitor,Displays,Mediterranean,Online,Small Business,1,0.15,245.65,185,60.65,271.66
ORD-00205,2025-08-29,P09,Portable Speaker,Audio,Aegean,Marketplace,Small Business,1,0.05,113.05,63,50.05,111.86
ORD-00206,2025-08-29,P06,Wireless Mouse,Accessories,Aegean,Marketplace,Small Business,1,0,59,25,34,55.46
ORD-00207,2025-08-29,P04,27-inch Monitor,Displays,Aegean,Marketplace,Consumer,3,0.1,780.3,555,225.3,814.98
ORD-00208,2025-08-30,P07,USB-C Dock,Accessories,Central Anatolia,Online,Corporate,2,0.1,304.2,184,120.2,317.72
ORD-00209,2025-08-30,P08,Noise-Cancel Headphones,Audio,Aegean,Marketplace,Small Business,3,0.1,672.3,399,273.3,702.18
ORD-00210,2025-08-30,P03,4K Monitor,Displays,Central Anatolia,Retail,Consumer,1,0.05,407.55,270,137.55,403.26
ORD-00211,2025-08-30,P06,Wireless Mouse,Accessories,Central Anatolia,Retail,Small Business,1,0,59,25,34,55.46
ORD-00212,2025-08-30,P07,USB-C Dock,Accessories,Central Anatolia,Retail,Small Business,1,0.1,152.1,92,60.1,158.86
ORD-00213,2025-08-31,P04,27-inch Monitor,Displays,Marmara,Marketplace,Corporate,3,0.1,780.3,555,225.3,814.98
ORD-00214,2025-08-31,P01,Laptop Pro 14,Computing,Aegean,Marketplace,Consumer,2,0.1,2338.2,1640,698.2,2442.12
ORD-00215,2025-08-31,P10,Ergonomic Chair,Office,Aegean,Retail,Small Business,3,0.15,1272.45,945,327.45,1407.18
ORD-00216,2025-08-31,P03,4K Monitor,Displays,Marmara,Online,Corporate,1,0,429,270,159,403.26
ORD-00217,2025-08-31,P01,Laptop Pro 14,Computing,Marmara,Online,Corporate,1,0,1299,820,479,1221.06
